page 2	李寶詳濫殺監犯之反響
page 3	吳佩孚　冇長電解釋援贛圖浙赴鄂等謠言並反對聯省　
page 3	贛議員湯漪等質問曹錕吳佩孚對贛態度
page 3	黎元洪顏惠慶昨晤談顏辭繼續組閣請提唐紹儀如唐後至請以閣員代理
page 3	有外交團某語人政府欲謀
page 3	統一　需開南北對　會議方有辦法若　　進行於事實無　
page 3	張作霖派員請王永江回奉王　秋回張又派譚國偵赴金川勸駕
page 3	聞張作霖派李景林率三支隊進駐榆關外　家屯又派牟某帶便衣偵探　分赴京漢勾結土匪煽動兵變
page 3	漢陽鐵廠工人要求吳佩孚蕭耀南之六條因答覆不滿意有廿二日起罷工訊
page 3	黎元洪以　月　日後顏惠慶　堅辭組閣擬令張國淦暫　俟國會開常會時再行正式組閣
page 3	董康因財部欠薪未發不敢　　俟月底內閣總辭職聯同周自齊赴法參觀中法銀行開幕充政府代表
page 3	高恩洪請將葉恭綽鄭洪　京產　收即查交部葉等任內無作弊憑據然後發還國務院的軍警照辦
page 3	漢口傳吳佩孚准廿四日到鄂令備汽車飛機汕及軍用物品準備人贛
page 3	孫傳芳　　　與巴東鄂軍第五旅發生衝突已派軍隊往助
page 3	高恩洪允籌國　經費希圖內閣聯蟬已將　意託吳景濂王家襄疏通
page 3	　國淦運動組閣連日在私宅宴請　員欲以閣員代揆
page 3	昨閣議黎元洪　黎樹見孫文之來電交閣員傳觀後決由黎電覆並續派　南下迎孫
page 3	魯督田中玉電請廢督政府擬以田統轄魯省軍隊並勦匪督辦
page 3	教育部次長湯爾和擬提出閣議主　校與部費合共二十九萬自十月起由關餘內指撥
page 3	財政總長董康第三次請辭職黎元洪令給假五天並著假滿後必須復職
page 3	徐　誥歐陽武調和李烈鈞蔡成勳　　似已無效徐　誥電稱現赴海並　伊接李烈鈞　式訊息表示無論何項合理調處苟　避免戰爭當能接商但伊恐難以　意而蔡成勳　和然伊力勸　京　西　會議員勿令　　延閣促政府繼續進行調和計劃
page 3	間關萬里送軍書
page 3	韶關戰爭之確訊
page 3	關國雄之言論及其態度謹守中立　許客軍入粵
page 3	韶　戰　之西報紀載
page 3	永豐艦忽　半旗
page 6	雲南民治實進會復　　
page 6	保定方面挑選之閣員
page 6	吳佩孚致李烈　函
page 6	宋不　又發生命案
page 6	譚延　　　控案之訊論
page 6	　達　破殺案再　　
page 6	逆海案開審有期
page 6	提防　
page 6	　市　鬥
page 6	龍汽車另僱新工伴
page 6	軍火案
page 6	軍火案　罰
page 6	姦案無　撤消
page 6	緝兇　　照錄
page 6	　　香　擊敗
page 6	煙案
page 6	劫案
page 6	被控偷　　位
page 6	被控毆打探　案
page 6	美國煤　鐵路罷工急　情形
page 6	觀察大蝕之遠探隊
page 7	陳永　擊　南屬民軍
page 7	　誌南海縣長之逐鹿觀
page 7	黃沙之戒嚴情形
page 7	馬軍兵靖委員
page 7	　　　　潭放水雷
page 7	軍艦槍聲之驚人
page 7	飛機駛抵北汪情形
page 7	戰事消息別報
page 7	和平維持會近狀
page 7	運使籌撥海軍餉項
page 7	鄉　怕見兵戈
page 7	　　籮　　長軍
page 7	　民對葡大會徵集意見
page 7	參觀舞鳳艦記
page 7	維持紙幣　法
page 7	瑣聞一束
