page 2	陳炯明當速回省
page 3	褚輔成電國會請匯款來滬港兩處援助議員北上
page 3	參眾兩院經決定民國六年議員由兩院派員攜款前往招待新新議員由政府派員接待另籌辦法
page 3	中國銀行擬借日款一千萬元
page 3	陳光遠抵京
page 3	孫文夫人廿三日抵滬云孫文五六日後來
page 3	廿一日閣議後顏惠慶向黎元洪辭職勸黎組織混合內閣荐唐紹儀孫洪伊岑春　陳炯明擇一繼任黎堅留並電請四人入京共商國是
page 3	鄂督蕭耀南電北京保定條陳時局　停止贛戰與粵議和並與川滇黔湘桂接洽以謀統一　廢督以鄂為倡三組織裁兵會
page 3	聞馮玉祥　蘇皖豫勦匪令部擬設徐州　　蘇省搖動即移金陵　　元雖迭電阻恐無
page 3	黎元洪在津各屬開廿三早晉京　
page 3	直　省團　聞省長高淩霨定　　　履　　　開會議向高要求　　　公開　　取消官鋒局　　　　　稅局已推代表
page 3	　慶內閣可維持　止以後則聽國　開會　正式內閣
page 3	趙惕　代表周禮廿一日在保定簽岳州退兵約
page 3	黎元洪廿四日令准高淩霨辭直省省長以王承斌繼
page 3	黎元洪勸曹錕吳佩孚不可再派兵赴贛曹覆計劃已定且命令出發斷難中止
page 3	　曹汝霖擬將前借日款三千萬之用途明白宣布
page 3	陸閣議明令追悼伍廷芳並電伍朝樞致唁
page 3	陳光遠昨到京旋赴天津聞將出資四百萬辦實業
page 3	吳佩孚擬日間回保定練兵並將直豫鄂各駐軍整頓以成勁旅
page 3	保定擬國防計劃以常備軍四十萬為額劃全國為三十二軍區另組近衛軍三旅
page 3	近日閣議之事董康高恩洪均　先徵曹錕吳佩孚然後表決顏惠慶因此求去益急吳佩孚派員勸顏另發廿一日電聲明不干涉政治
page 3	黎元洪對閣事預有兩種辦法壹電請岑春　唐紹儀孫洪伊陳炯明來京商議組閣如均不願來則去某兩閣員實行改組仍勸顏惠慶維持
page 3	王占元京報告謂張作霖雖到錦州但停戰條件尚未議及
page 3	曹錕欲請懲辦吳笈孫徐世章郭　澐張壽齡惟吳佩孚不允
page 3	　氣未銷之粵局
page 3	孫中山方面消息
page 3	海軍方面消息
page 3	陳競存方面消息
page 3	粵軍方面消息
page 3	孫中山與西報記者之談話表示決不辭職
page 3	西報所紀之粵事見聞
page 6	　浙人對浙
page 6	趙倜到滬後之趣聞
page 6	　水灣命案判釋
page 6	懇　　唯　不職
page 6	六月十八日總統令
page 6	　直　湘消息
page 6	最堪注目之浙江潮
page 6	鴉鴨家輪出售
page 6	山坭阻路
page 6	委任　林官
page 6	撥地安葬馬棚遇難遺骸
page 6	梧州消息
page 6	酒樓仍未開市
page 6	燃燒石炮時刻
page 6	官地出租
page 6	銀價
page 6	嶺南大學休業禮紀事
page 6	葡前總理被放逐
page 6	美國煤工罷工慘劇續聞
page 6	架利吉打海員罷工失敗
page 6	日軍駐西伯
page 6	英國對中國之態度
page 6	小錢債案
page 7	吳鐵城在香山宣告獨立消息
page 7	坊人致謝保護免搶之第三師軍士
page 7	第三現擬分防梧州
page 7	陳炯明舉魏邦平任省長又一說
page 7	伍博士大殮及火葬情形
page 7	民食又受海防司令之賜
page 7	第　師與黃大偉部衝突
page 7	日領請令士敏土廠軍隊移出
page 7	日僑身有証書
page 7	鍾秀南已到財廳辦公
page 7	粵軍在韶關設兵站部
page 7	北俘　留高州會館
page 7	英德之水漲情形
page 7	商聯會促陳返省
page 7	黃強率師回省
page 7	西潦又將成災
page 7	韶城住戶被搶
page 7	許崇智洋樓被搶之真相
page 7	江大艦仍回梧州
page 7	河南人心已略定
page 7	第三師軍官之推陞
page 7	惠愛路尚有搶掠情事
page 7	海軍艦長人名表
page 7	已派憲兵駐守省銀行
page 7	勸人勿往古巴
page 7	新會人戒嚴詳說
page 7	瑣聞一束
