page 1	德意日同盟與美國
page 2	晉省戰局極為樂觀我軍屢獲如意戰果
page 2	內長周種嶽痛斥　造謠日軍侵華深陷無法自拔妄造謠言以圖搖惑觀聽
page 2	思樂日軍北竄不逞
page 2	曲江增加郵資
page 2	節建儲團陝分會正月開始勸銷採取競賽辦法
page 2	日俘虜的自供
page 2	滬罷工潮解決公司方面損失共達卅三萬元
page 2	泰國又向法提新要求條件侵入越境日軍威脅河內桂南我軍尚未越入越境
page 2	泰戈爾病劇所患　部發炎
page 2	德意西三國交換文件
page 2	德機空襲馬爾他島
page 2	重光反對三國同盟欲辭職以示消極反對日外交界人員大更動
page 2	智利與美國合組私人公司在智利建一早塢以適應聯防計劃
page 2	羅斯福擬援引徵兵法徵　國內工廠
page 2	不啾不睬
page 2	美國快車
page 2	二十八年高等攷試再試發榜一共計及格人員一六一名
page 2	贛報界響應寒衣運動
page 2	奇俊峰抵蓉
page 2	粵省成立合作管理處
page 2	立法院通過議案八項
page 2	豫北我軍猛攻溫縣
page 2	美國會將不休會應付國際時局
page 2	粵省行資助冬耕貸款一百萬元
page 2	宜昌以東又起激戰襄河西岸予日重創
page 3	英機炸法沿岸
page 3	英國對此淡然對之
page 3	美以物質加緊助英
page 3	日勸人民準備犧牲
page 3	美國已具決心建設龐大海陸空軍美國之禁運廢鐵煤油等策略係美反日政策之有計劃行動
page 3	法屬非洲總督拉敏納向達加軍隊發表廣播既為命令所迫攻擊哥里代表必須防止法帝國為德意利用
page 3	奎松總統歡宴吳鐵城
page 3	胡佛欲替歐洲被征服者申訴國務部對此問題尚不願有所攷慮
page 3	麥納氏演說向共和黨攻擊　其無其體計劃以安定國內　濟
page 3	美轉讓英驅逐艦第一批抵英國此艦隊當駛過大西洋時有巨型機作前導及偵察
page 3	德意日同盟之後蘇聯仍守緘默英國絕不表示驚異澳洲對之頗感失望
page 3	英德海空戰之透視
page 3	德機襲擊英倫
page 3	本月份內德機損失一千零四十六架法國沿岸又被英機炸擊德機多架炸擊倫敦近郊
page 5	日海軍圖擴大勢力
page 5	陳偉文奉令就新職
page 5	江會各線再起劇戰
page 5	我進襲魚中潭
page 5	江村橋被破毀
page 5	粵北我軍向魚中潭挺進江村鐵橋被我破壞
page 5	老隆至韶關車費上漲專車需款二千餘元
page 5	碣石發生海戰
page 5	日機偵察各地
page 5	粵省保障受訓學員職務連山縣長被申誡
page 5	虛報庇役均處徒刑
page 5	妨害兵役懲治辦法意圖避役虛報受賄者處刑科罰濫征壯丁越權擅殺者得處死刑
page 5	扣留警察事件發生後廣州警察紛紛私逃李道軒舉辦五人聯保
page 5	意圖　役亦受處分
page 5	越權擅殺壯丁處死
page 5	違職受賄並科罰金
page 5	粵省振會收容港灣僑胞
page 5	我大刀隊痛殲日軍
page 5	陸豐海面私梟迎擊日艇日艇一艘沉沒
page 5	寶安日軍圖向廣九鐵路北竄運來枕木準備修路我軍現正嚴密監視
page 5	續掃蕩三百洞
page 5	我進迫會城外圍戰事劇烈中山日艦增加企圖加緊封鎖陳偉文任新職鞏固八區防務
page 6	　溪　日昨已敗潰
page 6	日軍數百增援潮城
page 6	日機　擾企圖牽制
page 6	戰區飭桂省政府協助施治惠博牛瘟牛疫血清大量運到工作人員亦經到達
page 6	惠州民眾苦況急待救濟
page 6	海豐盜匪猖獗
page 6	海陸豐鹽斤銷路多阻米價日見高漲
page 6	順江丸渡江在濠滘被劫損失財物約共六千餘元
page 6	桂調查陣亡病故軍人以便給予卹金而安家屬
page 6	各項稅款准用毫券交收詳細辦法財部在審核中
page 6	丙普通訓練
page 6	丁集合訓練
page 6	養成三千萬國防人才軍部切實組訓國民兵分為幹部普通集合各種訓練鎮保隊部須明年一月前成立
page 6	乙幹部訓練
page 6	　東我軍克　溪進邊漢城日驚惶向汕　各地調兵增援澄海日軍反戰空　日益緊張
page 7	宋氏來電
page 7	徵募辦法
page 7	九龍城擴大防疫宣傳各校定本星期為衛生週雙十節並舉行防疫大巡遊
page 7	李右泉家奠記
page 7	學界雙十贈旗運動決製紙旗二十五萬枝由三大銀行代收捐款
page 7	孫家哲母大殮送殮者數百人
page 7	北大同學聚餐
page 7	區際防空賽昨舉行
page 7	各防空壕次第建成
page 7	港當局郊法重慶建地下避難室先在普慶坊卜公花園試辦各區防空壕洞將次第完成
page 7	鐘聲慈善社廿五週年紀念
page 7	教育司否認接管津貼學校
page 7	張善子畫展會參觀者極擠擁
page 7	愛護將士即愛護國家宋美齡發起徵募藥物分電海內外同胞籲請踴躍捐助徵募員成績優異者得呈請嘉獎
page 8	英商貨倉多被搜查
page 8	港灣航運暢通如常
page 8	港澳輪船客運漸復原狀
page 8	青年會組兒童劇場聘許地山　為指導委員今晚開第一次籌備會議
page 8	戰時個人入息稅估計手續至難　極設法調查
page 8	　將退休
page 8	十月份太陽出沒時間
page 8	少婦跳樓自殺
page 8	又一喪家被騙
page 8	關于唐紹儀葬事曹善允之來函
page 8	半島多一新酒店
page 8	囚犯百餘出境
page 8	廣東的工合運動中國工業香港促進社發
page 8	字花賭徒改在半山開字望警當局嚴加汪算
page 8	滇防　軍沒收我僑商　存貨物損失統計當超過一萬萬旅越華商紛紛遷返內地
page 10	東方軍　重振四比一破士葛劉顯漢力救十二碼星島淨勝光華五球
page 10	四比一東方輕取蘇軍
page 10	特別銀牌籃賽同　對華僑關係冠亞軍
page 10	華人週年水運今夕開始舉行
page 10	公開排球戰績
