page 2	開賭與維持紙幣
page 3	王寵惠羅文幹因病未出席閣議故又有倒閣說
page 3	教育部因索新宣告停止辦公
page 3	十四日閣議王寵惠羅文幹均病未到顧維鈞代主席僅議決梁純仁任豫省煙酒局長王寵惠羅文幹有單辭說
page 3	津訊張作霖以現款先購義械由榆關分運營口葫蘆島轉車運奉天曹錕探聞大訝
page 3	容揆電稱客郵除租界及別有條約規定外概據華會案撤廢日本於南滿當時無聲明保留請再催
page 3	議員李建民等函府院請緩提內閣同意案先決國會自身六八問題
page 3	聞辛博森擬在京辦華英文夕報
page 3	李玉麟監察皖省裁兵事宜十三日令下初本擬李任皖軍務幫辦因齊燮元不贊成故改
page 3	齊燮元覆國務院回藉葬親遵電展緩
page 3	十三日參院談話會王家襄雖放棄決選權楊永泰仍不讓民八議員或從中破壞以後恐難成會
page 3	據聞李厚基十一
page 3	東京電
page 3	北京電
page 3	上海電
page 3	蔡成勳派代表劉驥到京報告援閩事及運動兼省長黎元洪不贊成將赴洛陽求援
page 3	張克瑤部決移贛援閩已調三營往九江駐龍開沸
page 3	農商聞電鄂實業廳長指商會聯合會不合法之點有三飭令遵章辦理
page 3	劉冠雄經當局慰留十四日電允就閩鎮撫使職並稱即赴南京與齊燮元杜錫珪接洽一切
page 3	保派一致贊成提顏惠慶組閣現徵本人同意
page 3	吳佩孚電王永泉勾結徐樹錚倡亂請下討伐令
page 3	奉直和議積極進行聞黎元洪　命王芝祥赴奉協同鮑貴卿促進和議
page 3	張作霖召孫烈臣吳俊陞兩督及師旅長議奉直修好全贊成對提條件
page 3	張勳參謀萬繩栻十二密赴蚌埠頗惹注意
page 3	招商局股東向交部告密董事狼狽為奸歷年舞弊逾千萬證據確鑿高恩洪已派員赴滬漢密查
page 3	膠濟路督辦魯各界主任魯人對王正廷趙爾異熊秉琦均不歡靳雲鵬陳幹力謀聞吳佩孚允助陳
page 3	傳川軍出鄂西與楊森殘部接觸上游吃緊
page 3	郭同電公府孫洪伊允入京調停民八議員
page 3	福州西訊
page 3	押解人犯之鄭重
page 3	處理狄克博案之審慎
page 3	第六獨立旅已入閩佈防
page 3	陳競存所言之桂省軍事消息
page 3	住客控業主案
page 3	衛署華員聚會
page 3	稟請報窮案二誌
page 3	工商銀行請參觀婦女部續誌
page 6	西報紀洛吳
page 6	日使對我抗議大圖路案之照覆
page 6	華商總會議案
page 6	梅訊
page 6	銀價
page 6	風訊
page 6	省報載港商被劫不確
page 6	學生赴歐
page 6	竊案
page 6	賭案
page 6	汽單車傷人
page 6	警探在九龍捕去八人
page 6	上海罷工風潮近訊
page 6	近東問題
page 6	匯市漸佳
page 6	智利地震續聞
page 6	德內閣辭職
page 7	西樵張馮械鬥案近聞
page 7	旅京粵同鄉請省議會拒絕借債
page 7	電屬車路之進行
page 7	香山輾穀工人之罷工潮
page 7	南番均擬設清鄉營
page 7	前岐車路之集股情形
page 7	援桂軍增編輸送隊
page 7	製彈廠扣留廠員
page 7	加派汽車載兵巡夜
page 7	人力車公司大集議
page 7	會城賭風之猖獗
page 7	仙羊街火警詳情
page 7	爭承道巫捐之情形
page 7	追悼伍老博士會請保護
page 7	請免抽沙田軍費之呈批
page 7	請免改征條絲煙稅之呈批
page 7	香山添募游擊隊
page 7	官告兩則
page 7	衛生局關於潔淨稽查之進行
page 7	中德學校請給補助不准
page 7	一雞匹目四足之奇聞
page 7	瑣聞一束
