page 1	匈國加入軸心與維也納會議
page 2	日軍侵西貢僅時間問題美決全力阻日南進美續貸我二萬萬金元飛機五百架助我反攻
page 2	英潛艇虹霓號逾期未返英輪
page 2	羅京又有地震結果無何傷害
page 2	英對夜航轟炸究研抵禦辦法現仍未得解決
page 2	越南歐籍商人主復星港交通
page 2	英德空軍互相轟炸漢堡伯明罕損失均重倫敦上空德　活動仍未稍減北非洲英空軍又炸擊意屬土
page 2	日本發生地震淺間由噴火柱
page 2	印督府行政委會英擬擴大組織未　　領　參加　決定暫不施行
page 2	中　會劃桂省為第九救濟區命杜月　兼營並顧
page 2	有人密謀炸南京官署計　未成已被拘捕
page 2	愛總理坦白表示不將海軍根據地讓英係不欲牽入戰爭漩渦以免遭受空軍轟炸
page 2	巴西願與英國合作發展貿易
page 2	一德魚雷艦在北海被擊沉
page 2	英謀訓練婦女協助軍需工　生產
page 2	阿根廷總統發表談話贊成泛美洲合作制度美海軍在加里比安海愈為活動防範艦在此作秘密活動根據
page 2	英倫危機未減艾登勗勵同人
page 2	德意在美間諜有廣泛組織網謀操縱各主要工業
page 2	德兩新戰鬥艦現已下水
page 2	摩拉華高原一帶希軍續有進展希意空軍發生激戰意機被擊落十一架
page 2	美教授有多人力主積極援華
page 2	我封鎖越邊界痛斥和平謠言
page 2	英美泰無協定泰英努力闢謠
page 2	日經濟代表團力表對越好意
page 2	太平洋風雲更惡
page 3	希特勒昨抵維也納新出席中歐會議德意匈日諸國代表均到參加英使晤土外長加強兩國合作
page 3	匈加入三國同盟德日匈各發聲明
page 3	德西談判已結束西將加入新秩序
page 3	各小國戰慄不安英報促法人覺悟
page 3	豫北戰況激烈
page 3	豫東日軍受創
page 3	贛北我軍進擊
page 3	政院通過甘省政府改組張群廉任川保安司令
page 3	陳公博正式　滬市長
page 3	處置俘虜德法間有新協定
page 3	中緬郵務談判完滿結束第一批郵件已開始運送
page 3	羅斯福勸勞工界團結息爭因柳維士辭職而發
page 3	雷嗚遠追悼會定期舉行
page 3	蘇頭我克海鎮
page 3	我正規軍已開入河北境平漢路西數處發生激戰侵入西山日軍被迫退卻
page 3	保將被逼入軸心德需由保境攻希
page 3	土國決不畏軸心自信足勝神經戰
page 3	軸心國擴大外交攻勢
page 5	一區保安隊痛剿古兜山匪擒匪十餘襲斃數名蓮塘附近兵匪激戰
page 5	余漢謀召開政工會議代表六十餘會期九天已收到提案凡百餘件
page 5	粵農林局改良土壤培製速效堆肥菌
page 5	抵韶港僑多獲安置省黨部派員赴渝受訓
page 5	日傾力南進粵無大戰各線日圖互守
page 5	曲岐驛運運量激增調劑各地米鹽
page 5	學生船伕緩役辦法軍管區分別解釋
page 5	我機偵察粵路
page 5	英德等縣闢義民墾殖區歡迎海外華僑投資
page 5	南路糧食之統制問題一
page 5	東路交通線更趨安謐警隊移駐鯊魚涌
page 5	粵訂定各組教育方針獎勵設小學限制設立中學規定各縣國民教育補助費
page 5	寶安日軍行動詭秘宣佈長期施行燈火管制又有新兵千餘開到深圳訓練南頭宣布開放後昨仍未通航
page 6	粵商辦汽車聯營互助成立互助社商車合編十隊備戰時運輸征用期限兩月
page 6	粵省銀行金庫網將完成
page 6	屠牛承商餉款准照埠額五成解繳
page 6	石龍日又戒嚴
page 6	國民大會召集近訊
page 6	增城縣府誘捕臘埔鄉長民警衝突案擴大
page 6	港韶道上寫真九
page 6	鄧青陽等抵肇
page 6	韶新聞界籌組新聞學社定期舉行籌備會
page 6	粵省行撥款二百萬元舉辦工業合作貸款由工合協會辦事　負責指導各縣工商貸款亦　汛推行中
page 7	保衛團開始徵募團員徵募章程昨已正式發表
page 7	李功權昨抵港
page 7	本港移民法例今日提出初讀律政司晏禮伯修改娛樂稅則娛樂券一毫四仙以上即徵稅
page 7	疏散婦孺登記華人寥寥無幾
page 7	霍亂症纔撲滅防痘運動昨又開始政府希望市民繼續合作從遠種痘並向親友宣傳
page 7	歐亞戰事緊張中港對外貿易未受影響去月出入口貨均值五千餘萬較去年同月約增百分之十三
page 8	搭客帶私煙德巴輪在越被重罰昨始獲釋返抵本港客談越南日軍動態
page 8	美輪大西洋號將行走港越線
page 8	港渝線中航機每週來回三次星期一三五由渝飛港星期二四六由港飛渝
page 8	警當局組特務隊巡視邊區防禦工事嚴防竊匪盜賣軍用品
page 8	英遠東情報局響應購機運動編　中西日曆義賣
page 8	星督今日到港
page 8	文協會文化講座定廿五日開課所定科目適合大眾要求
page 8	張百基返星洲
page 8	飛機模型協會廿四日舉行成立禮
page 8	女學生文協會積極徵求會員
page 8	報界老前輩林燦予逝世昨已出殯執紼者眾
page 8	輪客被控偷運偽幣入口
page 8	港府奉令徵用英商船遠東航運未受影響
page 8	五千元強搶案被告入獄三月
page 8	車輛失事統計去週死四人傷卅二人
page 8	第四屆貨展會今晨開始報名
page 8	商會演劇籌賑改開明年舉辦
page 8	崇正總會通過興學贈醫計劃胡文虎捐款六萬餘元
page 8	受賄疑案註銷兩緝私差獲釋
page 8	竊洋紙案判決三被告處徒刑
page 8	茶客跳樓慘死
page 8	行使偽幣疑案三被告詳臬定讞
page 8	港府頒布臨時法例嚴限各國僑民進境移民新例通過後即撤銷我國僑胞不受該例限制
page 10	宵來中美籃球賽岷匈奴不敵華雄會成績為三十二比四十八
page 10	友誼籃球賽中健約戰記者
page 10	南華決派員參加本週督憲杯賽
