page 1	聖節中的和平福音
page 2	教皇之和平呼籲聖誕日對紅衣主教演說重提和平五大原則必須以基督精神解決社會問題非驅除自私怨恨難望永久和平
page 2	教皇向世界廣播痛斥怨恨與自私
page 2	羅斯福廣播演說努力建設好世界
page 2	美希贊英相演說望意人倒法西斯
page 2	南美洲耶誕節不受戰爭影響
page 2	希特勒代表廣播仍強調戰爭勝利
page 2	英德默契互相遵守聖誕休戰習慣英德兩國未有飛機起航 倫敦居民在防空洞祝聖
page 2	新西蘭總理向邱吉爾致賀對於英國充分信賴繼續盡力支持戰爭
page 2	南非洲總理發表告軍人書南非國防已有準備到明年可以有行動
page 2	倫敦自由法人獻劍哥里表示忠誠擁護
page 2	在聖誕節前夜伯利恆施行燈火管制基督誕生教堂亦不見燈光但在夜間仍舉行禮拜儀節
page 2	德令挪基士陵黨限期統一挪威　進　極　兩難僑　　呼籲團結
page 2	貝當決赦免一部被囚軍官
page 2	法海長赴巴黎舉行重要談判
page 2	阿根廷京城突發生暴風雨
page 2	日荷金融協定內容昨已發表
page 2	聖誕日之地中海英艦砲擊華倫納港英陸空軍統帥對將士致賀詞希軍頒發前線將士聖誕禮物
page 2	希軍續進斷意退路
page 2	英軍增援攻巴地亞
page 2	美議員建議政府探英德和平條件
page 3	日代言人談話乘機擴大宣傳
page 3	晉南戰場時有小接觸我與日軍相持於中條山晉東南我軍採取主動戰
page 3	長安驛日中伏
page 3	蒲圻日軍被擊
page 3	岳陽日軍內鬨
page 3	瓊島捷報四則
page 3	日軍圖在竹州頭登陸未逞
page 3	于院長撰慰勞歌激勵前方士氣
page 3	我財政家三人抵美進行借款事宜彼等抵達華盛頓後將與宋子文等會商
page 3	假如日美作戰一
page 3	目前內府大臣湯淺逝世
page 3	促進中緬文化與邦交緬記者訪華團抵昆明團長談此次來華訪問目的在求了解我抗戰實際情形
page 3	團長談話
page 3	團員名單
page 3	我方招待
page 3	英援華會歡迎對華貸款
page 3	當局積極平抑渝市糧價撥款購運米糧入川
page 3	英報評論中準紙幣將擾亂金融日宣傳有金銀條保證倫敦銀行界認　可疑
page 3	日泰重訂條約後泰總理昨發表談話英泰關係仍和洽泰越糾紛法當局應負其責日泰新約為尋常不侵協定
page 5	交通部督察各省公路顏澤滋昨抵韶關拜會李主席傳達中央整理粵省公路意見
page 5	冼江改良雪粘成功來韶竭李主席劉局長省行允貸款提倡糧產
page 5	日窺青岐被我擊退三水日軍又宣告戒嚴
page 5	寶安沙頭日指揮部輜重全部他遷深圳四週鐵網拆除羅湖各鄉又被搜查
page 5	桂林舉行防空演習日軍被殲情景迫真
page 5	西樵成為盜匪世界
page 5	四行擁護粵券兌現禁商人入淪陷區購粵幣
page 5	粵境天花流行
page 5	驛運總處長王國華將來粵
page 5	粵銳意推行國民教育整理賦稅造產捐產籌集基金防止藉名避役救濟戰區學生
page 5	袁帶彭霖生離韶返防將在鶴山召集各縣長會議日揚言犯古井我已嚴密戒備中山日軍繼續撤退八區安謐
page 6	民眾抗日團加緊抗戰工作在南番新順設分團抗日工作不分界域
page 6	舶來物產專稅征收章程
page 6	軍政機關購運免稅辦法
page 6	報館用紙退還按稅辦法
page 6	陳驥調查朱曼自殺真相東江各縣政務視導完畢
page 6	風起雲湧之桂省獻機運動某醫院倡獻醫護號機
page 6	鶴山冬耕近訊
page 6	合浦保長請纓
page 6	粵各線戰事尚無變化林偉儔談日軍未必敢輕動韶關疏散物資避免日空襲島田在滬連日召開軍事會議
page 7	王棠聲明與無關係
page 7	團長某氏一去不回
page 7	團員要求團董維持
page 7	中振會救濟東江難民施衣派米外並擬設立醫院散賑專員昨報告各地狀況
page 7	棺柩運葬九龍明年一月一日起實行
page 7	改善清糞辦法明年四月實行清夢初回明月夜更無風送木樨香
page 7	教徒慶祝耶誕
page 7	窮漢自縊殞命
page 7	住戶報失金飾價值千餘元
page 7	港府擬限制私家車用電油每輛每月准用六加侖
page 7	日方增兵駐守深圳恐我團隊再出襲擊
page 7	大批魚菜到港市價可望續跌
page 7	華人機器會續辦香檳馬票
page 7	團長一去不回華南青年服務團解散王棠簡熾南等否認任該團董事張惠長更指團長某氏冒勸捐
page 8	本港方面
page 8	九龍巴士
page 8	收車時間
page 8	公眾交通
page 8	港府續贈防空常識手冊
page 8	日方撤銷檢疫苛例佛山輪船定期復航三十一日由港開赴廣州搭客留船一天便可登陸
page 8	霍亂症未消滅連日又發生多宗
page 8	張之英等參加書畫社展覽會
page 8	紀念民族復興節僑校學生會操學生千餘動作活潑足代表我民族精神
page 8	到會來賓
page 8	參加學校
page 8	推進港澳僑校教育我教部專員將召見各校長
page 8	車輛失事統計上週死　人傷六十人
page 8	躉船被焚餘音船員一死八傷一失蹤
page 8	港府禁鴉片擬定三年計劃
page 8	尖沙嘴謀殺案死者係再醮婦夫婿昨往警署認尸警方疑其前夫尚在
page 8	深夜曾聞呼救命聲
page 8	死者夫婿投案認尸
page 8	同居三年遺一女嬰
page 8	出尋工作竟成永別
page 8	警探追查疑有前夫
page 8	國展會第四日觀客　為　擁
page 8	鍾聲社新職員明年一月五日就職
page 8	青年協進會昨日正式成立　　念　　復　節
page 8	粉嶺今日賽馬一元彩票同時　彩首名可得二萬餘元
page 8	組織緣起
page 8	會章摘要
page 8	本港人士渴望巴士延長行走時間最低限度與九龍巴士同時收車非如此不能配合現代都市需求
page 10	大中華後勁不繼國際杯遭敗績結果五比六被淘汰
page 10	今日國際杯第二戰英格蘭出擊葡萄牙
page 10	中華體協會週年陸運萬公尺李玉　破會紀錄其他各項成績亦見美滿
page 10	民大體育近訊
page 10	昨日又到暹船二艘載來大批白米本港米價平均又跌二毫餘
