page 1	歐洲之戰局
page 2	三水日軍圖犯蘆苞
page 2	龍口日軍犯兩龍墟
page 2	武昌岳陽交通中斷
page 2	高安東北日放毒彈
page 2	晉西我軍攻黑龍關
page 2	高考初試放榜及格一四三名備取一一零名
page 2	及格人員名單
page 2	阿部由衷之言中國事件尚難樂觀日本至今已耗費一百萬萬元汪政權縱能成立亦難望解決
page 2	修正合作社法公布一
page 2	中央將增設三行政部人選即可宣佈
page 2	慕尼克炸彈案捕獲疑犯三人其一人已直認不諱餘二人與此無關
page 2	八月的鄉村譯成俄文出版數日內銷出萬餘冊蘇聯人士頗致好評
page 2	傳法意兩國將成立一協定法願以某項重要利益讓意意國則增強其中立之地位
page 2	楊樹浦上海船廠昨被工人搗亂
page 2	一德郵船自動沉沒避免為英軍截留
page 2	聯軍與日本爭向美國購買軍用品將引起市場上之競爭購買結果令日本主顧最為不利
page 2	日軍被擊已退出桂境粵桂邊境戰事暫沉寂日軍此次派軍深入傷亡重大
page 3	希特勒與各軍事領袖連日舉行會議西線空戰擊落德機兩架
page 3	英宣佈實行截留德出口貨報復德之水雷暴行經濟戰將急速開展
page 3	英法土協定正式成立
page 3	日商輪靖國丸亦被炸擊沉沒
page 3	意丹兩國商輸分別觸中水雷
page 3	英報贊成封鎖德國出口貿易
page 3	法決與英合作截留德出口貨
page 3	波羅的海蘇艦隊待命隨時出動決在芬蘭灣伸張勢力鞏固列寧格勒之地位
page 3	德國虛偽宣傳向印挑撥英方予以駁斥謂其曲拗事實
page 3	美明年預算案注重折減各費惟國防費不減
page 3	泰晤士河口發現德國飛機
page 3	英宣佈採用商業護照制
page 3	英眾議院會議提及國聯問題
page 3	立陶宛內閣改組完成
page 3	立陶宛承認斯洛伐克
page 3	鞏固巴爾幹地位意匈成立諒解德軍準備假道匈牙利向羅進攻意國願助匈牙利抵抗蘇德侵入
page 5	我方應付策略
page 5	各線有小接觸
page 5	外海日艦他駛
page 5	日軍沿廣九路北犯不逞昨又有一部向南頭退去我軍滿佈廣九沿線
page 5	廣九沿線我軍滿佈
page 5	深圳日機場已完成
page 5	粵南戰情昨訊十萬大山以南之決戰日軍處處受我打擊紛由各地增兵赴援
page 5	我軍進攻增城衝入鶴嶺增城日軍一部他調日機炸正果之死傷
page 5	日機狂炸粵北死傷平民多人
page 5	學生繪畫寫信慰勞將士
page 5	中央政校學生以薦任官任用
page 5	廣三線我便衣隊圍攻上柏車站
page 5	粵省各縣實施堅壁清野
page 5	合始兩縣易長
page 5	中山成立檢查日貨分卡
page 5	一六兩游擊區合併續訊中山縣長激動民眾抗戰獎勵腳踏車使協助輸運
page 5	中山縣長整飭各政
page 5	江會戰事又轉和緩
page 5	日飛隊昨未出動
page 5	江會日軍軍事進攻失敗近又加緊施行政治進攻我方粉碎其詭謀之進行新開新鶴路連日有接觸
page 7	洋紙價格飛漲不已新聞紙比歐戰前漲一倍餘印刷業大受打擊多告虧本
page 7	旅港廣東律師設旅外通訊處
page 7	沙丹拿輪脫臉搭客到港
page 7	糧食統制專員研究統制糧食新辦法決日間再召入口商會議希望注意華人糧食價格
page 7	著手統制華人糧食
page 7	今後來源不愁斷絕
page 7	名花零落雨中看花影恨昨大殮某富人捐五百金為之治喪今日出殯葬華人永遠墳場
page 7	汛美機昨抵港
page 7	中青救護團餐舞會將舉行游藝節目異常豐富
page 7	圖打通廣九路不逞日軍向李朗觀瀾潰退連日犯平湖等地被我殲滅甚眾我軍缺乏寒衣望僑胞努力募捐
page 8	旅越青年話劇團昨抵港
page 8	稔灣海面貨艇遇劫失贓約值三百元獲一疑犯
page 8	合格補助看護名單昨已發表
page 8	殺人兇犯文水昨伏法本年內處此刑者已十七人
page 8	劫匪七名入獄疑犯五人獲釋
page 8	英海軍尋覓水雷
page 8	蕙農個人畫展訊
page 8	葡軍積極準備參加國際杯賽出場戰士已內定十四人比路度馬葵士再作馮婦
page 8	足球健將徐亞輝重穿征袍未能實現因職務關係今且隨輪離港
page 8	東便海口局部封鎖船政署公布航行信號出口船舶須領許可證始准通過達康海峽大小船艇均不放寄碇
