page 2	　國非亡不可魯案不宜提出　警不能撤退
page 3	美京電魯案在會場外調停已徵實聞中日直接磋商與太平洋會無關且無須調人昨日已開始談判日代表表示承認艦力十與六之比率疑即場外直接磋商之交換一說謂日照前次歐和會議提出人種平等問題故美驟受打擊
page 3	美京電撤銷　國在中國無線電台案已詳交九國起草委員會討論
page 3	又電日本代表致說貼與遠東委員會謂日本駐軍在中國並非有意侵廳中國主權山東路警若另派警　替日本可預備將警察撤退但南滿鐵護路軍隊則萬難裁撤且在滿洲駐兵原為條約認可
page 3	又電日代表幣原喜宣言日本在華警察係保護日本僑民並無擾及中外人民並指明謂目下有日警之地發生案件較少於無日警之地意謂日警無裁撤之必要
page 3	廬山會議張紹曾以地點不利擬改在漢口定明年一月召集
page 3	中墨條約已提出閣議通過發表
page 3	聞曹汝霖擬借款四百萬救濟交行
page 3	國務院電召曹錕張作霖入
page 3	廣西省長易人消息
page 3	王寵惠電司法部長董康準備收回治外法權董召集員司會議因款絀毫無辦法又上辭呈
page 3	京面詢內閣及國會財政軍事
page 3	聞李鼎新有擬授鼎威將軍以劉冠雄繼任海軍部長說
page 3	內務部索俸要求星期內發給否則罷工
page 3	奉天會議張代霖約張勳及保定會議人物與會
page 3	奉天會議張作霖約張勳及保定會議人物與會
page 3	招商局廣濟輪船昨晚在滬失火頭艙全燬
page 3	上海昨晚地微震約二十杪鐘蘇揚方面亦震揚震頗烈
page 3	英公使昨謁顏惠慶勸魯案勿提太平洋會免礙歐戰和約日公使亦訪顏因英美幹旋事但尚未談及魯案辦法
page 3	北京輿論法波改薩爾屬案波先變改和約已有先例況我未簽字不受束縛但京政府意祇避直接交涉外此有利即為
page 3	美京電裁釐後稅增至十二五未裁以前照現徵數加四分
page 3	張作霖運到現金交　已收用但作存款聞有改選職員條件葉恭綽專車赴奉天商定
page 3	梁士詒昨由滬赴奉天
page 3	中國銀行定期本月二日不限制兌現
page 3	教育部無形罷工衙署空無人
page 3	孫寶琦與安格聯相商聞在關餘撥太平洋會費二十萬
page 3	議員提議死葬事
page 3	番禺選舉推測談
page 3	總司令部裁冗員
page 3	大煙案
page 3	漁船沉沒
page 3	學生比賽運動
page 3	威士交行屋宣告不適用
page 3	銀價
page 3	歡迎舊金山商團
page 3	賣花籌款
page 6	英　　會議海軍
page 6	追述施南血戰之顧　
page 6	南征北伐聲中之直奉暗鬥
page 6	京政府電催梁士詒　　
page 6	余蔣　國民代表來電彙　
page 7	三水新縣長赴任之慘聞
page 7	分路會剿北江股匪
page 7	鄧鏗擬赴南雄佈防
page 7	東郊趕築兵房
page 7	桂軍餘眾重謀大舉
page 7	江鴻電船沉沒續誌
page 7	英城火災後之患　
page 7	撤銷番平鐵路案餘聞
page 7	南番兩署之地價
page 7	潮陽檢察官易人
page 7	廣州獄囚之呼籲
page 7	祠　稅展限辦理
page 7	工會請立案彙聞
page 7	檢查自來水
page 7	河南塹口火警
page 7	令派兵護送審理軍犯委員
page 7	名人旋港
page 7	　車夫跌傷入院
page 7	船政署案
page 7	美使署下旗誌　
page 7	聖雲仙慈善會賣物籌款
page 7	操演飛機之意外
page 7	美國參預協約國之賠款會議
page 7	馬克之價
page 9	四國組織聯合艦隊之不確
page 9	陳樹藩之不甘岑寂
page 9	中日異致之山東問題
page 9	日皇儲攝政之就任式
page 9	債務委員會之設立
page 9	日人對中國提案之態度
page 12	省地方　　　　入預算
page 12	梧邕間河道之荊棘
page 12	被控開三合會案
page 12	宋　　發紀　
