page 1	所望於國聯會者
page 2	鄂北我軍迫近京山
page 2	贛北我軍襲萬壽宮
page 2	閩海壯士冒險夜襲金門殲Ｘ十四名破壞Ｘ方輜重我英勇壯士折傷者僅二人
page 2	反侵略中國分會年會蔣委員長訓詞中國抗戰不僅為自身下最大決心奮鬥到底
page 2	英輪聯絡英艦實行自衛通航
page 2	永濟東犯之Ｘ為我痛擊
page 2	滬杭路沿線我軍活躍浙西我軍攻入桐鄉
page 2	國聯行政院定期昨日開會捷前總統貝奈斯申訴為德匈侵略
page 2	新會北門Ｘ我激戰
page 2	雲南郵務管理局失慎被焚起火原因奇離難測
page 2	日元昨再跌價每元只值八便士跌價原因多不明
page 2	陝中學生請纓殺Ｘ各界舉行歡送
page 2	浦東發生排英運動
page 2	中央為崇德報功頒撫卹受傷官兵條例全國劃分四區頒發由黃仁霖主持前方將士蒙此優渥待遇軍心大振
page 3	德意兩外長簽署同盟約侵略陣線加強
page 3	因鼓浪嶼事件英法美聯名向日抗議日海軍司令拜訪英美法軍當局並準備四國會商解決鼓浪嶼問題
page 3	日對歐局態度不願參加德意軍事同盟而祇同意修改防共協定
page 3	大美報股東請求維護權益
page 3	德志願兵定期離西
page 3	英允與蘇聯締防禦同盟和平陣線成立
page 3	美商業週開幕羅斯福致詞呼籲和平赫爾國務卿亦發表和平演說
page 3	中央紀念週于右任作報告
page 3	加爾洛夫事件波蘭提出抗議
page 3	德製藉口事件格魯那爾犧牲
page 3	國社黨挑釁搗毀關卡德波關係又復趨緊張波與英法瑞三國成立非正式協定規定在目前決不變更但澤之地位
page 3	蘇北水患兵災韓德勤請賑濟
page 3	英王參加大戰紀念碑揭幕禮演說謂和平與自由不可分離
page 3	法國務會議決議增強艦隊實務大西洋艦隊開往英荷比港埠　弋法　此舉與德意簽訂盟友約有關係
page 3	滬愚園路一帶Ｘ禁住戶遷移
page 3	偽滿宣稱蒙機飛入滿境外蒙在滿邊界與日偽電衝突
page 3	據滬之Ｘ再謀變更稅率
page 3	中英庚款會考選學生今年定廿六名
page 3	歐洲兩大集團對峙形勢確定德意同盟條約簽署英蘇將締防禦協定
page 4	失學兒童登記昨已有數百人
page 4	揮斧傷人犯不准以金贖罪
page 4	猶太難民三百餘昨過港
page 4	二千兩私煙案被告處徒刑兼重罰
page 4	匈牙利影星嘉麗現仍留港
page 4	新會保安隊來港徵募藥品
page 4	報假案犯入獄
page 4	防空員考試揭曉
