page 1	克復餘杭富陽後我乘勝進攻迫近　　杭城敵軍已於昨午向城北撤退我軍進至六和塔杭州旦歹可下
page 2	照原定計劃我軍放棄青島青市各項建築經已毀壞敵人得之亦為無甚價值
page 2	津浦線南北戰況南段我軍向烏衣反攻北段我軍由泰安改守大汶口某長官電韓指示並派隊增援
page 2	平漢線我軍克六河溝某某等部向臨漳成安挺進大明邯鄲間敵軍調動甚忙
page 2	敵機襲贛被我擊落一架
page 2	我空軍昨飛南京炸敵敵轟炸機二架被我完全炸毀
page 2	晉中晉北我軍全線向敵總攻晉中我敵對峙祁縣平遙間敵方後部大受八路軍威協
page 2	平偽組織諸傀儡昨就職首都偽組織亦宣告成立發表荒謬宣言排斥反日
page 2	非常時期監察權行使暫行辦法業經國民政府明令公佈
page 2	廣田發表挑釁宣言又欲拉攏英國並在實行以武力膺懲中國時蘇俄援助中國日對之當然懷恨
page 2	敵海相米內承認日本危機尚多杉山亦謂全世界不瞭解日本必須準備應付各種意外之變
page 2	滬工部局頒佈緊急通告嚴防抗日事件之發生
page 2	重要軍機劃分三大部份白崇禧負責組織訓練陳誠則負責政治訓練徐永昌負責參謀事宜
page 2	滬租界居民熱烈慶祝元旦
page 2	武昌天主教徒祈禱抗戰勝利
page 2	滬中華書局突告完全停業
page 2	日軍佔領橫琴島葡提正式抗議
page 2	昨日一日間滬公共租界發生炸彈案四宗日兵三人華人五名受傷日對此案認為極端嚴重
page 3	英謀應付德意日威脅本年大建新艦今年至明年共造主力艦十艦驅逐艦之建造打破歷年紀錄
page 3	英外部設外務總顧問襄助外相處理外交政策問題
page 3	中央慶祝元旦紀念鄒魯出席報告各地各界亦均舉行慶祝
page 3	德意志日報盛讚蔣委員長蔣委長所負使命之重大在人類歷史上罕北倫比
page 3	紐約時事雜誌選舉蔣夫婦為今年偉大人物而日本並無一傑出之領袖
page 3	英皇夏間赴法
page 3	希特勒五月赴意報聘
page 3	美貨船失蹤疑與日艦有關
page 3	巴納號被炸影片美人爭求先睹
page 3	日本郵船會社建築新船
page 3	羅法兩國保持友好關係
page 3	日首相告國人書中尚妄言和平冀掩大惡各保守勢力國家則日加以壓力日必須全部動員應付日前戰事
page 3	駐蘇大使蔣廷黻離蘇返國
page 3	羅馬尼亞新內閣宣佈解散眾院尊重國際條約排 斥猶太人羅新內閣有法西斯之傾向
page 3	美國壓低銀價
page 3	調整抗戰行政機構蔣專責軍事准辭兼職孔祥熙任行政院長所遺行政院副院長一職選由張群繼任陳立夫翁文灝張嘉璈分掌教經交各部
page 4	南華陸運會昨日閉幕
page 4	元旦足球賽南華兄弟獲勝南南運勝四只約瑟大敗三比一雛鳳勝奧華聯隊
page 4	公開排球賽保羅穩握冠軍
page 4	梅芳甲與西南西兩隊冤家聚頭解決本屆冠軍港大初遇梅乙
page 4	　東遊足球隊快　到港二月十九日先戰南華足球舉會檢閱實力昨作表演賽三對二港聯隊負　英倫三島隊
page 5	槍決漢奸
page 5	練保甲長
page 5	充實糧食
page 5	敵圖在唐家灣登陸被我軍隊擊退之詳情本報記者石岐訪查記中山軍隊實力之雄厚
page 5	整頓金融
page 5	虎門外之敵艦據報昨已他去
page 5	組戰時漁民指導會增強全民抗戰陣線
