page 1	歐局之緊張
page 2	楊永泰被刺案行刺動機業已查明但未至發表時期未便宣布將組特別法庭承審此兇犯
page 2	盧鑄代行鄂省主席職務
page 2	日外務省續開重要協議
page 2	楊夫人昨由滬赴漢
page 2	治喪處已正式成立
page 2	駐漢外領先後到弔
page 2	各方電唁楊氏家屬
page 2	日海軍部仍主強硬對華
page 2	寺內談話軍部態度不變
page 2	日軍大演習第一日在軍糧城作遭遇戰鈴木部向津進攻宣島部取守勢定三十日集中豐台作對抗演習
page 2	察匪王英失歡某方態度消極侵綏企圖因此轉趨和緩
page 2	林在國府紀念週報告科學研究為建設國家的始基科學是促進社會進化的工具科學可改善人民生活的享受
page 2	中日談判繼續進行交換調整中日關係意見張外長昨接見川樾會談結果雙方意見仍未一致日外務省昨開首腦部會議討論對華新訓令內容須磨將於今日攜新訓令返任
page 3	顧吳楊等電賀蔣公壽辰萬眾騰歡願為白辰之拱普天同慶各添東海一籌
page 3	內部藏書室昨日發表火警被焚房屋三間
page 3	香翰屏在紀念週報告粵省近情
page 3	四路軍考察團參觀軍事學校
page 3	戈定遠昨晉謁翁文灝
page 3	湘省府提高苗族文化
page 3	中暹協會籌備成立
page 3	國府批准國勞六公約草案
page 3	經建總會昨開各股會議
page 3	李思浩章士釗昨分謁宋哲元
page 3	粵省獻機可望達二十架
page 3	劉鎮華謁林主席致敬
page 3	廿九軍赴日觀操團昨已返國抵平徐廷瑤談日本之進步
page 3	全國天主教徒將為蔣公祈禱
page 3	阿王離並晉京
page 3	美農部報告我　棉產增加
page 3	日在青島設置特務機關
page 3	西政府軍勸告京城全體公民沿城挖掘戰壕以阻叛軍進攻叛軍圖佔愛　哥里爾為守軍擊退官軍大飛機兩架為叛軍飛機炸毀
page 3	意德談判完結意外長返羅馬
page 3	比法西斯派萊克斯黨進軍首都計劃失敗衛生部長謂比外交政策無變更將以武力抵抗外國法西斯主義
page 3	縱橫捭闔之歐局南斯拉夫已投入德意勢力圈中將承認意併亞國羅南希土定期舉行重要會議謀建立巴爾幹諸國防守同盟
page 3	財部分函全國各機關說明公務員所得額計算方法
page 3	法著名飛行家舉行巴黎西貢長途飛行競賽三機出發後均遭遇意外
page 3	何鍵將赴京參加獻機典禮
page 4	昨日學界籃球賽高級英皇勝中南今日四時半華仁　保維
