page 1	波蘭危矣
page 2	西江戰局好轉次第克復鶴山沙坪新會
page 2	浙贛路方面我再克沙埠潭謝埠市之Ｘ仍在我圍殲中
page 2	桂省救濟淪陷區學生學生住所已覓定每日生活費四角
page 2	懷遠偽軍荀家雲部反正率眾圍攻懷遠偽縣長投河Ｘ特務班長今野羞愧自盡
page 2	偽蒙軍反正
page 2	我軍包圍上海滬杭鐵路有隨時被切斷可能
page 2	精神總動員會通電各省委會希望全國同胞努力邁進將來為勝為敗決于此日
page 2	贛省舉行國民月會
page 2	桂省響應精神動員
page 2	川省各界國民月會
page 2	五一勞動節朱學範對美工人演說籲請美國禁運軍火赴日滬工人請工友制裁日閥
page 2	閩壯丁姚孝潮變產獻國國府特題激勵
page 2	滇金融業發達銀行添設極多
page 2	薛貴生在獄自縊斃命
page 2	Ｘ機一架昨飛潮汕偵察外輪四艘先後由港開汕均在媽嶼口被Ｘ艦搜查
page 2	外金融家批評華北偽幣
page 2	Ｘ機空襲寧波
page 2	福州再遭慘炸廿一日起四次死傷平民近千人
page 2	林主席在中樞紀念週報告二怎樣實行精神總動員集結國民精神替國家民族奮鬥實行八德以澈底改造精神生活
page 2	我們應該特別注意
page 2	鄂中大戰又復展開平漢線西隨縣以東戰最烈鍾祥之Ｘ偷渡襄河被擊退
page 3	將以捷克視波蘭希特勒限波交回但澤並要求築一軍路通過波蘭走廊波政府宣言決以合力抵抗侵略
page 3	羅斯福要求國會速行國防計劃撥款擴張陸軍航空部隊並加強巴拿馬運河防禦
page 3	英頒徵兵法案受其約束青年約達廿萬人
page 3	北愛首相起程赴英接洽徵兵案問題
page 3	日本西北部發生劇烈地震青森縣塌屋百餘間秋田縣城發生大火
page 3	美中立法之現款自購條款期滿今後美國外交政策國會方面尚甚紛歧
page 3	日注意英蘇談判中關於遠東問題日認英蘇合作範圍伸至遠東等於英蘇聯合陣線以對日本
page 3	希特勒以演詞答覆羅氏美方不能滿意
page 3	滬工部局令華美晚報停版因違反工部局警告
page 3	米美爾第一防線築成
page 3	蘇聯盛大慶祝五一節廣播演說對我抗戰表示欽佩
page 3	國府明令公布川青陝皖參議員名單
page 3	華北抗戰中的鐵道破壞隊
page 3	事
page 3	這
page 3	他
page 3	話
page 3	邀請蘇聯加入和平陣線問題
page 3	我祥符觀東北某部隊
page 3	天津大王庄Ｘ第六倉庫存儲大批軍械
page 3	我軍一日下午佔領平樓司後
page 3	我攻擊羊樓司部隊
page 3	我軍連日猛攻崇陽
page 3	聯合和平陣線將在歐洲出現積極參加者將有十三國之多而以英法蘇波士為基幹份子
page 4	婦女會昨會議
page 4	四月份之天氣全月得雨十五寸八分
page 4	七婦女團體致力工賑運動
page 4	破獲賭窟
page 4	搶匪入獄
page 4	行賄疑案
page 4	真光校救國宣傳
page 4	駐華英驅逐艦奉令加新標誌
page 4	裁判署案彙誌
page 4	身懷毒品
page 4	婦女兵災會兩次籌款成績
page 4	霍亂疫症再襲香港當局免費注射防疫藥劑注射地點昨已正式公布
page 5	西線最近形勢我游擊隊到處活躍
page 5	我軍封鎖博增西路防間諜混進探軍情倪部痛殲Ｘ便衣隊
page 5	吳川發現Ｘ間諜
page 5	省動員會即恢復組織李漢魂兼主委
page 5	兵役協進會成立大會情形
page 5	粵存糧管理會各委員已推定
page 5	省府合署辦公本月中旬可實現
page 5	郭思演免處分昨過汕返原籍
page 5	省新運會訂定公務員厲行新生活要則內分集體個人兩項
page 5	番禺偽組織大征苛捐
page 5	潮汕形勢又緊張中央大軍南下協防收容難童工作之急進
page 5	中央大軍源源南下
page 5	汕市警察巷戰演習
page 5	李吳菊芳搶救兒童
page 5	外輪進口又被搜查
page 5	潘幼齡返桂洲清奸胡某兄弟均斃命袁瑞廷懸賞獎勵
page 5	我機飛炸虎門黃埔Ｘ陣
page 5	東西兩岸交通斷絕
page 5	Ｘ防我游擊隊活動
page 5	南路戰訊近誌
page 5	游擊隊迭襲Ｘ營
page 5	高鶴間戰事仍烈Ｘ大部結集海口圖再進犯江會間我游擊隊之活躍中山Ｘ艦艇調動之頻繁
page 6	占鼎華派員訂購免稅洋米救濟四邑難民
page 6	一區保安司令部獲九漢奸已提出三名槍決
page 6	粵郵政局訂定十包郵件加費因以汽車運輸成本加增
page 6	袁帶抗戰有功鄧龍光昨電慰勉
page 6	一區保安第七團奉調後方補充
page 6	遂溪縣計禁運穀米出口
page 6	戰雲籠罩下的餘聞三三神秘的徐聞山
page 6	中山縣府鼓勵全縣青年踴躍參戰特定於五四紀念日召集訓話昨五一勞動節工界火炬巡行
page 7	人口增加稅收亦增
page 7	值千抽二賑濟難民
page 7	貨物極難運入內地
page 7	送三學生赴英留學
page 7	虎頭門海盜騎劫貨艇八賊均持鎗械且有手溜彈榜人脫險財物損失逾千元
page 7	澳門三埠輪渡現已照常開行
page 7	私藏無線電機兩被告被重罰
page 7	皇后酒店中兩婦郎仰藥死絕無遺書自然原因未悉所攜行李僅為一小籐籃
page 7	服毒
page 7	自縊
page 7	投海
