page 1	英意關係之轉變
page 2	棗陽戰事仍激烈進行日軍部在外圍據點企圖死守一部繼續向南潰退以求生路
page 2	汪偽組織經費困難崩潰之期不遠
page 2	綏西我軍連日出擊得手衝入平綏路麥連車站與日偽戰斃日三百餘
page 2	軍委會發表一週戰況五月十五日至廿五日
page 2	日機兇饞未饜再度慘炸重慶傷亡千人塌屋七百間日機被我擊落者五架
page 2	同蒲南段側日軍損失甚大高平外圍爭奪戰仍烈
page 2	桂南日軍竄擾受挫斃二百餘人
page 2	皖南我軍分路出擊如入無人之境一路克復青陽以北橫橋一路抵銅陵東南外狼坑
page 2	羅斯福廣播演說抨擊孤立主義美國人表同情於聯軍中立法漸失去其精神
page 2	粵北我軍克良口後乘勝南進追擊日軍現在米　附近我日發生激戰
page 3	英法兩國首相痛斥比皇賣友
page 3	爭霸太平洋的美日海軍實力
page 3	佛蘭特大會戰德軍損失綦重
page 3	日內閣中組織裏層內閣企圖齊一強化軍事外交政策以應付歐亞最近局面新環境
page 3	比內閣開會應付緊急時局決定繼續對德作戰視皇行動有違憲法
page 3	聯軍積極外交活動謀與蘇意締約與蘇談判可望易獲成功意則與德維持密切關係
page 3	西班牙發生反英運動
page 3	贛東日軍回竄彭澤湖口
page 3	滬一外人從高散放鈔票引動途人爭拾巡捕查究遁去
page 3	大阪大火於山阪被焚及半
page 3	加拿大取適當步驟應付緊急時局撥七萬萬金元以上充戰費陸空兩軍亦將大加擴充
page 3	比皇懼敵出賣友邦竟向德無條件投降在比英法聯軍仍決繼續戰爭比內閣決定仍繼續支撐聯軍
page 5	整個牽制日軍策略
page 5	中山開放最近情形
page 5	中山交通將再封鎖
page 5	廣州拉伕稍緩日軍檢查良民證倍嚴厲由流動檢查改為按戶抽查
page 5	官窯偽軍譁變數十名解禪審訊
page 5	潮屬旅韶同鄉組織糧食救濟會救濟家鄉糧食
page 5	桂設立糧食管理處黃維梁士積任正副處長
page 5	粵省設立行政效率促進會由李主席主持一切
page 5	軍委會通令嚴厲取締邊疆攝影
page 5	北路我掃蕩殘餘日兵良口我軍乘夜帶攻米　克風火嶺挺進石坑逼攻從化城花縣日軍反攻獅洞竄樂同被挫
page 5	日擾樂同被我擊退
page 5	花縣我日仍有接觸
page 5	麻村我軍挺進從化
page 5	挺攻米　激戰石坑
page 5	掃蕩殘餘克風火嶺
page 5	廣州東郊游擊戰迭起破壞南崗附近鐵軌夜襲龍眼洞之收穫
page 5	粵財政廳整頓惠寶稅收續訊各局所人員續有扣留葉達光昨赴惠州調查
page 5	禺南我團隊活躍偽縣府遷廣州呂派人員被排擠各科人員　更動
page 5	我軍進逼江會志在牽制日軍一五兩游擊區聯絡後更為活躍進襲古井附近之慈溪一度衝入中山暫時開放後米價仍未抑平
page 6	粵省建立縣區鄉鎮會報制度行政區每三個月召縣長會議一次鄉鎮公　組織及經費務照章辦理
page 6	中振會秘書孫亞夫視察桂南振務桂振濟會為義民建新村
page 6	四邑當局急謀救濟米荒續詳設立購糧會積極運米接濟四邑留韶同鄉撥款辦平糶省府加自衛團隊官兵米津
page 6	留韶同鄉辦米平糶
page 6	糧會趕辦平米接濟
page 6	日出高價收購糧食
page 6	增加各縣團隊米津
page 6	中央派員視察桂省政務
page 6	節節迎擊
page 6	分路進犯
page 6	日軍圖掃蕩瓊崖腹地萬全河畔我痛殲日軍我軍乘夜襲大成市日兵厭戰紛紛逃亡
page 6	益形渙散
page 6	某僑商之解決米荒談急須向鄰省購運穀米接濟一切枝節辦法無補於現狀
page 7	印度商務部之通告
page 7	被禁貨物六十八種
page 7	本港米價飛漲原因零售商人壟斷居奇奸商復為日軍搜購
page 7	飛剪機昨脫班
page 7	中國救濟會籲請各界捐助會長莫理士之談話
page 7	其他英屬尚能通融
page 7	國醫學會參加傷兵之友
page 7	崇正救難會募得四千餘金
page 7	住客聯會理事會議公推王棠為名譽會長聘關慕慧餘碧雲贈理產科
page 7	七七售花籌委會製花卅五萬朵通告告僑胞素食一天所籌款項盡交大會
page 7	英服務團兩團員昨赴滬轉往內地工作
page 7	印商務部正式通告禁六十八種貨物進口其他英屬尚可領照繼續運入本港為非金鎊集團未許通融織造瓷器糖果等行大受打擊
page 8	各界須防冒函行騙無知婦女被騙已有多人
page 8	大公報失紙案疑犯在滬被捕昨已解返本港落案
page 8	昨為葡國慶日葡領開會慶祝
page 8	利威行劫殺案昨提堂定六月六日七日提審
page 8	大捕伕役欽州築路
page 8	魯籍壯丁約有五千
page 8	又一批築路伕役冒險逃出欽縣日軍強拉壯丁萬餘二百餘人已遭慘殺
page 8	會議
page 8	通函
page 8	中美文協會新職員未選出昨出席人數過少流會
page 8	粵救護會港分會加緊徵募工作昨通函請各界勷助
page 8	百五十人冒險逃出
page 8	待遇非人殺戮隨意
page 8	張學良之妹張秋實昨結婚新郎為張曉雪
page 8	竊匪用迷藥
page 8	地喇華輪搭客行兇一客被斬重傷
page 8	糖商長期義捐又匯出一萬元
page 8	濠江輪昨出塢
page 8	婦人墮樓殞命
page 8	六漁人劫貨艇每處徒刑兩年
page 8	日開放中山志在圖利貨物出入口均須繳納通行費昨有一批入口貨竟納九千元
page 10	今夕公開籃球賽廣大迎戰星島乙組南商逢郵匯精武勵志抗國民
page 10	南華歌詠班定期止截報名戲劇股歡迎外界參加
page 10	夏令籃球賽的過程
page 10	學界排球賽今有四場戰事
