page 1	援助法蘭西
page 2	在蘇聯擺佈下立新政權成立紅軍已獲准開入立境
page 2	國際管理區西軍繼續開到西國巡艦亦開到港內飛機場已被西軍佔據
page 2	陳嘉庚等離陝赴洛
page 2	日軍一股竄擾扶南
page 2	立法院通過法案兩宗
page 2	超過阿爾卑斯山脈意軍向法進迫英軍奪得意軍兩砲壘意巡洋艦三艘被擊沉
page 2	美願加倍努力供應聯軍物質對法表示充份同情但不負軍事上責任
page 2	美上議院財委會通過十七萬萬元國防稅案停購外國白銀條款亦併列入
page 2	湘北我軍日後活動
page 2	荷蘭公主定期發表廣播
page 2	晉城日軍南犯不逞
page 2	浙東我軍奇襲杭州新市
page 2	狼山西旂部隊歸附中央
page 2	我克荊門斷日歸路奇兵兩路出現漢陽贛東我軍攻克慈母萬及向塘
page 3	駐巴黎美大使消息沉寂
page 3	蘇外長接見英法新使
page 3	日本的經濟危機
page 3	土耳其與埃及對意所取態度意若不侵埃埃不與意開戰土考慮以適宜方式助聯軍
page 3	英情報部國會秘書斥希特勒狡詐當希特勒將玫瑰贈人時常將惡毒之剌放入其中
page 3	羅馬尼亞內閣改縛
page 3	英法空航即將恢復
page 3	美嚴防內部第五縱隊活動
page 3	憤日軍欺淩偽員槍殺日將
page 3	財部貿易委會實行內部調整聘定重要職員
page 3	美飛行家林白廣播反對干預歐局主張充分準備國防
page 3	意領事團在美活動
page 3	芬羅匈三國繳償戰債
page 3	德軍侵入凡爾登鎮軍事局面確極嚴重德軍已進到馬奇諾陣線之後聯軍繼續戰爭決心仍未搖動
page 5	進窺中山八區各地
page 5	江會戰情已成對峙
page 5	銀洲湖現有日艦艇
page 5	潮安日軍迭次受創我軍衝入池湖後溝日被殲二百敗潰下寺新鄉所有糧秣工事悉被我焚燬
page 5	我軍兩路襲擊潮安
page 5	鏖戰達旦予日重創
page 5	粵南行署嚴厲制裁私梟歹徒走私路線頗多嚴查堵截務絕私源
page 5	發動民眾寫信向蘇聯表敬意促進中蘇兩國友誼
page 5	粵桂南部各縣奸商偷運銅元出口戰區長官部電令查禁一經查獲以漢奸論罪
page 5	廣西省府整理各縣積穀推陳入新調劑民食
page 5	中順我團隊炸毀公路橋樑破壞電線容桂情況又趨混亂
page 5	中央計劃組縣各級合作
page 5	始興土地整理推行登記成績
page 5	日軍北犯受挫後傷兵亦調往北路增援日兵所過大捕伕役
page 5	欽西北被困日兵已被我解決我三路大軍合力戰來犯日軍日騎兵領隊反攻全部為我軍擊潰我逆襲板坪控制大崗至小董交通陽電情勢仍極微妙漢奸乘機造謠
page 5	攔擊增援日軍
page 5	分路大舉來犯
page 5	電報經已不通
page 5	日海空軍又犯中山八區我團隊沉著抵抗日軍不得逞江會戰事雙方在對峙中
page 6	粵財廳飭各縣征不動產買賣簽證費征費章程已頒佈
page 6	西江日艇窺擾東西馬寧
page 6	捻山團隊擊斃運鎢私梟
page 6	粵北我軍乘勝南衝神岡混戰攻入龍翔我克三百洞神岡切斷日軍後路粵路日軍反戰與憲兵互相火迸
page 6	猛攻神岡克三百洞
page 6	花縣我軍攻入龍翔
page 6	粵籍華僑劉浮初捐五萬元救國當局分別嘉許
page 6	西江商販之叫苦運貨所耗費用甚鉅無利可圖領證結匯之貨亦被團隊截留
page 7	回國旅費發給辦法
page 7	醫藥人才應速應召
page 7	港府加緊訓練義勇軍訓練辦法在嚴密考慮中
page 7	九龍浸信會新教堂昨奠基
page 7	戰稅局飭商人呈報去年溢利確數將為開徵戰稅之根據以多報少者須受處分
page 7	女青年會為歐難民呼籲函請各會員捐輸救濟
page 7	節約建國儲蓄運動教會三組將同時出發定二十日先開祝捷會
page 7	培養僑民生產技能僑委會設職業補習班將指定僑校負責辦理開辦費由僑委會撥助
page 7	僑委會令
page 7	組織章程
page 7	內政部向海外徵求醫藥人才回國服務回國旅費全由政府發給港各僑團已在奉中央通令
page 8	德僑產業託日領管理蘭領事正辦理移交手續
page 8	學賑會舉行獻章運動十八日開始一連三天
page 8	金融界請擴展貿易場上書當事人條陳意見
page 8	獻劍團今日再度出發預定下月中可到重慶
page 8	澳門下週賽馬賽跑秩序已定
page 8	五人被控擅登海利輪船由船政署判處徒刑
page 8	全國海員紀念總理蒙難
page 8	住客聯會徵求傷友成績會長廖炳泉加捐五百元
page 8	南華劇院學員行將出洋奏技
page 8	粉嶺增闢支路利便運葬棺木
page 8	販賣不潔游涼水小販多人被捕
page 8	中山青年會派陳海鷹回國向各長官獻旂致敬
page 8	清遠同鄉協助社昨成立
page 8	警探大搜不合法會社搜屋十一所捕獲廿九人
page 8	淺水灣海灘仍准泳客架搭帳幕但指定地點須受相當限制免與該灣業主　利相牴觸
page 8	談小帳
page 8	中澳交通恢復澳撤銷糧食出口禁令澳門與三埠間之拖渡昨已復航內地魚菜疳源源運港不虞斷絕
page 10	南華游泳場第一次水藝成績甚佳各項競賽爭奪殊烈
page 10	學界排籃戰訊
page 10	住聯小球隊動態
page 10	昨日兩霧棒球聯賽香港僅勝工程岷甸奴輕取南華會兩敗隊打來有進步
