page 1	日本移民荷印
page 2	正太路我擴大戰果晉西南各處有激戰
page 2	平漢沿線我軍出擊奏功
page 2	台山下川島重見天日九江佛山日軍出劫被我痛殲
page 2	美第一隊救傷車贈送英國並正極力擴充將在全英服務
page 2	粵西前線記者紀念記者節
page 2	越南內部叛變不確意見確實分歧河內局面仍屬安定日攫越南經濟利益
page 2	瑞士西部發出警報
page 2	非洲法屬殖民地又有新份子舉起義旗加龐總督決參加聯軍作戰塞耐加爾人亦不願做奴隸
page 2	德潛艇擊沉英難民船
page 2	美國國防擴充案現正積極進行
page 2	羅斯福動員一部分志願軍受訓練一年
page 2	九一記者節渝新聞界電領袖致敬並通電提示四點以策勉全國同業
page 2	滬市綁殺頻聞已成恐怖世界
page 2	蔣委長關懷被災民眾親臨各收容所視察
page 2	魯南日軍被我擊潰
page 2	汪阿條約草案松本攜返東京須磨不願將內容舉出日駐泰智等公使辭職
page 2	粵實行公耕李主席親行破土禮
page 2	皖中我軍出擊奏捷
page 2	桂南我軍進迫龍州日軍恐慌大部南撤綏淥日軍兩路南犯為我痛殲
page 3	英國夜鷹隊向柏林襲擊
page 3	德蘇又訂新約調整德蘇邊境關係
page 3	加拿大海軍實力有艦百廿五艘
page 3	法西斯報著論攻擊教廷
page 3	意料美有參戰可有蓋達氏謂意國準備再打兩年
page 3	美海長諾斯將飛渡太平洋檢閱美海軍之會操
page 3	美租賃英屬島問題達到最後階段赫爾訪羅斯福密談料不久則有所宣佈
page 3	美國今日之海軍
page 3	德機二百架飛過英倫東南遭遇劇烈之高射砲打擊德國之轟炸機覆墜四架
page 3	匈軍開入羅新割讓地遭遇羅憲兵抵抗羅人憤怒闖德領館撕毀德旗羅當局慮德藉口派兵入羅國
page 5	突被我游擊隊炸毀
page 5	其軍事上屢受牽制
page 5	我游擊隊活動區域
page 5	橫陂橋樑已被拆斷
page 5	日機連日仍出肆虐
page 5	劉隊長談作戰經過
page 5	中山八區戰事昨轉沉寂沿海日艦日艇大部經已他竄日機連日炸斗門我損失甚微
page 5	婆羅島情勢極混亂
page 5	斗門各地現仍安謐
page 5	我機出動偵察日情
page 5	日機輪迴狂炸韶關人口物資已疏散損失甚少
page 5	日機在開建投彈被我軍擊落一架日機師兩名同時斃命我機廿九日飛襲黃埔
page 5	動員會農林局推進粵省農業選定六十六縣設站指導切實合作派員擴大宣傳
page 5	廣三路多游擊隊炸毀獅山站橋樑走馬營與獅山間路軌亦被拆斷三段日軍連日又在附近各村鄉大舉圍捕
page 6	花縣我軍克迴龍嶺
page 6	神岡近郊續起激戰
page 6	粵財廳長鄒琳就職李主席親臨授印並致訓詞
page 6	桂停學校軍訓
page 6	粵縣府組織規程從新修訂縣長為薦任職得以簡任待遇一縣政府下分設七科掌理各事
page 6	第　戰區經濟會議閉幕限期各省裁撤苛稅在粵招致技工人員
page 6	招致失學失業青年發給旅費辦法已定香港至惠陽十五元澳門至開平二十元
page 6	槍決兩日間諜
page 6	民廳整頓警隊
page 6	犯花縣日軍敗挫我反攻克復迴龍嶺兩龍殘日潰竄平山被殲甚眾神岡日增援我軍進擊水南頭
page 7	陳舊屋宇應即修理
page 7	取締辦法在研究中
page 7	連日派員四出調查
page 7	騎樓曝衣分別取締
page 7	播放德意唱片須領取特許證本港郵務司之談話
page 7	美艦禾花拆卸因年齡過老
page 7	老翁厭病求死
page 7	摩托車工會東區分會開幕
page 7	大亞灣海面昨到日艦多艘圖派兵登陸進犯淡水東江我軍已嚴密戒備
page 7	蔣委長獎勉本港米行公所
page 7	磨刀島兩躉船觸雷沉沒船東要求賠償十萬元謂合約訂明祇行走港澳僱主竟派兩輪走省港
page 7	港府調查陳舊屋宇將令業主大修或改建塌屋傷人慘案不斷發生此舉純係愛護住客生命
page 8	筲箕灣白晝防空演習代督諾爾頓亦到參觀並檢閱全體防空隊員
page 8	汽車墮落深坑全車毀碎幸無人傷
page 8	中國與英國
page 8	廣九路英段半月後可復通大埔山洞崩陷慘劇挖出尸體僅十一具
page 8	輪客投海獲救
page 8	警探捕獲竊犯
page 8	宵小墮樓殞命
page 8	匪徒截劫少女
page 8	中環擺花街歹徒當街開賭
page 8	省港航運昨已恢復佛山輸白銀丸先後抵港乘客談述廣州最近狀況
page 10	域多利會主辦全港游泳競技廿三日開始預賽決賽程序經擬定
page 10	南華體育會十五週年水運舉行有期
page 10	夏令籃球賽東方勝美爾頓獲初級冠軍
page 10	華雄會擬舉辦特別銀牌籃賽採淘汰制
page 10	東方游泳會昨晚水藝成績美滿水球劇戰結果三比三言和
