page 2	廣東之搶世界
page 3	京政府電滇唐繼堯請取銷自主並電劉湘請勸息熊克武但懋辛戰爭
page 3	沈鴻英派弟鴻烈抵京
page 3	政府以北伐軍若不撤回擬依吳佩會議以武力解決贛事
page 3	內閣總辭呈黎元洪不批答董康辭呈　退回並謂若辭適中奸計應候法律解決
page 3	天津各國體電京謂省長久懸未試　務廢弛將由地方民選
page 3	昨陸軍部金紹曾會同各員謁黎元洪索薪黎留午膳並約董康當面交涉董允撥一萬元金等仍不滿意擬全體赴府院再索並暫派衛隊赴崇文門接收關稅
page 3	聞馮玉祥應皖人之請派兵兩旅赴皖監視裁兵
page 3	四路　借款聞高恩洪仍秘密進行此次部員風潮聞內外均授意將　閣潮牽　政爭
page 3	齊變元丁憂　電辭督軍職國務院電令在任　喪
page 3	公使團消息謂粵仍對峙桂匪充塞贛事公府與曹錕吳佩孚主張各異豫匪無辦法鄂省長問題未解決皖政潮激烈浙局又倡別調甘省互毆案雖結陝劉鎮　與陳樹藩聯合拒　紹曾奉天又自主行省什九紛亂已　破碎之局若出廢督必成流寇世界八國協守義務將到履行時期
page 3	聞京　實欠軍餉五千餘萬　費　千餘萬內外債統計二十八萬萬第民應擔八元半
page 3	財部員司以董康被毆擬全體罷工要求總統予以保障否則不到部辦事
page 3	董康昨擬通電經王寵惠勸阻未發
page 3	聞鄭洪年近欲入某國籍為保護計
page 3	董康呈黎元洪被毆案祇求是非大白請從寬發落法部長　平允辦理大理院認為騷擾罪
page 3	昨日財政總長董康在國務院外被財政部之被裁人員圍毆衣服破裂極形狼狽　經與財部兩次長向總統提出辭職書財政部職員亦開會議決擬罷工要求總統下會令保護政府職員今日總統不允接受辭呈並派員親　董康　留滋事者被拘七人定明日審辦
page 3	十五號北京電四川消息劉湘現在　都縣熊京武　相助人但　辛現在綏定府料梁山縣附近瞬有劇烈大戰孫傳芳已請雙方首領勿在揚子江附近爭戰務以河道交通為重劉湘通電提議自願任四日防軍總司令並由伊肩任解決現局又提議請反對者會同開軍事會議選舉四川督軍省長又聞熊克武軍隊現沿楊揚江佔守強固之地位
page 3	傳聞衛輝府駐軍昨巳有一部份變亂但旋即平息地方損失甚微云
page 3	東方通信社電某方面消息吳佩孚接蔡成勳促其出馬之電
page 3	省議會推舉長誌
page 3	飛機處被焚續誌
page 3	江門軍事消息
page 3	粵軍調兵赴英德駐防
page 3	粵軍包圍翁源之計畫
page 3	省垣之戒嚴情形
page 3	韶　戰況之景近消息
page 3	西報之廣州要訊
page 3	陳達生被刺案續聞
page 6	北京丸已出澳
page 6	業主控　客案續
page 6	　本郵船公　擴張航業
page 6	桂省
page 6	美領事回港
page 6	傳染症報告
page 6	開灤煤礦報告
page 6	槍殺　母案再押候
page 6	意外　海　附近
page 6	賭案
page 6	被控強迫勒索
page 6	跌傷
page 6	劫案
page 6	日本海　軍費
page 6	　　煤礦與　界戰爭
page 7	香山亂事紀要
page 7	梧州方面之軍事近訊
page 7	民軍專事騎劫商輪
page 7	廣州市最近之情形
page 7	江門戰事之要報
page 7	火警虛驚
page 7	沙面前　會議紀略
page 7	粵軍捷報照錄
page 7	粵路工防已復業
page 7	省河南北交通如常
page 7	老堂　聯　誌
page 7	破獲作亂
page 7	　山風　慘劇
page 7	周之　駐容
page 7	四早盧
page 7	柳州歸　之桂局談盧燾遂林
