page 1	汪精衛入晉與晉省之現象
page 2	汪閻等乘機抵綏進城時沿途軍民致敬熱烈景況為空前未有
page 2	沙王等謁汪致敬聯請汪代陳中央請纓乘勝揮軍以收復失地
page 2	全國各地一致哀悼
page 2	汪在晉向各界演詞今後國策對內求自立對外求共存安內與攘外互為因果實不可分離
page 2	對內求自立對外求共存
page 2	安內與攘外二者不可分
page 2	歐美所注意國力與民力
page 2	惟民主主義能適應潮流
page 2	沉著作準備牧具決心
page 2	謀民力增進即國力增進
page 2	歐洲大企業多國家經營
page 2	日商銀行存銀有準備解繳中央國庫意總計為九百二十餘萬元
page 2	舍身衛國浩氣長存綏遠各界舉行追悼抗戰陣亡將士為國捐軀千載凜然有生氣殺敵致果萬方奮起效忠忱綏蒙將領請纓揮軍收復失地
page 3	川樾致詞
page 3	外長答辭
page 3	實吳致詞
page 3	兒玉致答
page 3	王寵惠等宣誓就職中央派張繼到場監誓由國府主席林森授印
page 3	由張繼致訓
page 3	王俞徐答詞
page 3	林主席致訓
page 3	墨索里尼碰釘子著書討好回教徒在國際間極盡挑撥間手段為回教禮拜寺教長加以反駁
page 3	法國防總長籲請國人認購國防公債法國志在和平但空言無補實際必實力充足然後方能保衛公道
page 3	上臘友好條約互換竣事外交部呈政院轉請國府備案公布國民政府已指令行政院准予照辦
page 3	賀國光等日內飛京報告川省政情
page 3	孔祥熙出國事日內便可決定
page 3	楊鎮亞等靈柩運抵首都安葬
page 3	津市破獲偽鈔機關槍決匪犯兩名
page 3	中央儲蓄會第二二期抽籤特彩二四六九五
page 3	馬德勒守軍遏止敵軍前進政府軍反攻結果收復失地三英里
page 3	世界金準備額蘇聯居第二位十四萬金鎊以上
page 3	羅國太后病篤
page 3	兒玉等抵京晉謁我國各當局川樾設宴招待王寵惠等作陪實吳歡宴闡述中日親善真意
page 4	國旗緩緩升起潘萊悄悄入場
page 4	多色彩的遇合劃時代的決戰
page 4	不料賊幕一揭小梵竟失常態
page 4	老鐵雙打表演仍然縱橫無阻
page 4	潘萊越打越猛使出看家本領
page 4	公開網球賽陸鎮祥苦戰林珍卒敗北雙打吳仕光韓倫豐勝利
page 4	普通界籃球賽甲組陽光勝鐘聲乙組紅星負鑰　與
page 4	十四次省運會縣聯賽辦法公佈參加費用概須自備
page 4	毅華小球隊勝強華明日戰雄飛隊
page 4	鱆魚隊將來港比賽
page 4	淩風社蘇劍豪辭職
page 4	群聲籃球隊戰陽光
page 4	本港外匯市穩定
page 4	八九金價昨略跌
page 4	世界網球爭霸記潘萊第一次大戰梵恩斯詳情
page 5	財廳催解地稅電各縣因收不敷支多留支應解之款
page 5	黃主席墓松昨晨自從化返省
page 5	劉維章因病留滬五路軍之印信直接頒發到桂
page 5	鄒岑先就省委職
page 5	港僑實業考察團行將到省
page 5	撤銷菸葉專賣案官商再商談稅額
page 5	國民大會解決一切內政問題中大不願接收法學院鄧青陽對本報記者談話
page 5	各中委提案錄要
page 5	根本救濟粵省糧食符澤初昨向國府條陳主張米商自由入口鉅資專局運銷統制亦無濟于事
page 5	米商電請維持原案貼印花
page 5	黃主席返省後仍居白雲山調養
page 6	粵兩兵工廠進行近狀第一廠工人暫綏施行軍事化工會准仍照常存在琶江廠完全用機械兵工
page 6	民族渡案今午開庭江門代表律師等已先後抵省死難親屬昨在聚龍崗祭死者
page 6	水泥分區專賣辦法之改善
page 6	製皮業糾紛未已資方拒絕復用被除工人社會局派鄺成澤調查
page 6	廠主意見
page 6	陳章甫逝世
page 6	廣州全市童軍慶祝紀念節盛況
page 6	會塢一瞥
page 6	觀禮長官
page 6	開會情形
page 6	廣州市社會局特通飭市小學校
page 6	河南三區公所
page 6	廣州信鴿研究會昨在市黨部禮堂
page 6	鹽商力請免征統稅召集會議決定應付步驟
page 6	粵鹽外銷銳減
page 6	議決入京請願
page 6	銷運折衷辦法
page 6	廣州市商會應付營所兩稅之近況
page 7	羅爵士意見
page 7	港政府公告
page 7	嘉柏德任務
page 7	英航業情況
page 7	孫科定月杪南返殷商多準備投資開發瓊崖莊文其將赴瓊視察籌設大糖廠港商日間亦會商組考察團辦法
page 7	黃華表昨日晉省
page 7	張彭春今晨到港講演秩序均已編定
page 7	兩大學合組之瓊崖黎苗攷察團過港返粵楊成志博士談攷察之經過情形雕面文身之黎女數人隨往廣州
page 7	化黎簡史
page 7	考察行程
page 7	黎苗境遇
page 7	考察結果
page 7	請增設交通票誌獎料涼果商會原函
page 7	賑綏聯合會開會追悼綏遠陣亡軍民場內滿佈輓聯花圈極形肅穆各代表到會者數達二百餘人
page 7	開會情形
page 7	捐款賑綏
page 7	益臣輪搜獲大宗私煙煙膏三千餘兩藏貨倉中船員一人被緝私探拘究
page 7	王　笙昨晨赴粵駐港日總領水澤同車
page 7	英航業委員會積極改進遠東航務嘉柏　來華亦負有此項使命十年來英國在遠東航業狀況
page 8	攻守兩軍遺調甚忙
page 8	步兵一旅增調來港
page 8	列杜司令昨日抵港
page 8	桂茶油出口大增
page 8	臬庭開審刑案中和金舖劫案犯盧燕平處徒刑七年誤殺榜人案被告罪名卒成立糖店東須補償死者家屬卹金
page 8	藏有紅丸
page 8	華機會昨討論參加巡遊之問題
page 8	歐美富翁二千人本星期日乘輪到港
page 8	嘉柏德遊粵印象返港後之談話
page 8	港商籌備迎英使
page 8	駕貨車行竊鐵板
page 8	汽車又輾斃一人
page 8	金山輪搭客投海
page 8	串劫店員
page 8	截劫婦人
page 8	金舖劫案
page 8	行使偽幣
page 8	環遊世界帆船試航
page 8	港督頒給山倫勛章
page 8	藏械案疑犯出境
page 8	廠聯會理事會議
page 8	蓄未註冊婢被重罰
page 8	軍事演習昨開始列杜司令抵港指揮將再調勁旅加厚港防衛力撥款二百萬鎊建偉大兵營
page 10	藏毒案昨日提堂
page 10	紅丸案兩犯入獄
page 10	捐款數萬元將匯綏省散賑華人機器會昨已匯去六百金
page 11	桂洲各姓奉令興學各私塾多自動停辦
page 11	修東下圍款已撥交
page 11	縣府征工興築公路
