page 1	日軍部與政黨雙方態度惡化
page 2	黨務組審查報告
page 2	政治組審查報告
page 2	經濟組審查報告
page 2	教育組審查報告
page 2	悼朱氏全體默哀
page 2	五院長設讌招待
page 2	各提案大部審竣
page 2	主席團下午開會
page 2	余漢謀歡宴各委
page 2	西安警備司令部成立宋希濂任警備司令陝主席孫蔚如已到省府辦公李志　昨晉京報告陝省近況
page 2	朱培德遺禮明日大殮蔣委長為王喪人蔣委長昨赴殮室審視遺容極為傷感李烈均放聲大哭老淚縱橫血壓增高
page 2	三中全會昨開三次大會將通過信任現政府案馮玉祥等提案主張改變對外方針宋慶齡之提案主張聯俄容共抗日李宗仁等領銜提出提案主張立即發動抗日戰爭
page 3	尾崎侃侃質問增厚國防之理由
page 3	軍人擅自行動日直非一等國家
page 3	日本泯除野心中日提攜可實現
page 3	日與德國親善實無理由之可言
page 3	軍人支配政府六十年來所未見
page 3	陸相杉山答詞指政治腐敗退化
page 3	華僑獻機補行命名典禮計共機二十八架香港方面佔四架
page 3	偽蒙長官公署組織大致就緒俟德王返寺即正式成立
page 3	司法院減少人民訟累財產權不及一千元者以兩審終結不得上訴
page 3	林主席電賀意王誕生長孫
page 3	津市囤積私貨達百萬噸以上
page 3	劉建緒部痛剿浙省殘匪
page 3	金憲章由綏赴並謁閻
page 3	蔣夫婦今晚播講新運
page 3	宋哲元昨宴桂考察團
page 3	粵漢電話下月一日開放
page 3	西政府軍反攻查林麻鎮叛軍已漸感不支
page 3	戰神威脅下歐洲各國積極準備擴軍張伯倫向眾院提出國防公債案英將開始艦美亦將急起直追俄向英照會願意加入潛艇限制條款
page 3	美上院通過永久中立法案
page 3	英　員白克斯在上院提議對殖民地採門戶開放政策外務次官樸萊茅斯代表政府答復謂英政府決不接受此議遂作罷論
page 3	日政局日增嚴重中老政治家尾崎為憲政呼籲痛斥軍人無理干涉政治蘇聯無向他國挑釁之意英美亦無侵犯遠東意向按諸國際情勢日政府實無藉口擴張軍備之理由中日友好提攜必須日本先具誠意日德成立防共協定更為絕無理由
page 4	羅德權鼎小型足球賽二十二隊參加杜　章再贈殿軍獎限期繳交球員照片
page 4	中級乒乓昨四場比賽成績今夕中央戰雪峰
page 4	兩校獎勵長途賽跑捐贈免費學額能達終點京免收三分一學費
page 4	友誼籃球戰淩晨約戰華雄乙明日下午二時在下公園
page 4	英銀價遠期略跌
page 4	中華社隊戰　　港
page 4	八九金人心轉疲
page 4	各行股票之市情
page 4	廣州之金融市情
page 4	港外匯市情穩定
page 4	滬外匯市道極靜
page 4	英美匯兌轉低縮
page 4	舊中紙跌後微升
page 4	省法幣市價略起
page 4	華東足球隊昨赴粵明日舉行慈善比賽英郵船來遲上海埠際隊今晨北返
page 5	市府維持粵語影片訊擬從緩執行取締仍呈請省府核定
page 5	李宋南返消息
page 5	黃埔支經工程延期兩月竣工總工程師之談話
page 5	市當局對娛樂捐態度市財局某職員之談話取消承商月餉改收娛樂捐係為改良稅制值百拙七係取諸顧客之奢侈消費征收合理大部娛樂場已遵章辦理風潮將以不了了之
page 5	航商再請弛封灘禁一部航商會談再向船局請求
page 5	蠶絲改良局籌辦南海織造業貸款
page 5	桔水取銷專賣後
page 5	所得稅申報成績
page 5	省商會代表請願後營業稅潮之解決消息
page 6	社會的恐怖最近三年來粵市他殺案之統計計共三千一百零四宗以廿四年為最高紀錄比自殺案多三倍有奇
page 6	湘米運粵檢驗仍苛湘購米辦事處之呼籲
page 6	金屬礦業公會請改善鎢礦專營
page 6	交通部自將粵港滬三線長途電話工程完成
page 6	西江十二屬旅省同鄉
page 6	市民試辦湘米
page 6	洋米辦進數目
page 6	米貴累及菩薩
page 6	將開調節會議
page 6	潮梅米荒情況近誌搶米之風仍未稍戢汕商會之會議救濟
page 6	維護韓江治安法
page 6	全省體育協會舉辦第八屆環市賽跑及國術比賽
page 6	米糧借款銀團
page 6	陳嘉佑靈櫬昨抵省十九晚運湘
page 6	光孝分局段內長庚路湖洞街第九號三元棚廠
page 6	廣州長堤新填地金陵中學　辦春節游藝大會
page 6	建設廳規劃完成全省長途電話網
page 6	軍警執行煙禁之嚴厲派便裝員探在售　所門前檢查入所吸煙之煙民冒名代領憑証煙老板與煙民被拘五十餘人附市河南下渡芳村花地大坦尾九龍廟等處煙館營業暢旺
page 6	汕當局嚴查煙賭
page 6	自來水管理處計劃建築大水塘
page 6	福建省府主席派員來粵請移民閩邊改劃上杭等三縣為潮民墾殖之地
page 7	總理席次
page 7	主席致詞
page 7	周氏致詞
page 7	選舉結果
page 7	葛爾尼
page 7	加蘭地
page 7	維亞谷諾
page 7	經建總會組國貨聯營公司希望本港僑胞踴躍認股
page 7	春季賽馬明日開始省澳士女紛紛來港參觀
page 7	日駐港官員調動
page 7	洪興錦律師逝世法界聞人又弱一個
page 7	三角嘜藥棉每盒四毫
page 7	交代日期
page 7	東華院新任總理選出周兆伍為三席李祖祐江之鼐為首總理本月二十六日正式接事
page 8	西商會秘書白禮氏報告出席華織造總會會議經過對華商提出意見詳細解答
page 8	名人過港談片
page 8	白禮氏答復
page 8	華商之意見
page 8	由京出發
page 8	此　目的
page 8	致力救國宣傳湘人徒步旅行全國抵港三年前出發已歷十餘省將轉趕滇桂完成此壯舉
page 8	回　南京
page 8	擒賊須擒王美名偵探富力希利氏抵港發表處置偽幣犯之意見赦免從犯使供出案中魁首鴉片紅丸犯亦宜依法辦理
page 8	近代偵探學術
page 8	赦免從犯方法
page 8	華商總會為汕尾商人呼籲請勿撤銷行車權
page 8	山打根女王抵港
page 8	陳嘉佑柩昨運湘
page 8	公祭
page 8	運粵
page 8	本港名西醫楊琳在澳旅店跳樓殞命聞係久病神經錯亂所致靈柩今晨運返本港安葬
page 8	深水　發現鞭殺棄屍案遍體傷痕死狀甚慘
page 8	鞭殺棄屍
page 8	警探查究
page 8	蛛絲馬跡
page 8	第三屆集團婚四月三日行禮
page 8	紅丸案三犯入獄
page 8	港軍事當局擬劃赤柱為駐軍區撥款百萬建築軍營及醫院公共游泳場所將宣佈收回
page 10	華機會賑綏工作定月底結束辦理
page 10	灣仔一汽車墮坑
page 10	械劫傷人案押候
page 10	兩公司將開年會
page 10	衛生醫官時症報告
page 10	北海輪船免入禁海
page 10	余東璇捐助露救會
page 10	殷商捐助西南學額
page 10	書法比賽頒獎有期
page 10	書畫展覽會參觀紀
page 10	全國手工藝品展覽會減免運費徵集出品業與鐵道交通財政三部商定免費半費運單五種亦已寄港
page 11	中山農業與衛生展覽會盛況一連五天觀眾擠擁
page 11	開幕紀要
page 11	開會情形
page 11	會場一瞥
page 11	台山囚犯請大赦
page 11	新會保安隊剿匪之激戰聯防隊副及隊兵三人陣亡
page 11	陳永安辭一分局長
page 11	影畫戲院失慎虛驚
page 11	塔園鄉歹徒繳警械
page 11	新會法院傳訊楊子毅控案
page 11	女侍玩槍誤斃稔客
page 11	神崗取締迎神賽炮
page 11	佛山茶室昨已復業
page 11	全縣裁為四聯鄉區
page 11	石龍公園內之火警
page 11	許崇清昨視察教育
page 11	石龍鎮社會概況肆
page 14	英國航空事業本年將有普遍進展大西洋航線政府補助十五年忙於趕製飛機結構大加改進
page 14	統一救國大同盟發表重要宣言通電全國請一致主張呈三中會請俯賜採納
page 14	宣言
page 14	通電
page 14	呈文
page 14	倫敦投資紀事報論我國新政策對蔣委員長孔部長備加頌揚
page 15	大戰當時潛艦施威
page 15	廢止主張結果毫無
page 15	兩推進機缺點甚多
page 15	傳德尚有另一發明
page 15	國際聖餐會在菲舉行情形加入五十八國代表赴會甚眾菲移民部竟阻礙我代表登岸駐菲總領事已向移民部抗議
page 15	未來海洋戰利器德完成單一發動機潛艇重量減輕容積增加速率促進一掃舊艇缺點引起各方注意
