page 1	肅清赤匪與消滅高等漢奸
page 2	殘匪狼狽北竄西蘭沿路均告收復
page 2	蒙匪調動甚忙向百靈廟集中
page 2	太原韓醫樸解生被逐出境經過
page 2	唐有壬被擊瞬屆週年紀念
page 2	籌設國貨公司
page 2	四路軍考察團遊覽平市名勝
page 2	華北日軍秋操竟有乘機潛逃者日坦克車輾一斃小童昨為秋操最後一日田代在八寶山大檢閱
page 2	平市毒犯末日將至明年一月一日執行槍決平市各棺木店趕製棺材
page 2	滬粵線南下機今日在港降落已有五客購票
page 2	國民政府命令謝瀛洲任粵審計長
page 2	廿五省市實施補教計劃
page 2	皖湘贛米糧銷粵正在籌商中
page 2	貴州光復紀念
page 2	朱紹良報告剿匪情況
page 2	蘇聯國慶紀念
page 2	青島各界繼續募款購機
page 2	甘省黨部請趕築隴海路
page 2	蔣委員長厚贈段氏喪儀並派員襄辦喪事
page 2	中日交涉日本企圖利用時機密切注視西班牙時局變化柏林羅馬日使大事活動企圖聯合日德意陣線應付環境
page 3	張學良已飛返蘭州
page 3	津市籌辦冬防
page 3	前日鐵道大臣內田確有受賄事實被當局檢舉起訴
page 3	海參威日僑那賀一郎被捕犯有間諜嫌疑
page 3	蕭愈即行出國
page 3	閩省厲行煙案
page 3	傳令嘉獎李旅
page 3	阿王日內返旂
page 3	于院長宴阿王
page 3	蔣謝中執監委
page 3	英國監璽大臣哈里法斯演說重視遠東時局與地中海問題英必須利用各種機會以協助遠東之和平地中海英意利益無衝突最大利益在和平
page 3	日本軍人抬頭後政黨內閣沒落在即
page 3	墨索里尼返羅馬米蘭人民熱烈歡迎
page 3	德意攜手謀樹歐洲霸權
page 3	美國海員意見分裂一部份反對罷工
page 3	美國選舉下屆總統羅斯福極佔優勢
page 3	西國叛軍力攻京城不懈
page 3	奧總理辭職新內閣已成立親德派當權
page 3	英皇向國會致詞後女議員致謝詞
page 3	姪女志潔出閣
page 4	公開排球糾紛今晚再會商解決
page 4	學界籃球賽華仁保羅大得勝九龍華南壓倒鑰智
page 4	旭和杯慈善足球初賽陸軍三比一勝海軍外隊相競中國球迷到場參觀者參寥下場戰事劇烈哈地根士溫受楊休戰
page 5	閩邊匪竄粵近狀李漢魂限期肅清孔旅陳團調大埔
page 5	某外人拒納特稅製煤油貶價傾銷土煤油商之請願
page 5	黃主席曾市長昨起程赴港情形
page 5	廣州各行商再請撤銷蓋嘜新章列舉窒礙　行之理由
page 5	保安司令將委出保安處組織已從新榷定督察專員改保安視察員
page 5	粵軍醫學校改組
page 5	澄清吏治之先聲公務人員實行銓敘資格審委會之規程
page 5	社會局解決酒樓勞資糾紛昨令工會遵照
page 5	粵市編辦保甲訊
page 5	廣州計劃改組特別市訊市內永遠不駐軍總部省府遷地說陳章甫計劃設北路公路網
page 6	廣州市檀香行
page 6	廣州市釀酒業
page 6	孫科返中山與開闢香洲商港
page 6	英庚款辦粵水利修築全省堤圍明年實行施工
page 6	商號廣告如有侮辱女性者婦女會予以警告
page 6	越南過境免稅貨物市府布告市民周知
page 6	市商會定期討論河內展覽
page 6	華南戲劇電影審查
page 6	德國駐廣州總領事官阿登伯
page 6	昨據市黨部息
page 6	粵省商會聯合會
page 6	廣州市社會局昨佈告略云田雞為護穀益蟲
page 6	實業部廣州商品檢驗局局長劉庸
page 6	省營糖廠計劃設立小型搾蔗機分在潮汕徐聞瓊崖等處設立借與農民使用後農民種蔗必獲厚利之計算粵省應為糖業中心司徒錫對本報記者之談話
page 6	官太控夫請離異並索賠償
page 6	傭婢控主被姦污不予起訴
page 6	　廣州商行再請免征專稅兩檀香行提出理由三點省府認為實情令飭財廳再行核辦釀酒業以酒牌稅加二國防捐准免請照案一律豁免
page 7	獲架代表港督郊迎
page 7	文武官員依次會見
page 7	督府開跳舞歡迎會
page 7	中西軍警嚴密保護
page 7	花車到站樂聲四起
page 7	黃主席等拜會港督
page 7	港督希望省港合作
page 7	黃主席亦深表同情
page 7	曾市長盼外人投資
page 7	黃主席之書面談話
page 7	曾市長之書面談話
page 7	各界今日歡迎秩序
page 7	黃慕松曾養甫昨來港報聘及宣慰僑胞全港官紳到車站歡迎英兵三大隊受檢閱港督開盛大跳舞會招待並導遊九龍半島數百個華人團體今日分五地點開會歡迎
page 8	胡惠德演講母嬰健康問題生養太密嬰兒必易夭折有遺傳性病者不應生產
page 8	大選揭曉後要訊
page 8	國語運動之進行
page 8	失足墮樓兩人慘死一個是小童一個是工人
page 8	警政考察團返粵
page 8	雞籠環發現縊屍
page 8	汽車傷斃四路人
page 8	糖商將謁黃主席請改善糖業統制
page 8	漁民協會將成立
page 8	步行全世界緬甸少年之壯舉
page 8	空樓中一人暴斃
page 8	朗山道男子服毒
page 8	中航機今日起在港載客辦事處設在九龍半島酒店郵件每半安士徵費三角半
page 10	港府修正接生例
page 10	初級法庭案彙誌
page 10	懷有偽幣
page 10	騙士擔費
page 10	擅離職守
page 10	開設煙館
page 10	逼人入會案初審
page 10	彌敦道劫案押候
page 10	聖雲仙賣物會結束
page 10	兩美艦昨赴小呂宋
page 10	意貨銷場漸恢復西國貨運港銳減
page 11	北江土匪搜劫婆髻山礦務公司
page 11	更換四個縣長設農村合作委會
page 11	廣花路修龍口段
page 11	會城防軍捕獲疑匪
page 11	公益分局破獲賭窟
page 11	燈樓寮塌傷斃兩人
page 11	一五五師招待各界
page 11	鄉所獲匪遊刑失蹤
page 11	開平亢旱成災救濟院籌辦平糶
page 11	准江門恢復偵緝隊
page 11	圍捕著匪何柏不獲
page 11	蔗圍迭接匪打單函
page 11	擊退圖劫輪渡匪徒
page 11	鎮南路火警燒一屋
page 11	閩粵當局計劃興築閩粵鐵路將以漳州為起點汕頭為終點
page 14	東北軍不忘老家張學良決誓死報國華北青年典質摒擋赴西安東北軍隊願站國防最前線張氏精神飽滿身體康健不忘收復失地
page 14	東北人民
page 14	救國標語
page 14	轉趨對外
page 14	譯述如下
page 14	救國運動
page 14	加重語氣
page 14	蕭山湘湖風景優秀浙闢為農村實驗區建設計劃已草擬完成湘湖開墾之沿革概略
page 14	一湘湖之沿革
page 14	滬日僑壯丁訓練
page 14	增設航空五隊
page 14	日本增加駐滬兵額陸戰隊擴編成旅團全部人數已達五千五百並添航空隊便裝漫遊探聽消息
page 15	湘湖與九鄉水利之關係
page 15	湘湖之面積與水量
page 15	五湘湖之塘堤是壩閘
page 15	湘湖之土質
page 15	沿湖農村狀況
page 15	行將工竣之國民大會堂巡禮細針密縫從事裝置美輪美奐指日告成
page 15	歷次主張開墾者之意見
