page 1	法蘇關係之前途
page 2	重慶各界舉行反汪宣傳運動許多日偽官吏由滬抵甯準備參加偽新政府成立
page 2	蘇正式向英提議商訂商務協定蘇欲避免與德牽連太甚欲保持較平穩中立地位
page 2	我軍三度破壞錢江大橋
page 2	林主席廣播演講痛斥汪精衛叛黨叛國嚴正表示與蔣總裁同德同心督率全國官吏人民護衛國家
page 2	滬一日間槍殺案三起許申薛顯揚受重傷馬少荃左肩右臂中彈傷勢尚輕
page 2	全國中小學生自製空中武器展覽教部定八月中旬在渝舉行
page 2	南僑團陳莊兩團長謁林主席蔣總裁致敬陳又赴某地勘察製藥廠廠址
page 2	定清煤礦爆炸死傷三百餘人
page 2	中央決定卹慰七十二烈士家屬調查參加是役之現存同志更將規定辦法以彰其功烈
page 2	晉東南我軍迭有收穫皖南青山附近血戰中鄂北弼家灣日軍全部被圍殲
page 3	聯軍最高軍事委員會在英舉行會議英法閣揆均有參加決定將來軍事行動
page 3	中央紀念革命先烈林主席報告希望全國將士不惜犧牲踏著先烈血跡努力前進
page 3	前捷總統貝諾斯談捷克已變為一大監獄政治上經濟上均被桎梏
page 3	南匈進行商務談判
page 3	駐蘇英大使假期將滿將返莫斯科述職英蘇邦交未斷絕
page 3	土耳其已具決心遵守條約義務縱使因間接理由而受挑撥決不辭一職以維護其權益
page 3	東京大火焚屋共八十間
page 3	德機在薩蘭島外襲擊英商船隊德機兩架失蹤
page 3	逃避荷印港口德輪多艘已滿載貨物準備出海經過太平洋而到海參威
page 3	巴西中央銀行暫停買賣金鎊
page 3	泊英中立國輪船員禁止登陸防洩漏軍事秘密
page 3	蔣公子　國在美學習空戰
page 3	甘茂林在英倫檢閱加拿大軍
page 3	和平使者歸程維里斯抵紐約即入白宮謁羅斯福對外未有任何表示
page 3	匈空軍司令訪意空軍當局
page 3	英機飛入荷境荷向英提抗議
page 3	蘇聯國會定昨下午開會外長將出席報告
page 3	德蘇邊界封鎖現已局部開放
page 3	上年十二月份外人在美投資增加千餘萬金元
page 3	新省主席李溶逝世林主席特電致唁
page 3	南洋回教徒籌備來華訪問
page 3	日福島縣反戰者縱火焚燬房屋數百間日軍需損失極重
page 3	滬租界又起大火怡和堆棧被焚
page 3	英法加緊實施封鎖政策聯軍即將在瑞挪領海巡邏料北海不久則有重大事變
page 5	日聲言斷三廠交通
page 5	大沙被陷再窺粉洲
page 5	中山八區依然穩固
page 5	增到石龍之日軍大部調往增城增援傀儡在東莞被炸日偽火迸之餘聞
page 5	傀儡昨回東莞被炸
page 5	余總司令獎幸耀燊
page 5	日偽火迸情形續誌
page 5	嶺東日軍被挫後連日飛炸各地洩忿我圍意溪殲日軍逾百興寧各地被炸之調查
page 5	粵北日軍續增砲轟花縣城我攻入楊村殲日軍襲龍翔破壞日軍橋
page 5	圍剿邊區匪巢數處
page 5	東路各地肆虐洩忿
page 5	向花縣城發砲狂轟
page 5	再接再厲痛擊日軍
page 5	桂榮譽大隊重赴前線抗戰
page 5	英德縣積極辦理善後工作一面賑災一面清鄉
page 5	粵教廳優待華僑子弟回國就學
page 5	日軍又謀再犯粵北安藤飛滬請求昨偕　垣返粵新任日陸軍特務機關長矢野昨偕安藤抵粵任德顧問為軍長令在東江擴編偽軍
page 5	中山日軍恐我團隊混入襲擊決封鎖前山廠之交通人口貨物均不准通過圖控制中山八區但不得逞
page 6	建設辦法
page 6	編制方面
page 6	桂省從新安定金融違例操縱決以漢奸論罪
page 6	省府頒佈戰時鄉村村衛辦法各村壯丁須輪值守衛負警戒防奸禁賭等責
page 6	村衛壯丁應負任務
page 6	不用旗號不設隊部
page 6	拿獲人犯處理辦法
page 6	傷兵之友社徵求社員近訊在機關服務各黨員概須參加
page 6	抗日復興林場限四月前辦妥
page 6	台山訓練鄉鎮長設講習班
page 6	吉隆坡殷商陳錦生捐廿萬元救濟粵北災黎李漢魂覆函致謝
