page 1	建國廿九年元旦獻辭
page 2	委員長廣播原詞
page 2	最後勝利
page 2	精神動員
page 2	鄂南我軍加緊圍攻通城攻克大沙坪斬獲甚眾
page 2	上下一體
page 2	民族復興
page 2	絕對統一
page 2	奮鬥犧牲
page 2	孔部長元旦告僚屬書值改歲伊始以三事相勉
page 2	自今天起
page 2	晉東南戰事激烈我軍衝入壺關斃傷日軍二百餘
page 2	粵北戰事劇烈我殲日二千餘日機十八架犯柳州被我空軍擊落八架
page 2	英大使卡爾啟程來港
page 2	實業家愛迪生任美海長
page 2	國民政府頒發授勳令蔣委長廣播策勵國人
page 3	畢特門提議禁止軍械運日並將勸外委會通過此案
page 3	抗戰前途展望
page 3	一關於抗戰的性質
page 3	戈林新年狂吼準備猛炸英倫希特勒之新年宣言重述德國陳舊論據
page 3	西線方面有前哨戰
page 3	土耳其地震現仍未了愛琴海沿岸區域又患潦災
page 3	新年致海外華僑書中央海外部長吳鐵成發表
page 3	西輪安多尼立號發生火災
page 3	侵芬蘇軍集合完畢尚未開始總攻
page 3	美議員湯麻斯評論中日戰事
page 3	抗戰到底的程度
page 3	保持勝利的條件
page 3	日小林聯隊長被我擊斃
page 3	皖南我軍全線出擊
page 3	和戰的問題
page 3	羅馬教皇與羅斯福進行和平工作羅斯福代表將抵梵蒂岡城會商和平運動之聯絡計劃
page 5	日軍撤退情形
page 5	四邑各縣嚴厲查禁日貨
page 5	日艦炮轟金鐘
page 5	廣州日軍大部抽調北援仍然四出拉伕
page 5	行走石歧澳門隆記輪渡被偽軍截劫
page 5	第四戰區封鎖日區辦法無證明文件者禁通過封鎖線
page 5	我團隊入深圳
page 5	傀儡星夜開會
page 5	虎門開放消息
page 5	台山各界舉行民族文化運動
page 5	佛山拉伕慘狀
page 5	定期召集縣長開會
page 5	羅翼群之重要談話
page 5	嚴密堵截邕寧日兵潰退粵桂邊區我加強戰力桂林行營委出邊區游擊司令羅翼群暢談戰時民眾之動員日內出巡各縣健全基層組織
page 5	我團隊向沙頭出擊日軍深夜撤回兵艦容奇日偽亦有撤退模樣
page 5	行署高級職員題名
page 5	沙頭角深圳之日軍連日撤退之詳情續誌南頭日軍亦已撤退我團隊昨入駐深圳
page 7	大搜私寨
page 7	先捕三人
page 7	跟蹤搜查
page 7	捕七男女
page 7	兩賊深夜截劫收賑員五百餘元搜掠一空
page 7	輪客投海獲救
page 7	難童工讀院繼續收容難童
page 7	回教青年會籌募寒衣結束
page 7	歐戰發生後鎢錫出口大增麵粉輸出則反減少
page 7	鎢錫價格暴漲
page 7	本港各僑團慶祝元旦自衛團在加路連山行授旗禮
page 7	去年出口情形
page 7	名手盧輝等加入明星棋壇今晚起舉行聯賽
page 7	鄭和號帆船已安抵岷尼刺
page 7	麵粉行不景氣
page 7	織造業總工會昨日正式成立
page 7	業聯劇團明晚公演新劇
page 7	華探長石堆破獲萬生牛欄巨劫案捕獲疑犯七名搜回紙幣數千元今午將召集事主舉行認人手續
page 8	石灣陶器在九龍
page 8	喜出望外
page 8	二就地取材
page 8	婦慰會募捐訊
page 8	不假外求
page 8	建國儲蓄券可望在港繼續發售港當局現在攷慮中
page 8	學賑會昨會議響應獻劍團慰勞金運動
page 8	六邑籌賑會定期演劇籌款
page 8	牛肉行獲厚利因是年牛皮價格昂貴
page 8	兩人打架受傷
page 8	華仁舊生聯歡
page 8	四五光十色
page 8	五精益求精
page 8	港督赴粉嶺渡歲
page 8	今日足球義演中西名將登場三時三刻會師海軍球場新春行樂球迷盍早蒞臨
page 8	亞畢諾道小火警
page 8	記者球隊今晨征澳
page 8	排籃球義賽昨日三場戰績今日仍有戰事
page 8	民大學生會主辦小型足球義賽明日舉行
page 8	一九三九年大事回憶嚴重時期已安然渡過日空軍狂炸新界印象一個月內竟發生兩次大火災
