page 2	本報今後之貢獻於社會者三
page 3	孫寶琦對金佛郎案覆文仍主駁覆
page 3	吳佩孚赴魯閱軍
page 3	京政府任粵人李心靈為河南交涉員
page 3	孫寶琦初擬自為和議大使顧維鈞為副南下游說各方今已作罷
page 3	昨閣議對金佛郎案祇報告未討論
page 3	京政府任何慰雲為廣西高審廳長
page 3	美使質問特赦張敬堯
page 3	蕭耀南電辭鄂省長
page 3	吳佩孚為已故贛南鎮守使蕭安國請卹
page 3	傳使團討論粵關餘問題擬以一部給孫文
page 3	三日美使偕英參贊訪外部對關稅會議交換意見
page 3	議員向顧維鈞表示俄庫券須分潤方免彈劾部覆俄券由安格聯保管不能挪移
page 3	僑務局擬加徵華僑護照每
page 3	人一元八角
page 3	十四日閣議以粵人李心靈為豫省交涉員
page 3	疆吏會議馮玉祥齊燮元仍暗中進行甚力
page 3	吳佩孚馮玉祥親信過從甚密曹錕更囑部相聯絡
page 3	日使函外部聲明台灣銀行絕無受抵粵市公產事
page 3	袁祖銘因黔軍熊長澤師進窺綦江派兵分水嶺江津截擊並調于學中由中江金堂援成都
page 3	援川軍由潼川圍攻綿州
page 3	吳佩孚因王秉鈞投北電府請接濟王部軍餉
page 3	盛傳魯鹽出口日商可墊前渡金五百萬
page 3	湘郵局接到粵寄亂序傳單下署駐粵湘省士兵啟字樣
page 3	湘西榆樹灣在辰　麻黔交界有匪首陳漢章雲章編收蔡部散軍聲勢浩大
page 3	閩省順昌匪亂孫傳芳擬招撫編兩團
page 3	陳炯明代表黃強謁齊燮元商粵事
page 3	松黑航權俟奉與俄代表交涉可望收回
page 3	上海英商會昨會議防禦粵盜辦法決議促列強聯合就會並促英政府向中國政府商定如遇海面劫案發生時得由英艦協助緝捕並速疏濬廣州與香港之海道
page 3	軍事沉寂中之政潮
page 3	省佛商團之注意禦侮
page 3	駐守石灘湘軍阻止滇軍返省
page 3	粵軍以小戰為守之方略
page 5	粵桂軍團會勦邊匪之詳情
page 5	陸榮廷由桂林赴全州
page 5	財政委員會組織籌餉局
page 5	派員監理民產局之會議
page 5	限制各軍擴充部隊
page 5	廣州市米荒司虞
page 5	稅務司擬調處報稅風潮
page 5	洪兆麟將返汕
page 5	潮梅　餉局發行官產　獎券
page 5	西江水漲
page 5	破獲私鑄銅元機關
page 5	石歧發生離奇暗殺案
page 5	關於主票之文令
page 8	曹家姨太一怒面路權將斷送英人被毆之嚴重交涉
page 8	淩鉞由滇函上海民國日報之憤言否認主張　建國政府
page 8	漳放聯軍內部之變化黃大偉仍駐漳州
page 8	范石生父在滇越車站病故情形
page 8	北京發表之命令
page 8	奉張提出中俄會議九條件
page 8	林虎北行之目的
page 8	黃陂函邀潘大道
page 8	宣統發慈悲
page 8	蒙古沙漠中發見古城古物
