page 1	農產品之輸入及其救濟
page 2	日本陸軍當局有意擴大北海事件謂與蓉案同一嚴重球磨等艦繼續南來
page 2	日俄戰爭空氣又緊張駐榆日軍開哈增防順天等五日艦急開同江
page 2	漢奸白堅武等參加察北會議德王秘密來津活動傅作義稱緩東尚安靜
page 2	宋哲元昨赴津晤田代商討華北經濟問題發表書面談話謂此行實為省親
page 2	冀察稽查處決在平設分處現已開始籌備下週正式成立
page 2	開征所得稅外僑均允贊助
page 2	財孔左右談孔來粵說不確
page 2	閩南緝私收效關稅收入激增
page 2	日水兵案續提兩犯法院改期審訊
page 2	津電氣公司借用日資商談尚未妥洽將來如何辦理現尚在商酌中
page 2	國府令全國官民屬守國選準則倘有不循正軌自當執法以繩
page 2	醫藥師團體參加國選辦法
page 2	何成濬懇辭國選指導已由彭國鈞繼任
page 2	周世平胡大海移送首都地院
page 2	張克敏貪污違法判處徒刑五年
page 2	桂省陰霾盡散全局和平解決已在目前李白電居程等接受中央新命白崇禧俟陳誠黃紹雄到邕後即偕同來粵請訓程潛日內飛邕為李白就新職時監誓陳黃同行
page 3	德國社黨大會開幕希特勒演說攻擊猶太人並說明恢復殖民地之理由
page 3	美海長史潢生談日圖破壞倫敦海約祇有蒼天能限制軍備發展
page 3	三種公債舉行還本抽籤共還本二百餘萬元
page 3	直接稅籌備處開會商討組織辦法決照美國制度辦理
page 3	滬市煙民補行登記期滿
page 3	總理首次革命紀念蔣委長講復興中華續完發揮先烈革命精神精誠團結共赴國難
page 3	首都反省院現已全部落成下月舉行落成典禮
page 3	義教人員講習班定期報到截止
page 3	宋子良奉派擔任粵省禁煙監督
page 3	禁煙總會積極推行禁政派出十一省特派員辦理檢舉煙民登記
page 3	熊漱冰來粵設計整理粵省地政
page 3	定期在京舉行通知書昨已發出
page 3	蘇俄空軍操演造成世界紀錄以降落傘運輸槍炮八分鐘內降落敵後
page 3	西國叛軍分路圍攻聖城兩縱隊分路前進
page 4	聯席會議
page 4	職員名單
page 4	全港公開水運會今晚舉行預賽地點在域多利游泳池
page 4	南華體育會三次水藝會情形公開接力華人會得第一
page 4	精武會定期往港外海浴十三日下午二時出發
page 4	英京銀價轉趨縮
page 4	八九金市價盤旋
page 4	昨日廣州西紙市
page 4	滬外匯市情穩靜
page 4	第九次全省水運會積極籌備二次聯席會議情形競賽部職員已聘定
page 5	四路軍兩師長更動訊黃質文陳漢光辭職已照准李揚敬任贛浙閩清鄉司令將實現
page 5	和平聲中各大員之游興
page 5	飭屬嚴緝
page 5	設會目的
page 5	誘惑經過
page 5	梅縣又有某人搗亂利誘奸徒組會活動步梅花黨之後塵組所謂農民會及打狗會以共黨口號為號召政府已飭屬嚴防
page 5	槍決馮銳續詳
page 5	和平使者昨啟行矣劉鄧赴桂後當有佳音撤兵情形之續聞化縣情形之續聞邕垣之和平消息各大員遊興甚濃
page 6	鐵長張嘉璈昨晨乘專車抵省此來為視察華南鐵路粵漢廣九接軌鐵部絕無此意
page 6	汕頭實行禁賭某人又亟謀破壞汕公安局飭屬調查將呈請政府抗議
page 6	大洋比率確定後省庫稅收之增加禁賭裁捐後之抵補
page 6	土造火柴恢復統稅廠商昨日請願詳情一推定陳爾卓等代表分向蔣委員長及統稅局請願請求緩徵火柴統稅之理由
page 6	市小教職員今晨再請願清欠組催發欠薪委員會
page 6	范德星辭職續訊
page 6	廣州市織造土布業公會
page 6	新任廣東僑務局謝作民
page 6	市長會養甫
page 6	上下河鹽公會
page 6	四路軍總司令余漢謀
page 6	中大附中復校委員會
page 6	廣東省印花酒稅局長汪
page 6	電力公司爭還商辦商股東呈蔣院長請維持民營實業
page 7	朱氏談話
page 7	唐星來港
page 7	何熊返省
page 7	廣聯商會調查碼頭苦力運輸費
page 7	日駐粵武官抵港
page 7	日嵯峨艦赴北海
page 7	鎳幣紙幣流通數目
page 7	庫務司談防範辦法
page 7	偽幣充斥辨別不易
page 7	庫務司公佈真偽幣辨別法收入偽幣須將之焚毀如冒險行使便是犯法
page 7	菲律濱海關嚴密檢查由港進口棉織品因防範日貨改裝運往本港出品亦略受影響
page 7	去月份水務報告
page 7	聰明的小姑娘
page 7	帝航機延期飛檳
page 7	反婢會定期會議
page 7	一孕婦當街生產
page 7	市虎又噬傷三人
page 7	陳協之昨日壽辰蕭佛成等為之祝
page 7	小童會最近進行
page 7	朱培德定今晨北返曾訪蕭佛成敦促晉京何鍵熊式輝昨已返省
page 8	日記一本字跡潦草
page 8	本港警察去年工作報告二刑案增加六千零九十一宗共黨已無活動地方極安謐
page 8	刑事案件
page 8	七賊械劫
page 8	漁船血案
page 8	械劫傷人
page 8	有意放火
page 8	攔途截搶
page 8	械劫坪山
page 8	假冒車票
page 8	謀財害命
page 8	刑事偵緝處
page 8	頻呼妹妹聲甚急切
page 8	香閨血影呈堂察閱
page 8	車夫目擊少年自
page 8	暈後情形不甚了了
page 8	九娘喋血姑仔受驚
page 8	案中文件請守秘密
page 8	為其印製
page 8	電車司機
page 8	假冒車票案開審電車司機述誘　被告經過
page 8	磋商沽票
page 8	偽票二百
page 8	有利銀行將派股息
page 8	桃色血案開庭研究張九娘　羅文錦律師旁聽案中文件均請代守秘密女僕謂伍潤　入香閨後九娘仍高臥不起車伕目擊伍自　刀長七寸可作屠宰之用觀審者擠滿法庭與馮德謙案同樣熱鬧女主角張九娘今日到庭作供
page 10	繁榮會昨開常會推舉常委審查救濟漁業計劃
page 10	國選辦事處昨訊
page 10	籌建兒童娛樂場場址下週可決定
page 10	三千萬大借款案港政府尚未批復
page 10	港府擬改良道路
page 10	禁運廢絮往外洋
page 10	紅丸案一犯入獄
page 10	募款購機祝蔣壽華商總會將發起
page 11	各屬雨災損失誌
page 11	鄉民請劃新鶴縣界
page 11	市橋萬緣會之火警
page 11	崇儉會禁止送節禮
page 11	大良限令卜筮歇業
page 11	潮陽縣府已取銷征房捐
page 11	潭邊白鶴圍崩潰記
page 11	維持縣醫院之辦法
page 11	禁煙委員會決定提前禁絕煙毒三著手擬議計劃依照進行設立廣東禁煙督察分處訂定人民登記調驗辦法
page 11	公佈禁煙治罪暫行條例
page 11	瓊屬各縣繳納地稅之比率
page 14	事變發生軍警救護
page 14	愈集愈眾
page 14	情勢紊亂
page 14	無險可守
page 14	經過良好
page 14	捉去暴徒
page 14	軍警民眾
page 14	兇犯二人拿獲槍決
page 14	下戒嚴令
page 14	是否日人
page 14	表示悼唁
page 14	中日派員進行調查
page 14	調查專員
page 14	二人傷勢
page 14	認為不幸
page 14	自由便利
page 14	交換確認死亡文件
page 14	渡邊深川舉行火葬
page 14	群眾人多
page 14	在店保護
page 14	正式交換
page 14	省府當局
page 14	成都暴動經過紀詳反動份子參加波及日人軍警極力彈壓田中瀨戶得救
