page 1	南京偽　成立以後
page 2	魯西我軍一度攻入濟寧敵我兩軍現隔汶對峙
page 2	臨沂殘敵全線向北潰退我某部現正向前追擊中
page 2	敵磯谷師團被我殲滅三千我由棗莊追擊連奪要點
page 2	魯北我軍收復平原恩縣斃敵數百奪獲軍械甚多
page 2	台兒莊敵被我擊退
page 2	嶧縣之敵無法後退
page 2	我軍準備進攻界河
page 2	晉南我軍乘勝北進
page 2	敵將香月仍在新鄉
page 2	敵犯濬滑被我擊退
page 2	我軍砲擊永濟之敵
page 2	道口濬縣兩軍激戰
page 2	敵擬在我國西北用機散播毒菌朱德籲請世界人士一致反對敵軍暴行
page 2	滬各業電賀臨代大會並提四項意見
page 2	豫北我軍大勝垣曲吉縣已無敵蹤敵軍對民眾仇視動輒　　　　我民眾敵愾日深自動參加殺敵
page 2	在靠山集敵軍中伏
page 2	皖北敵艦退回舊縣
page 2	邵伯之敵戒備極嚴
page 2	敵在和縣積極侵擾
page 2	蔣委長飛津浦線視察中途突遇敵機幸脫險台兒莊敵四五千人被我重重包圍左翼我軍現向泰安兗州繼續進迫
page 3	希特勒二次競選演說奧國軍變完全歸罪舒氏眾信舒斯尼格恐將被判處死刑德奧軍隊合編將增第五集團軍
page 3	郭泰祺歡宴孫科邀英外財要人參加
page 3	胡佛遊歐後對記者談歐洲戰事不致旦夕爆發各國雖忙於擴軍戰爭仍可避免
page 3	蘇聯當局破獲日間牒網海軍官水兵八名槍決空軍機師逃遁被擊斃
page 3	倫敦充實空防設防空網環繞敦敵機觸即著火
page 3	美墨謀解決美在墨煤油權
page 3	秘密電台播音攻擊蘇聯政府謂解放黨不久可得勢
page 3	希特勒赴漢堡主特雪耳號新船命名禮
page 3	汴難童二百餘人抵漢
page 3	國府明令張自忠殲敵立奇功撤職查辦處分撤銷
page 3	王逆克敏被剌重傷生命危在旦夕平津漢奸因此咸極恐慌北方民眾得訊莫不痛快
page 3	羅馬尼亞內閣辭職
page 3	滬市外匯市價已趨平穩
page 3	敵機炸襲惠州以機槍掃射美牧師
page 3	台兒莊空前血戰
page 3	我軍在廣德以北擊潰頑敵
page 3	克萊琪訪日外次掘內討論海關問題
page 3	滬字林西報評論南京偽組織前途黯淡人民受日軍塗炭對日軍痛恨萬狀偽組織難得人民信仰前途極困難
page 3	對救濟德奧難民九國贊同美國所提議案意外長齊亞諾覆牒反對此舉
page 3	德對捷總理表不滿
page 3	捷總理主立法保障
page 3	戈培爾演說德不畏法已有抵抗其進攻之法
page 3	德奧兩軍合併後捷境少數民族要求自治日爾曼黨要求改選捷各族反對德政府對立法保障表示不滿
page 3	西國民軍勢如破竹政府軍全線已呈崩潰法意因利害衝突關係日益惡化自法機在意境失事情勢愈緊張
page 3	對　退志願兵案意有意向英讓步
page 3	英外相哈里法克斯發表英國外交政策法比兩國如被侵略有赴援義務英意談判目標在增加友邦數目
page 4	張似淵伉儷經星赴英
page 4	徜怒吼籃球隊來港比賽秩序
page 4	小型球聯會開會
page 4	學運會召開會議
page 4	英美匯兌再漲
page 4	金市跌後微升
page 4	外匯先淡後好
page 4	省毫券價穩定
page 4	昨晚籃球戰績鐘聲九龍記者告捷
page 4	舊中桂紙市靜
page 4	廣州西紙回降
page 4	昨日加路連山之一幕精彩戰南華和哥靈登上場南華先勝一只下場負一十二碼南華各員表演精彩哥隊反未見佳作是役為哥隊在港比賽最緊張的一幕今日哥隊南華海軍聯隊收入全撥捐辦雨衣寒衣
page 5	我壯丁反攻三灶島後敵連日擾附近各島昨日沿海之情報
page 5	擴大漢奸自首運動舉行大規模宣傳自首辦法之詳誌
page 5	廣州紗綢業商仍請稅局減輕營稅
page 5	桂省傷兵由湘返桂療治
page 5	各區設聯合辦事處行政保安自衛之聯繫辦事處組織辦法擬定候提省府通過即實行
page 5	警察局規定女員警服式樣
page 5	桂省府總部會頒桂省運輸管理實施辦法省各機關不得自行封僱輪渡需用港梧省梧船另會同商辦
page 5	船舶統制運用
page 5	運費給予規定
page 5	船運派遣辦法
page 5	船運聯絡辦法
page 5	農本局准貸粵改稻種款項農林局分區試驗
page 5	敵機昨向容奇桂洲狂炸並分向各交通線及三水西南投彈廿九日敵肆虐之各方損失調查
page 6	炸琶江工人墳場
page 6	政訓處繼續派員前往各縣發動民運
