page 1	歡迎許大使回國
page 2	敵圖截斷我隴海線濟寧附近將展開血戰李宗仁等親赴津浦線一帶視察陣線我軍行動有抄襲敵軍後方兗州冀圖
page 2	抗敵大部在拱宸橋一帶昨晨敵艦兩艘偷渡錢江被我南岸駐軍掃射擊退
page 2	敵佔無錫殘殺不仁
page 2	敵機兩度侵犯浙境
page 2	我軍續向富陽進襲
page 2	劉湘遺體昨日舉行公祭林派何鍵將派軍何前往致祭劉柩昨日上午啟寧登輪返川
page 2	林主席祭文
page 2	蔣委長祭文
page 2	魯省日人財產損失值五萬萬日圓侵略者應自負其責
page 2	軍委會制頒民眾義務輸送傷病官兵辦法
page 2	新任川主席張群入川期未確定
page 2	日本私糖大量傾入內地中外糖商大受打擊
page 2	冀晉表面雖被敵佔實際在我手
page 2	粵慰勞團已抵臨汾內有記者數人同行視察各地戰況
page 2	國府命令任李宗仁為皖省主席任命陳元瑛為審計部秘書
page 2	馬古山在漢會商另組一路軍進攻偽滿隴海津浦兩路我軍作緊密聯絡魯敵被我游擊隊困擾放棄泰安
page 3	國聯諮詢委會即將再行召集討論關於中日糾紛提案
page 3	日政府已無希望能向英美借款擬假借各商業會社名義向外國借款作侵華經費
page 3	汪主席在鄂鄉政幹部人員訓練班演詞第一認識清楚敵人的力量第二認識清楚國際的形勢第三認識清楚自己的力量
page 3	英法外長會談主張強化國聯已分別乘車赴日內瓦
page 3	日決發行長短期公債
page 3	日報大量登載蘇聯備戰消息此舉似係由政府示意企挑撥英蘇兩國惡感
page 3	美政府將考慮改革國防計劃
page 3	美國各方反日情緒擴大
page 3	法航空部訓令邊境凡有飛機闖入應即砲擊緣西國民軍飛機曾在法境投彈
page 3	法大使向日外務省質問日兵在榆林港登陸日方答謂係欲截斷中國海上交通
page 3	英首相張伯倫主張承認意大利帝國外相艾登對於此舉表示反對
page 3	南京警察集漢編配業已就緒方超任總隊長
page 3	謝壽康在比京痛斥日本暴行比國聯同志會主張抵制日貨
page 3	美艦百餘艘在羅安吉港大操
page 3	轟炸巴納號艦案美將要求賠美金百萬元至懲戒性之賠償則不擬再提出
page 3	敵機分襲廈漳
page 3	星洲英海空軍積極準備會操飛機一百一十架軍艦共有二十艘
page 3	難民車一列將由漢口南下
page 3	南京敵空軍幾全部覆沒
page 3	蕪湖之敵向我進犯被擊退
page 3	我空軍炸燬敵機約廿餘架
page 3	靠德失敗又欲靠英日政府下令國內外負責當局設法和緩反英民情日將歡迎英國出任調停中日戰爭杉山及廣田對人仍發表荒謬談話
page 4	女子籃球賽昨晚祗得兩場知得港大齊奏凱
page 4	英皇排籃球隊昨日班師回港
page 4	友誼足球賽大陸再戰施福
page 4	華雄舉辦公開單打乒乓賽消息佩真瑞屏旗開得勝表演精采觀者極眾
page 4	國際杯農曆元旦舉行中國隊對蘇格蘭隊南華甲對西警改二月一日舉行若瑟因征澳對南華乙一場改期
page 5	敵機昨分五批來襲琶江陸空戰之激烈
page 5	兩童被迷騙奇案匪婦以利是迷騙
page 5	暴敵蹂躪下沿海各島建築調查
page 5	黨政各級人員不得擅離境地
page 5	廣州婦女界製米餅慰勞戰士由梁定慧運送前方
page 5	市立初中本期復課續詳
page 5	省會警察局嚴禁賣淫書畫
page 5	開大會議紀要報效演劇購債
page 5	處理食糧資敵沒收及罰金分配
page 5	三門關昨來敵艦十餘艘在海豐汕尾間以大批水鼓插五色旗放于海面其他沿敵艦仍無異動
page 6	十三行火
page 6	警局新委各員派視察員赴各縣
page 6	禁煙公署先墊一百萬元購機下月起每兩土膏附加三毫
page 6	建廳派員赴越接洽越米粵絲交換擬定辦法依時進行請駐粵法領事協助
page 6	大沙鄉之劫案
page 6	佛山郊外火警
page 6	小學改二部制
page 6	三人食鼠肉死
page 6	黃明堂遊翠亨
page 6	穗豐米機被焚
page 6	北海擊落敵機運桂敵機師溺斃屍體已腐
page 6	市學抗會決定下鄉工作日期並擬組晨呼隊
page 6	教育廳再規定各校辦理借讀辦法
page 7	中日　事發生後本港出入口貨幣激增去年入口較前年約增加五倍大部份由我國輸入運往歐美
page 7	敵艦圖劫漁船被寶安駐軍猛擊不逞
page 7	日貨輸港銳減英美貨物大見活躍去年入口貨值超過十萬萬元英美貨數額倍於一九三六年
page 7	為防止淆混頂冒英優惠稅率為變更辦法港貨須有可核數員證明書始能享受各廠商亟宜及早改用新式簿記法
page 8	　　會覆　山會函
page 8	中青救護隊之工作
page 8	星僑救護隊昨晉省
page 8	九龍賑會響應捐租
page 8	堅道鉅竊案昨晨提堂被告王昌時直認行竊不諱
page 8	漠視國際公法滬敵扣留外電英記者通電被留案各外報已詳細揭載
page 8	迭被留難
page 8	扣電端末
page 8	該電原文
page 8	飛剪機未到港
page 8	痘症流行甚速一日內死十三人
page 8	難民診症免收費
page 8	電車公司獲厚利
page 8	　分會　函覆鶴山商會望業主自動移租購債總會銷債之原則以勸而不強為主　若強制執行於銷債前途有礙星洲華僑歸國救護團昨日已晉省
page 10	最近生意頗為冷淡
page 10	所存貨品日貨居多
page 10	購有保險十五萬元
page 10	尚存運日水草一批
page 10	簡又文等在港籌辦合刊雜志
page 10	老記者任　勤逝世
page 10	昌盛行貨倉火警研究存倉貨物多為日貨購有保險十五萬元
page 11	日軍企圖破壞中國聯合陣線
page 11	八路軍之戰術日軍疲於奔命
page 11	日軍飛機大炮顯已失其效用
page 11	兵士冒寒作戰猶能克敵制勝
page 11	史沫特萊女士報告八路軍之戰績二在西北兩戰場中重創敵軍
