page 1	弱小民族之抗戰
page 2	某軍官談最近壯烈戰績池河一帶劇戰斃敵四五千人敵渡池河後又在臨淮關血戰
page 2	我最近向歐美購飛機五百架其中一百八十架購自蘇聯
page 2	晉北我軍克復綏境安北斃偽縣長及敵官兵百餘俘虜三十餘獲槍馬極多
page 2	三週以來富陽之敵傷亡約四百人子彈給養損失尤鉅城內僅有敵兵千餘
page 2	我軍擊沉敵艇一艘
page 2	婦人許葛氏咬斃敵兵雪恨
page 2	日機七次轟炸廈門毀民房五千間死傷平民十餘
page 2	星洲海陸空軍大演習已結束敵機進襲星架坡但結果並未成功
page 2	偽組織修改稅率案英已向日提出嚴重抗議偽稅專惠日本違背中國稅則
page 2	軍委會闡釋動員委會職權
page 2	敵傳英對中日問題希望早得解決英政府向駐倫敦日大使探詢日本對華之真態度
page 2	又有一英輪為西叛軍炸沉
page 2	　大美晚報　大投擲炸彈　　　　　未傷人
page 2	平偽組織威嚇長江外僑
page 2	劉湘靈櫬抵渝
page 2	敵機夜襲汕市
page 2	敵機結隊犯潮汕各屬
page 2	敵機一架在悅城附近被擊落
page 2	臨沂以北發生激戰
page 2	蚌埠已發現敵蹤我敵兩軍隔淮河對峙敵圖偷渡淮河為我軍奮勇擊退我軍向定遠反攻斃敵四百餘人
page 3	白髮使君還健在許世英昨抵漢蔣委長等派代表到機場歡迎許定今日謁王報告返國經過
page 3	近衛將向國會提出總動員案陸相謂應付將來大戰必須舉行全國總動員
page 3	近衛謂日本政府或將向我宣戰中國事件將來結束之後日將與偽組織談判懸案
page 3	日方企圖恢復英日友好廣田在眾院答覆超然派詰問謂渠願維持英日間傳統關係
page 3	英下院通過制止飛機轟炸平民案將進行與各國談判藉求得一致行動英法聯合籌劃阻止西內戰轟炸平民
page 3	對中日爭端德無意再調停日本輿論界忽向德國攻擊對德調停中日問題甚憤激
page 3	世界和平大會派員來華調查
page 3	國聯議決案無礙集體安全艾登在下院答復保守黨質問英國維護遠東利益極為重視
page 3	主力艦噸位問題英美法三國將向日交涉倘日本不遵海約規定則三國亦將不受限制
page 3	英輪恩第米洪號沉沒案現疑係觸及水雷所致英政府或不致向西國民軍抗議外相艾登對該案未允發表意見
page 3	白隆培辭職戈林將繼任德國防部長德陸軍總司令弗里區亦有辭職說將以僧城防軍司令越區諾為繼任
page 3	內蒙偽組織竟將國土讓日
page 3	美現尚未便實施中立法案
page 3	日將派輪行走華北日本
page 3	加拿大撥款充實國防經費
page 3	蘇聯撤回留日訓練軍官
page 3	張大年受敵用任煙台偽市長
page 3	敵收買流氓在滬租界滋擾
page 3	劉航琛飛蓉傳達中央意旨
page 3	平漢線敵情無大變化
page 3	廣田在議會報告中日爭端調解之經過日軍陷南京後德即願為傳達和平談判後遭我方拒絕乃發表中日絕交之聲明
page 4	培正鼎小型球今日比賽秩序崇禮對培英建立戰德明
page 4	今夕普通女子籃球比賽有三場舉行
page 4	特別銀牌補賽九龍今日再戰聖若瑟尋杯三場東方對米杜息較有看頭
page 5	我防備嚴密
page 5	敵砲擊虎門
page 5	虎門已封鎖
page 5	同時犯寶安
page 5	敵圖犯馬鬃
page 5	警部要人談
page 5	廣州之戒嚴
