page 2	反共聲中之湘省
page 3	後備奉軍盡入關
page 3	日兵分批運華上海群情反對
page 3	古應芬抵寧之後謂數日後返粵古應芬晤錢永銘錢請古就財長
page 3	京滬之五卅日
page 3	湘鄂反共運動
page 3	消息兩歧之豫戰
page 3	上海共黨示威被捕十餘人
page 3	英俄代表歸國
page 3	潮汕黨軍捕獲俄人指揮已由普寧解押到汕
page 3	獨立營進剿饒隆農匪獨立營長王廷列昨來電報告澄海隴業已次第掃平
page 3	汕頭又槍決農匪
page 3	機器總會籌設圖書音樂
page 3	航空救國會展期開改組會議
page 3	總部招募直轄游擊隊
page 3	何克夫接充南韶連財政雲長
page 3	肇慶新兵管理處成立
page 3	廣三路減少往來車次
page 3	鄧彥華召集衛生會議整理市內潔淨責成段警實力干涉市民不得將不潔品物堆積屋外以謀公眾衛生
page 3	吳鐵城電粵稱因革命軍正在北伐暫不回粵
page 3	粵漢車因琶江口路軌損壞以致廿八日由韶來省直達軍遲至深夜始到黃沙
page 3	佛山潦水退落
page 3	佛山籌借罷工津貼近訊
page 3	機器會杜防反動派之佈告
page 3	修正後之工商條例
page 3	黨魯軍戰訊蔣介石赴蚌埠指揮第一路向鹽城進展
page 6	薛覺先結婚
page 6	工代會請願保釋無辜工友
page 6	清黨聲中之各地工人請組工會
page 6	工務局勒限電器工人領照
page 6	反動派行兇擊傷警察
page 6	各部軍隊集中樂昌
page 6	錢大鈞調兵駐防英德
page 6	入伍生請願討伐武漢
page 6	通飭停用漢口中行紙幣
page 6	大成紙廠工人被控判決無罪
page 6	南洋公司小潮已完滿解決
page 6	江港輪船取締巡城馬附貨
page 6	日輪遇險求援
page 6	金山輪在黃埔被轟
page 6	英海軍之無線電訊
page 6	黃黨復恢自由
page 6	西潦暴漲聲中之取締輪渡航行
page 7	控追欠款案
page 7	新築小輪碼頭之計劃
page 7	鎮安輪報告途次被擊
page 7	廣州米行請小輪直接拖米上省
page 7	新嫁少婦服毒案改期今日續訊
page 7	請求離異
page 7	苦力大打架
page 7	昇明輪船來港入塢
page 7	今歲之荔枝市況
page 7	澳門近聞
page 7	伶人周少保在星洲被拘有解回原籍說
page 7	婦人打架案判結
page 10	黃埔軍校定期解嚴
page 10	唐相濤被捕解肇
page 10	張定漢之結果
page 10	又獲一幫共孽
page 10	唱女伶之茶居不得阻止宣傳員工作
page 10	不准西江柴竹杉貨　成立工會
page 10	商代會職員最後之索薪書
page 10	上下九甫舉行馬路落成典禮
page 10	嚴緝誘惑學生私逃之反動派
page 10	痛勦紫洞羅行土匪
page 10	家庭打架案
page 10	　喉味來懸案押候
page 10	林西河堂會務之進展
page 10	改組後之青年會
page 10	獄卒被控代犯帶書
page 10	善事獲中　票
page 10	股匪又截擊高明渡
page 10	定期開征奢侈品稅
page 10	被控拉車無牌案
page 10	被控拋棄糞土
page 10	艇　屍體撈獲
page 10	英兵昨日會同操練
page 10	華界海面劫案
page 10	搭電車者官慎
page 10	　　地街市之小火警
page 10	輪船售價
page 10	裁判署案
page 10	陳杏林來函照登
page 10	湖南共黨禁止運米入粵
page 11	孫軍離揚情形
page 11	黨軍渡江佔揚州
page 11	英使代表離漢對陳友仁之臨別贈言
page 11	賀耀祖進佔六合
page 11	白寶山退出靖江
page 11	黨軍攻徐計劃三路同時猛進
page 11	二五庫券進行順利基金　管委員會成立第一　解　四百萬
page 11	杭甯快車完全恢復
page 11	武漢形勢變動之寧訊
page 11	吳佩孚　往南陽於學忠　吳
page 11	吳淞戒備仍嚴
page 11	寧黨軍肅清江北記孫傳芳廿二日率部北退黨軍廿三日下午入楊州
