page 1	英德空戰與歐局
page 2	駐滬英軍定期讓防明日舉行臨別檢閱美政府現正靜觀日本將來行動
page 2	日禁止汽車使用汽油
page 2	新西蘭人擬捐巨款購飛機獻英政府
page 2	日機瀘縣肆虐投彈二百餘枚隨即逸去平民斃命者幾達三千名
page 2	駐蘇土大使回國請訓蘇士邦交可望改善
page 2	晉南我軍克臨汾東陽鎮臨汾車站日軍車觸雷我繼續掃蕩沁陽日軍
page 2	非常時期維持治安緊急辦法第二條各項法條之參攷三
page 2	哥爾將軍謂法國未算失敗
page 2	李占元等報國心切創傷甫愈重上前線
page 2	日在上川島之南澳大灣登陸被我軍迎擊斃日兵甚多
page 2	新聞報總訪員顧執中被剌傷
page 2	榆林各界歡迎西北攝影隊
page 2	美新聞鉅子一群抵威靈頓
page 2	美華僑募捐航空救國金一百萬元
page 2	粵各界組憲政協進會
page 2	閩獻金達二十餘萬元
page 2	贛北日軍多患疫症
page 2	粵省府推進農業建設
page 2	魯南我軍克台兒莊鄂東我軍進擊蘄春隨縣附近激戰日向滾出潰退
page 3	倫敦近郊亦被襲擊
page 3	談白鳥敏夫
page 3	夏威夷美艦隊將駛回西 海岸休息兩星期期滿後仍返回夏威夷在三個月中行動未定
page 3	英德戰報互相矛盾
page 3	擊落德機六十九架
page 3	德國誇張空戰報告
page 3	英美進行談判割讓權益問題英以西印度島嶼割讓於美換取美國驅逐艦及魚雷艇
page 3	英指出輪艦損失反駁德國宣傳德國報告英艦損失之數尚多於英國原來所有者
page 3	紐約時報著論抨擊德國德機向英　施轟炸美斷不容惡勢伸張
page 3	荷蘭鑽石工人多逃英倫英國鑽石業勃興
page 3	意軍攻索馬利蘭愈深入愈困難意軍沿海岸向貝比拉推進為英軍炮火威脅進展甚緩
page 3	霍特摩打公司承製飛機摩打與軍部訂約製四千個
page 3	羅保談判已進步羅匈談判不甚樂觀
page 3	希臘兩驅逐艦又被外機炸擊又有希臘貨輪兩艘在途中被魚雷擊沉
page 3	瑞輪亞多斯號被潛艇所擊沉
page 3	德大使巴本與土總理會談
page 3	英機飛德國轟炸十六日德機損折七十二架倫敦東南近郊被德機襲擊
page 5	收復大溝
page 5	防城戰事
page 5	登陸進犯
page 5	日艦出沒
page 5	東江軍事再度開展我軍攻入上下林日軍增援頑抗我軍火攻官塘日炸派潭一帶
page 5	利　黑夜
page 5	攻入官塘
page 5	連日派機
page 5	日越南監視團團長西原曾飛到廣州灣與法總公使交換禁運意見
page 5	日軍駐各鄉需索牲畜糧食西村士敏土廠恢復訊
page 5	粵桂湘贛食鹽救濟近訊
page 5	西煤復遭水患
page 5	日機狂炸惠城補詳死傷五百餘人之慘劇我官民協力檢救
page 5	日機十二狂炸投彈
page 5	死傷人數達五百餘
page 5	官民協力檢死扶傷
page 5	我粉碎日軍圖犯斗門計劃中山日軍有全調桂邊補充訊
page 5	粉碎日圖斗門計劃
page 5	中山日軍準備全撤
page 5	準備改編
page 5	汽油內運免稅
page 5	順德日軍圖挽僵局容奇日增加後備兵
page 5	日練跳傘兵近在深圳練習
page 5	粵南我軍猛逼欽城日艦夜犯合浦沙岡之激戰欽城外圍據點大部分我突破雷州半島沿岸迭為日艦窺擾
page 6	韶關發動民眾防歹類警備部召保甲長訓示要點並制定旅店聯保防範辦法
page 6	廣東戰局鳥瞰
page 6	廣州外圍戰
page 6	二瓊崖軸心戰
page 6	潮汕之　耗戰
page 6	粵圖改進農作禁捕青蛙雀鳥
page 6	粵民政廳努力整頓警政員警待遇分別提高加緊訓練俾臻健全
page 6	蔣委員長對粵政滿意李主席加緊推行各要政其有困難中央允協助解決加緊推行新縣制解決糧食
page 6	粵婦女界電謝美羅總統夫人攩言正義舉世同欽望更作進一步援助
page 6	在日人操縱下之增城縣長被撤
page 6	廣州所謂省市兩署爭管轄捐稅之尖銳化彭東園有撤任消息有以李道軒接充說　
page 7	大坑總廠遷往北角
page 7	賣菜小販亦做帶家
page 7	早晚開字均燃爆竹
page 7	九龍賭徒亦極猖獗
page 7	港財政極充裕各項稅收較前增加
page 7	史塔士道昨已恢復交通
page 7	佛山輪事件傳已解決但太古公司未接正式報告
page 7	澳洲總理謝港督之慰問
page 7	修正捕魚法例
page 7	小販商會獻金明日正午開箱四公司獻金台昨結束紅磡區獻金達一萬元
page 7	小販獻金
page 7	售花成績
page 7	經磡街坊
page 7	字花廠愈弄愈兇早晚公然燃爆竹報字報章揭載後大坑總廠已遷北角利用菜販作帶家引誘傭婦賭博
page 8	研究疏散人口辦法
page 8	覓度卜氏奉派來港
page 8	港府將批覆請願人
page 8	灣仔鳳凰台破獲毒窟男女兩人被拘
page 8	廣東叢書出版愆期因徵集整理需時頗多廣東文物在排印中
page 8	兩海峽禁船艇寄椗代督修正防禦法例
page 8	巴爾太島續英國情報部遠東局播
page 8	東華醫院孔教團體各義學將採用二部制其他各義學亦擬採用
page 8	塌樓慘案續誌失蹤婦人仍未尋獲
page 8	今年雨量已逾百寸
page 8	歹徒要截馮儉生案警探捕獲疑犯七名
page 8	港考慮修訂戰時薪俸稅法驗稅專員由英抵港
page 8	市政衛生局定期補行會議
page 8	砲兵定期演習
page 8	本港人口過剩政府決予合理解決專家覓度卜奉派來港協助進行減少人口委員會報告書已脫稿
page 10	今日國際棒球揭幕英葡兩軍會師昨日聯賽爭霸戰好戲因雨演不成
page 10	第二屆記者水運會昨已開始報名廿四日止截
page 10	宵來游泳對抗港大壓倒南華會成績卅一比十七
page 10	高級學籃頒獎定廿四日舉行表演賽冠軍戰聯隊雙方名單正式選定
page 10	三角游泳對抗卅日三次角逐項目經已編定
page 10	夏令籃球戰訊賽會今召開委員會議
