page 2	我欲為陳炯明進一言二當有明瞭表示
page 3	王寵惠因財政無辦法求專任教長黎元洪允商張紹曾代揆并以高恩洪兼財政暫維現閣
page 3	聞吳佩孚主武裝調停川亂已電第二師緩開並派代表與第二師參謀入川疏解
page 3	各埠商會因管理公債停抽紛電政府詰問並要求速布展抽日期
page 3	蔡成勳十壹日電大庾信豐會昌安遠十日克復後沈軍進駐南雄邊境彭賴兩部經常德盛師追擊竄閩境建寧僅贛邊三南為李軍佔據
page 3	北伐軍之過去與現在
page 3	孫文抵滬後民黨要人及安系多往謁見聞於某事有所籌商但孫意興闌跚不欲多發言
page 3	王寵惠患目疾聞十三日起不見客
page 3	楊文愷計劃擴充漢陽兵工廠已赴洛陽商於吳佩孚
page 3	漢傳劉湘十四日由宜昌到漢口
page 3	眾議院副議長將選舉聞多主褚輔成
page 3	曹錕電京主收回庫倫
page 3	曹錕派孫岳攜函到滬與民黨要人接洽統一
page 3	吳佩孚連日又派重兵防守榆關一帶眾料秋間或與張作霖再演武劇
page 3	黎元洪聞孫文離粵赴滬派黎樹劉成禹南下探孫意見並迎孫北上
page 3	黎元洪因鄂省長問題特派高恩洪赴鄂調解曹錕又電蕭耀南保全中央威信故得蕭諒解因是湯薌銘到任說甚盛
page 3	聞天津警察廳因旬日間奉籍人來津約達千餘通令嚴查
page 3	黎元洪託邊守靖吳景濂赴保洛幹旋時局
page 3	漢口電孫傳芳將存宜昌子彈運川接濟楊森鄂庫十三日亦解大批子彈運宜昌至援軍因軍費無著尚觀望
page 3	孫文昨早十時半抵滬
page 3	蔣成勳電請辭職黎元洪擬提出閣議
page 3	漢訊蔡成勳十三日電龍南已克復敵向南雄退贛南尚有李軍數千已失戰鬥力
page 3	唐紹儀允任省長之要訊
page 3	澳門最近之狀況
page 3	祐泰劫案再獲一人
page 3	西報之粵事要訊
page 3	酒樓東主組織武裝商人團
page 6	政局杌隉中之　合肥
page 6	新閣財總次之來歷
page 6	領同　施　
page 6	賑災彙誌
page 6	潮汕災情之概略
page 6	勇於私鬥
page 6	　道破獲私窩
page 6	品茗客與茶博士打架
page 6	被控聚賭
page 6	深水　命案又聞
page 6	定例局會議期
page 6	醫 年報紀要
page 6	投水遇救
page 6	蔡成勳之通電
page 6	搭棚同敬工會要求加薪
page 7	桂省戰事近訊
page 7	總指揮處暫緩裁撤
page 7	洪黃軍隊已回原防
page 7	粵軍將領在東園會議
page 7	軍人又騷擾故衣店
page 7	　各江交通形情
page 7	韶關解嚴後之現象
page 7	翁熊兩部改師消息
page 7	總司令改練軍使又一說
page 7	謝文炳委人接什樂昌知事
page 7	報界訪員仍未釋出
page 7	大勦三山民軍
page 7	捉賭賞格
page 7	瑣聞一束
