page 1	歐戰雙方形勢之優劣
page 2	江南公路被我破壞
page 2	山東我軍克復利津
page 2	隰縣東北戰事激烈
page 2	重慶居民有十七萬當局原欲減至二十萬因環境關係未達此數
page 2	我向深圳進擊杜阮一帶日軍不敢與我應戰
page 2	魯北我軍重創日軍
page 2	我當局繼續努力建樹新空軍目的在維持五百架
page 2	歐戰爆發結果促美增加軍費兩洋制海軍勢難於實現但加速完成擴充空軍計劃
page 2	津偽軍要求出入租界納規致租界內糧食等價奇昂
page 2	鄂南我軍攻克北港錫山鄂中圍攻淅河斬獲極多江蘇克復宜興斃日無算
page 2	日機襲擊桂林投彈數十枚死平民一人
page 2	孫總理元配亦通電罵汪
page 2	虞洽卿等請褒揚馬相伯于右任電唁馬氏家屬
page 2	我屯積河內德貨已完全運過境
page 2	法大使戈斯杰將離滬往重慶此行與普通職務有關
page 2	蘇聯高空跳降做成卓異紀錄一萬公尺高空跳下歷廿二分鐘始著地
page 2	美新中立法遠東不受影響
page 2	桂實行五戶連坐法如有窩藏漢奸應受連坐之罪
page 2	德政府調查波猶太人戶籍料將準備排猶
page 2	美蘇在遠東外交將增大壓力對付日本蘇必接濟中國繼續抵抗日本美亦可運用封鎖政策以懲日
page 3	德國將來軍事行動或將侵犯荷比德欲在荷獲得空軍根據地荷準備決堤防止德國侵略
page 3	翁文灝揭發日圖我陰謀新東亞秩序即以我為犧牲攫盡我國煤礦實行經濟侵略
page 3	美將要求國會禁汽油等運日實施道義的禁運辦法
page 3	紐約碼頭工人實行罷工要求增資減時
page 3	捷克人被德蹂躪扣留約六萬人
page 3	英蘇經濟談判英防蘇將貨品轉售德故凡售予蘇貨極予注意
page 3	日巡迴大使加籐昨日抵滬將與各國領事會談關於新政權問題
page 3	維爾拿城發生排猶太潮
page 3	英法輪船損失較前為少
page 3	列維亞輪一艘被德海軍捕獲
page 3	駐土德大使巴本經南往土
page 3	德報仍極力攻擊美國
page 3	傳英將加緊封鎖德國
page 3	西線法軍尚據守霍比治前線仍無大變化本年內或無大戰
page 3	意首相召集重要軍官會議謀改進意國軍事組織
page 3	美商所採購桐油已獲日方釋放
page 3	德用廣告為餌要挾丹麥各報德國宣傳手段無所不用其極
page 3	印度總督發表一聲明書
page 3	火石城號輪將在挪威卸貨然後直接駛返美國
page 3	美上議院議員發表廣播演詞勸羅斯福出任斡旋和平
page 3	美蘇兩國行動最為各方注意美國弛禁軍械有助聯軍德國亦獲得蘇聯之援助
page 3	蘇向芬蘭代表提出最後要求芬內閣將開會討論應付辦法決拒絕蘇聯對漢科島之要求
page 5	日艦艇首犯陽江被擊退
page 5	轉犯電白狂轟沿岸地方
page 5	廣州市郊我團隊召開軍事聯議廣州日軍最近之調動
page 5	十月份之血賬粵南被炸統計桂省有十五縣市被炸
page 5	夜轟電白城圖登陸不逞
page 5	日巨艦開到日機炸博賀
page 5	俘虜日軍官昨押解抵粵北
page 5	平山日軍竄擾兩龍
page 5	日機狂炸清花各地
page 5	游擊團隊活躍禺北
page 5	日軍犯兩龍不逞連日狂炸粵北各縣番花前線游擊隊活躍襲擊橫潭蕭崗之戰果
page 5	辦理不力從嚴議處
page 5	發展四邑冬耕省行舉辦冬耕貸款
page 5	台開各界慰問受傷戰士
page 5	粵振濟會規定港澳失業教師待遇辦法
page 5	粵明年一月舉行全省國民兵總抽簽軍管區昨訂定辦法通飭各縣同時實施
page 5	參加抽簽壯丁年齡
page 5	倘有規避先征入伍
page 5	睦洲再陷後日迫偽軍夜戰損失奇重江會日軍圖施突破政策防我各個擊破日艦艇集於北街有圖向牛灣進犯之勢
page 5	睦洲再陷偽軍受創
page 5	大批艦艇集於北街
page 5	粵北五縣煙毒漸已肅清
page 5	日艦日機突聯合來犯陽電沿岸激戰詳情日機艦並進砲聲竟日不絕屢圖登陸均被我痛擊不逞
page 7	劫煤炭店
page 7	光顧住戶
page 7	東江糧食恐慌已解決吳奇偉代表昨招待報界報告當局救濟米荒經過
page 7	香港仔北角水雷突爆炸疑係巨魚觸撞所致
page 7	義風慈善社徵求隊昨聚餐
page 7	輔政司解釋所得稅研委會之任務同時公布研究委員名單
page 7	王志聖昨抵港談視察江浙黨政經過
page 7	店瘵挾恨歐傷同事畏罪揮刀自殺既刎頸又割其勢受傷極重醫生救治無效卒在院斃命
page 7	德參贊昨過港
page 7	郵局停寄外國小包郵件
page 7	僑務委員會資助華南中學
page 7	慈善團體昨聯宴何會督
page 7	記者學會遷址
page 7	九龍盜匪猖獗一小時內發生兩劫案一發生於南昌街一在基隆街財物損失甚微兩事主被毆傷
page 8	不法之舉萬金不為
page 8	結褵十載育四兒女
page 8	冤家路窄茶樓相遇
page 8	首次被告先後作供
page 8	新界鴨　寮晨六旬老婦深夜被勒斃屋中衣物淩亂異常疑係一謀財害命案
page 8	慰勞英將士會決定明日開始募捐昨召各行頭商會代表會議華人銀行界即席認捐巨款
page 8	足球總會昨會議議決要案多項乙組銀牌第一週秩序抽籤擬定球場擠擁問題交小組委會辦理
page 8	學界籃球戰績
page 8	公開排球賽最近各隊形勢
page 8	協會乒乓單人賽今日止截報名
page 8	日海軍頻頻劫掠漁船長洲一漁拖又被劫損失數千元魚價雖昂漁人不復敢冒險出海
page 8	串同男友圖殺親夫疑案昨續審原告麥泉述其妻之行動
