page 2	我欲與范軍長談談良心什麼　護法續什麼　假面護法
page 3	北京財政部擬明年起徵遺產稅
page 3	京政府派溫樹德調查粵海關交涉案
page 3	擬派曼德為路警總視察
page 3	蔡成勳電京稱援粵軍接濟繼絕暫駐南雄大庚取守勢
page 3	何東定十二日離漢口應齊燮元約在寧略擱仍原輪赴滬何云將在滬組和會籌備處
page 3	援川軍在酆都長壽與熊克武但懋辛相持中路距重慶僅百里
page 3	蕭耀南派員分赴湘南湘西徵諸將取消自治意見均答由趙恒惕主持
page 3	蔡鉅猷部劉敘彝仍駐漵浦周朝武亦入漵劉重威鄒振鵬
page 3	葉琪分道會攻陳渠珍令得周朝武首級賞三千元
page 3	沈鴻英軍留在臨武者尚有二旅設清理臨武財政處提雜稅及柴米等捐
page 3	眾院議員在甘石橋領津貼者計三百廿六人吳景濂派大失勢甘石橋會議吳黨已有敗徵孫閣恐難成立曹錕已預定派高淩霨署閣
page 3	王湘趙世鈺張魯泉三派聯合反對預填選票之籍忠寅但政府方面仍助籍
page 3	眾議院反對金佛郎小孫派亦列名謂反吳是一事不能以反吳故破壞對外交涉
page 3	顧乃斌等幹旋蘇浙和平某要人語浙紳云此事須何豐林對爭警廳長案讓步則中央可制齊燮元行動
page 3	顧維鈞電駐外各使查作嘔國元老院組織法以位置段祺瑞孫文黎元洪岑春　等
page 3	孫寶琦謁曹錕請改高淩霨署閣
page 3	唐在禮定十日在集靈囿就路警督辦職
page 3	旅京皖人拒馬聯甲兼省長甚力
page 3	濟南八日市民大會議決三通電一力爭威海衛二懲辦梁如浩三驅逐徐元亮于元芳
page 3	鄭士琦接吳佩孚電指派吳長植旅作護路隊
page 3	張作霖贊成聯治制但謂時機尚早張擬設京奉長途電話正與交部磋商
page 3	連日激戰中之東江形勢
page 3	公賣賣煙之進行
page 3	粵軍進抵悅城消息
page 3	另誌東江再次激戰情形
page 3	孫政府堅索關稅之西訊
