page 1	李白遷調後之桂省現狀
page 2	旅京粵同鄉歡迎黃慕松返粵並請廢除苛雜減輕田賦及禁絕煙賭與肅清盜賊
page 2	劉紀文謁蔣堅辭粵省委職員
page 2	改組粵省府國府已明令發表
page 2	蔣院長接見孔祥熙垂詢粵金融近況並向曾黃等指示方針
page 2	石井來華任滿或將調遣回國日方準備以數千萬元攫取華北鐵路水利權
page 2	日駐屯軍參長永見談話否認對華示威侵略希望各國撤退駐軍
page 2	汪精衛對粵事表示贊同精神健旺即行返國
page 2	中山秀雄案日方表示態度如不及早宣判認為問題嚴重
page 2	桂軍再進湘境
page 2	粵空軍人員奉諭赴京觀光昨已抵京定今日謁陵
page 2	桂綏靖主任關防國府昨已頒發
page 2	淩冰赴京謁張報告赴暹經過中暹經濟合作尚無具體決定
page 2	教部推行義教計劃決舉辦全國義教人員講習班招收中等學校畢業生入班受訓期滿後分派各地負責推行義教
page 2	贛滬兩選舉事務所分別先後成立
page 2	古北口南天門門樓突然坍塌城洞堵塞交通斷絕
page 2	宋哲元與松室宴請中日將校參加者共數百人
page 2	海外各選舉監督刻已正式發表香港以李星衢充任
page 2	日居留民聯席會議閉幕
page 2	漢市選舉事務所請釋疑義四點
page 2	廬山會議重要決案之一改組冀察委會半獨立機關一切均須直轄中央各機關蔣已向閻韓二氏徵求同意
page 3	西田耕昨訪田代永見
page 3	永定河雙口鎮圍崩決
page 3	冀治安會議討論大會議程
page 3	唐紹儀病漸愈
page 3	旅行家石萬里因病返平休養
page 3	旅平法僑哀悼前故法使
page 3	農村破產中農民離村統計
page 3	畢業生就業訓導班招收學員辦法昨經由教部公佈
page 3	索王遺骸火化
page 3	贛省府撥款改善監獄設備
page 3	星加坡華商會籌備二次國貨展覽定十月二日開幕
page 3	四大學畢業生求職函請實部介紹
page 3	馬鴻賓電稱已佔領七營鎮
page 3	參加農本會三十銀行會議
page 3	西班牙叛軍失利政府軍將總攻擊
page 3	鄂省府全體工役舉行消防演習
page 3	德國遠東協會歡宴戴季陶等
page 3	艾登演說意人表示滿意
page 3	亞國人士武裝抵抗意軍
page 3	台維斯杯仍由英國保持
page 3	日派財務官來華考察我國經濟廿八日由青抵滬
page 5	蔣氏來粵訊續聞所傳行期之兩說
page 5	匪共入踞饒平六區中央軍李部進駐粵邊候粵軍開到聯合進剿饒城緊急居民多已遷避
page 5	海內外旅粵同志會請李白懸崖勒馬
page 5	海關征收洋米稅潮梅人民繼續請免
page 5	潮陽公會電
page 5	普寧同鄉電
page 5	米業電
page 5	中央對桂局仍欲和平解決軍事亦已有準備蔣前晚派員飛粵指示對桂監視機宜粵對桂之軍事種種準備並已封用船隻候命中央軍兩師將抵省聞候黃紹雄率領返桂
page 6	省府新主席委出後林雲陔昨電蔣黃報告交代後即晉京促黃迅速來粵接替
page 6	呈蔣電
page 6	致黃電
page 6	孔可權部編師不成財廳特務團已奉余命撥歸財廳黃團長對記者談
page 6	林振雄來粵任務
page 6	張之英辭職批詞馭軍有法歷經盤錯勛績燦然時會艱難正資匡濟勉抑高蹈之忱張氏已打銷辭意定期八一就職
page 6	一軍部全抵廣州
page 6	粵軍校暫緩改組
page 6	黃埔商埠籌辦處之結束訊開闢經費無著羅氏已令結束
page 6	李利更調非事實
page 6	接收舊總部完竣
page 6	余氏電就軍校長
page 6	航空校改　中央
page 6	煤油稅處長派董仲鼎接任商人請免煤油稅聞已奉批飭不准
page 6	中區署未令裁撤
page 6	撤消各屬招募員
page 6	保安隊返回原防
page 6	五一師旅長抵省
page 6	韓潮已恢復自由
page 6	各界迎余總司令今日在紀念堂舉行肇屬歡迎會之改期
page 6	取締服裝有暫緩執行說
page 6	財部再頒行土製人造絲疋頭稽查辦法
page 6	令文
page 6	辦法
page 6	李漢魂回任原職訊李郁焜將復充東區參謀長黃質文代理第三軍軍長說
page 7	離港之準備
page 7	林區杜放洋
page 7	陳濟棠未去
page 7	護衛之嚴密
page 7	兄弟均患病
page 7	陳氏親信談
page 7	各界電賀黃慕松
page 7	蕭佛成及暹商務員電請中央緩征粵洋來稅依照粵財廳原令免稅一月蔣介石電復已交財部核議
page 7	德輔道中炸彈案研訊終結兇徒擲彈原因無從判斷祇認定死者確死於誤殺
page 7	兩省輪改組復航
