page 2	我欲與范軍長談談良心什麼　護法四什麼　假面護法
page 3	趙恒惕將聯陳炯明林俊廷通電主張召集南北會議解釋憲法促成統一
page 3	吳佩孚電京政府請飭海軍赴粵保護海關
page 3	曹錕令李濟臣長豫
page 3	外部致函葡公使稱陝西印花處長裴福杰攜公款逃往澳門請引渡
page 3	十一日使團會議後由荷使答覆外部稱廣州外艦水兵登陸說非事實至各艦集中廣州係保護海關以保庚子賠款及借款擔保之安全因海關巳抵
page 3	押庚子賠款及外債
page 3	援川軍與楊森袁祖銘部進圍重慶川軍退入重慶城固守船舶皆停止往來日本水兵登陸保護日僑熊克武因防陝軍襲擊成都未能援救重慶現陝軍萬餘已進抵簡陽
page 3	湘議會請趙恒惕出席趙發表政見六項一收束軍隊二客軍善後三清理財政四澄清吏治五與民休息六肅清土匪
page 3	王永泉部攻永春正在戰中
page 3	洪兆麟派員赴湘與趙恒惕商援粵辦法
page 3	孫傳芳攻浙軍隊兩旅一團已抵閩邊進駐漁梁九牧一帶前哨已滿布深坑富嶺間
page 3	金佛郎案經王克敏與法使商定援一九零一年條約規定計合金佛郎三枚七錢五已得解決
page 3	皖贛兼長令已頒鄂則因巡閱使不能兼省長故省長人選仍候吳佩孚解決
page 3	眾議院發出席費每人三百元
page 3	蕭耀南改十三日就巡閣使職
page 3	顏德基下綏定
page 3	唐繼堯派吳學顯助川軍
page 3	老洋人由龍駒寨入陝有眾萬餘
page 3	吳佩孚反對新新國會變燮元駁覆謂當以事實濟法律之窮吳再駁謂譬妻不端只可以法律離不能以外室繼
page 3	李倬章長豫令已下
page 3	孫寶琦赴津藉吊袁世傳母為名與曹銳王承斌商進行
page 3	吳佩孚代表穆思棠謁段祺瑞段言對曹無惡意但望曹對外應保主權對內 宜安民
page 3	十二日電政會議三案一取締軍用電照二限制商電改稱軍電三不准扣留電費
page 3	國有五路決明年每百公里加價五分
page 3	蔡成勳因兼贛長令下一電
page 3	京銷假
page 3	吳光新赴大連活動
page 3	粵軍左翼退兵之形勢談
page 3	再誌東江戰事之確訊粵軍從十二日總攻擊
page 3	北江軍事近訊
page 3	楊應祥被捕
page 3	軍法處嚴訊俘虜
page 3	江門西訊
page 3	美艦隊到港
