page 1	何謂新文字
page 2	范築先電克濟南經過馬良已被槍決
page 2	台兒莊北殲敵兩師團獲戰車百餘輛
page 2	魯南戰事　縣為重心現已發生激戰
page 2	我機飛魯努力炸殘敵以機槍射敵軍
page 2	孤注一擲敵竭力增援我準備再殲敵
page 2	中監委會四次全會通過李濟深等七人恢復黨籍
page 2	晉西敵有準備撤退模樣我軍收復吉縣長子兩縣
page 2	我軍衝入吉縣
page 2	砲兵發揮威力
page 2	台兒莊收復後視察記民舍已成瓦礫敵軍遺屍遍野我軍搜索前進收復附近村庄
page 2	浙北江南敵被游擊疲敝不堪萬名在浦東登陸增援我攻入張渚殲敵五百餘定遠敵軍中伏損失奇重
page 2	敵氣頹喪不可收拾
page 2	我軍昨日攻入張渚
page 2	南京之敵行動驚慌
page 2	我向宜興迂迴攻擊
page 2	我在定遠設伏殲敵
page 2	在固鎮擊落一敵機
page 2	敵艦砲擊大登敵機轟炸毀草房
page 2	敵機飛梅投彈
page 2	大張撻伐勢如破竹孫曹兩部昨克復濟南偽維持會長馬良已槍決魯南嶧縣敵軍在肅清中
page 3	對抗戰前途白崇禧抱樂觀與外記者暢論戰局確有最後勝利把握
page 3	晉西我軍搜獲敵參謀部情報締結某協定國不可靠表面助日其實助華敵國外交孤立至此
page 3	勃魯姆內閣總辭職達拉第組新閣參院不討論財政法案乃勃辭職原因新閣員大致已定今晨或可組織成立
page 3	大美晚報再被禁止郵遞因載日搶劫英人傢具新聞
page 3	俄要求波制止官吏盤詰俄僑俄人往波被詰國防情形
page 3	國民政府命令
page 3	張伯倫開誠表示英國誓維和平擴軍讓步均以和平出發英意協定條文下週簽字
page 3	柏林天主教贊成公民投票瑞典德僑籌備投票瑞典青年表示反對
page 3	中美銀協定展期六月平津白銀祗有少數
page 3	世運會決不在日舉行委員會已通告日方
page 3	英大使抵重慶
page 3	孔院長再撥款四十萬救濟皖豫等地難民
page 3	某勇士擊毀敵坦克車七輛
page 3	我在津浦南段予敵奇襲
page 3	朱陳殘敵憑碉樓頑抗
page 3	濮縣敵軍已被肅清
page 3	敵軍續向豫北增援
page 3	我游擊隊夜襲溫孟
page 3	豫北我軍向北挺進新鄉車站克復溫孟等縣敵迭遭我游擊隊夜襲
page 3	日貨被各國杯葛出口貨銳減敵國經濟危機第一季入超達六千六百萬圓公債增加出品減少必至破產
page 4	今日國際杯決賽大中華戰英格蘭下午四時在香港會球場舉行
page 4	昨尋常杯足球賽南華南擊敗九龍會
page 4	網球準決賽本週內有三場
page 4	東方敗於新軍
page 4	普男籃球戰績紅藍港大記者同奏凱
page 4	中國籃球隊將在港比賽五場秩序亦已擬定
page 4	籌購兩具象棋賽周走錯著鍾珍先勝第二局保留今晚續賽預料今晚賽情更　烈
page 5	敵機又襲粵路及潮梅粵漢路南下貨車數輛在橫石被炸員工無恙派員赴梅縣運回敵機
page 5	派員赴梅運敵機
page 5	河南禁聚觀空襲
page 5	廣州全市行商舉行談話會討論三事吳主席蒞場勸銷國債
page 5	省港記者視察團抵前線
page 5	開往自治戶捐須撤銷原有苛細
page 5	五路軍總部鼓勵民眾請纓
page 5	我軍克復濟南　曹兩部化裝攻入偽維持會主席被擒廣州昨燃爆竹慶祝
page 5	五路軍總部准許在逃士兵壯丁自新限五月十日前自首免究
page 5	廣州市抗敵會訂定制裁漢奸辦法毀祠宇掘祖墳沒收財產
page 5	自衛團十個問答
page 5	余漢謀返省後發出兩個自衛口號民不離槍槍不離鄉公布自衛團十問十答
