page 2	陸榮廷電京辭職
page 3	陳光遠電稱粵軍已攻下桂林陸榮廷出走桂省議會電請沈鴻英馳赴南甯維持秩序
page 3	京政府對南初分兩派舊交系閣員主聯粵靳系主辦桂及沈鴻英附粵乃全失望
page 3	岑春　昨尚電京政府請速援桂陸榮廷失敗皆因桂軍複雜分沈陳譚三派故靳閣
page 3	新政策主先聯湘川次滇黔對桂取任主義對粵離間孫陣　抱　
page 3	京政府　藍建樞為澄威將軍授蔣拯以海軍中將兼代海軍總司令已決
page 3	文群鈕傳善各挾政學系勢力競爭贛　
page 3	太平洋會議顏惠慶自願前往徐世昌意頗動特電商施肇基　
page 3	靳雲鵬因桂軍失利礙難統態度　
page 3	徐昌世語靳雲鵬外蒙形勢變遷宜昌重外交頗怪征蒙
page 3	滬招商局電部向英工廠訂購新華船請註冊並電駐英公使　
page 3	靳雲鵬見陸榮廷失敗頗　統　政策根本無望沮喪益甚行將辭
page 3	陸榮廷決赴海防隱居桂軍由沈鴻英維持將布自治　和粵攻但陸勢力仍擬集中體現粵桂戰爭毫無結
page 3	太平洋會議我國決意加入代表席尚在決選親日派慫恿靳雲鵬自往靳亦因桂事失敗欲借此　
page 3	直系運動曹錕為陝甘經略使張作霖因日境與蒙疆相連反對甚力不致成為事實
page 3	內閣動搖朱啟鈴組閣說甚盛錢能訓亦漸有呼聲
page 3	粵軍入貴縣之餘聞
page 3	軍事要聞彙誌
page 3	軍隊捉私之私放
page 3	總商會勸銷公債之為難
page 3	解散廣西民軍之傳說
page 3	藤縣團體請救濟兵災
page 3	桂軍總司令人物之擬議
page 3	賀縣商會挽留沈鴻英雷原文
page 3	報風
page 3	搜獲
page 3	不服搜查被控
page 3	妓婦死得離奇
page 3	豐茂船投價
page 3	香港大學聘衛生科講師
page 3	銀價
page 6	劉湘　　之計　
page 6	張作霖接見俄代　
page 6	小野所述之短期借款
page 6	北京代兌中法鈔票之　
page 6	瘋婦多情
page 6	潮商　　　車捐致汕頭市長　
page 6	安濟輪船煙案
page 6	違犯　花　
page 6	爭風　
page 6	船政署　
page 6	傳染症報告
page 6	夏令兒童學校之倡辦
page 6	影畫院司機人之不平鳴
page 6	影　誌　
page 6	騎　傾塌傷人
page 6	酒未納稅被罰
page 6	被控摸　
page 6	煙未納稅被罰
page 6	畢業榮　
page 7	肇城又搜獲黨人機關
page 7	王和順攻南　
page 7	軍中發冷症之傳染
page 7	請緝私鑄首犯
page 7	陳德春請准截留五屬稅捐
page 7	請令客軍勿借用車站地方
page 7	新任連縣知事追印
page 7	廣西行用東省紙幣之近狀
page 7	舖底項受習慣之調查續　
page 7	惡鴇何知人道
page 7	令開學藝比賽會
page 7	仍令實行優待藝徒條件
page 7	九江辦警之先聲
page 7	管理官地又爭權限
page 7	擬設業權維持會之批示
page 7	瑣聞一束
page 9	為贛人驅楊之聲援者
page 9	京政府將發　　　公債
page 9	辛博森反對英日懟盟
page 9	丁錦臨去之航空署
page 9	關於太平洋會議之消息
page 9	法債在美招募
page 9	澳品在滬陳列
page 9	上海運美貨額低減之原因
page 9	閩人亦要軍民分治
page 9	浙江制憲與各法團
page 9	福開森對我自治之意見
page 9	加工人之仇視日　
page 12	省報所述　
page 12	新會城商團警隊人衝突詳　
page 12	排長姦拐少女
page 12	　紙要　
page 12	財政司請還
page 12	汪精衛　凍　　
