page 1	春節中之戰局與外交
page 2	津浦南段戰事已屆嚴重關頭戰事重心迫近臨淮關定遠我軍移守新陣地
page 2	在明光西北方敵我肉搏達旦事後調查敵傷亡甚重池河西岸戰事甚激烈
page 2	津浦北段左翼我向泗水挺進蒙陰我部攻克敖陽鎮右翼我軍仍包圍濟寧
page 2	鳳陽定遠相繼被陷
page 2	兩下店之敵南擾被擊退
page 2	我空軍飛津浦南段助戰
page 2	廣田謂中日入于戰爭狀態
page 2	不盡抗戰責任者判處死刑
page 2	我已有整個計劃粉碎蕪湖南京殘敵我在蕪郊反攻甚烈敵感受威脅我軍渡清戈江向宣搜索前進
page 2	開赴宣城之敵中伏傷亡甚眾
page 2	盤據宣城之敵受我三面包圍
page 2	復旦大夏聯大在筑正式開課
page 2	滬炸彈案復生
page 2	中蘇協定傳將正式簽字
page 2	包頭日軍準備進攻寧夏我準備以重兵迎擊
page 2	津浦南段戰事移至臨淮關蚌埠附近我生力軍開往淮河北岸增援前線士氣甚旺一致向敵反攻
page 3	國聯政院會議討論中日問題
page 3	中國代表
page 3	賡續抗戰
page 3	猖狂一時
page 3	遠東爭端
page 3	九國公約
page 3	國聯大會
page 3	秘魯代表
page 3	美絕未與任何一國商定聯合作戰計劃美國之海軍擴充計劃目的只在保持海縮條約之比率
page 3	日外相廣田演說日出兵侵華損失甚大必須在中國境內取得相當之賠償美因廣田演說將考慮施行中立法
page 3	中日兩國未有和平談判日外務省代言人之談話
page 3	星洲海陸空軍演習海陸空大戰數小時結果敵軍全被擊退
page 3	美願設法充實我國抗戰力量但因受現行中立法之牽制對國聯所擬辦法礙難贊同
page 3	加拿大反日空氣濃厚政府提出嚴密監察軍火運日駐日公使勃魯斯親日被撤職
page 3	英外相艾登在下院報告中日之情形華北偽組織各國皆未予以承認偽組織新稅違背中國統一稅則
page 3	日大使館宣稱中日戰爭範圍勢將擴大照會各國勸外僑撤離長江流域
page 3	敵軍入據煙台我武裝警察遷移於南郊
page 3	英議員摩根宗氏提議禁止無人道之空軍攻擊請求英政府向各國提議訂立協定政府表示接納其意見並加以研究
page 3	日政友會領袖鳩山氏談英國外交實具有伸縮性日本此次對華作戰如獲勝利則英國之反日潮必為之減退
page 3	蘇蒙邊境鐵路現已開始建築
page 3	日謀組大產業公司侵奪上海經濟辦理　生產事業
page 3	國聯行政院通過鼓勵援華決議案顧維鈞要求保留我國有請用盟約權俾各國對日本侵略作較有效之制止
page 4	女子籃球成績
page 4	體育部定期開放特准女子到場參加
page 4	上海傳來佳訊陳鎮和確尚在人間近有兩致其姊詳述近狀謂決犧牲一切貢獻祖國
page 5	昨敵機輪流犯粵共三十九架分十批自晨至夕均有警報
page 5	敵機昨兩窺潮汕
page 5	廣州市商會研究勞資合作辦法救濟市面商業
page 5	敵機屠殺南潭鄉民亂槍射擊一死一傷
page 5	縣黨政軍聯會限十五前成立
page 5	廣東軍管區延期成立吳鐵城曾召主要人員商進行
page 5	桂集訓生請纓殺敵投筆從戎義無反顧五路總部在核辦中
page 5	粵受傷官兵緩組榮譽團隊
page 5	公債款補助粵國防費改定為四百萬元
page 5	民眾抗敵自衛分設各指揮區主任由綏署分委
page 5	市學聯會討論籌組全省聯會擬請各校滅收學費
page 5	李卓元談新春地方寧謐
page 5	敵艦一度犯虎門後最近沿海均無異動昨傳敵佔新會附近小島不確唐家灣敵艦多艘掩護航空艦
page 6	學生家長聯呈當局請求恢復市小教育
page 6	蒼梧縣府組抗戰漫畫會赴各鄉巡迴展覽
page 6	二日僑團會議議決三要案
