page 1	日本總選後之政局
page 2	楊永泰被剌案劉蘆隱等提起公訴　係犯共同教唆殺人及妨害秩序罪
page 2	革命政府成立紀念中央國府合併舉行紀念儀式參加黨政軍各長官五百餘人林主席領導行禮並即席致詞
page 2	對內方面
page 2	對外方面
page 2	于學忠何柱國分謁中工樞長官致敬何部長對于何等公忠為國精神備極嘉佩于何對中央整理舊東北辦法絕對服從
page 2	許寶驊談脫險經過由匪監視在深林藏躲八日屢換地方夜則出山林奔走食無定時匪遇軍警窮追他逸許乃得乘機脫險
page 2	川省確定生產建設三年計劃完成國防建設肅清全川盜匪改革征制度推生產建設
page 2	意德雙方否認成立軍事同盟並重新聲明願尊重西國領土完整但要求蘇聯不在地中海伸張勢力
page 2	財部關切黔災增撥賑款廿萬
page 2	財部重視川災購辦大批糧食兼程運種接濟
page 2	甘介侯抵京謁汪報告桂政
page 2	賀耀組今日赴陝轉甘
page 2	豫皖蘇軍整會成立秘書辦公室主任人選業已發表于部分駐蘇北蘇綏署即設淮陰
page 2	郭泰祺電告英日在華合作談判雙方已在倫敦舉行中央對此採取嚴密注意態度日本發起舉行此種合作談判之動機因中國統一已不容日再取侵略政策
page 3	滬西宏昌織絲廠工人發生鬥毆慘劇重傷六十餘人輕傷者數百人
page 3	童軍號祝壽機舉行命名典禮
page 3	政院例會決議案修正土地法原則全部通過軍委會增設常務委員二人特委　徐永昌陳調元充任
page 3	修正土地法原則
page 3	林內閣不顧政黨攻擊不欲考慮辭職問題並對記者談話謂　此非常時期政府不能因政黨促迫遽辭職
page 3	長沙廣播電台昨舉行開幕禮
page 3	孔特使談話
page 3	郭大使致詞
page 3	艾登在歡宴孔特使席上盛稱蔣委長功績郭泰祺夫人率領中國名媛覲見英皇喬治六世及皇后
page 3	經建會在景德鎮籌設國窯工廠
page 3	駐棉蘭領事黃正升任巴黎總領
page 3	糖業公約草案將於今日簽字
page 3	英向不干涉委會小組會建議設法使西國戰爭合於人道要求阻止飛機轟炸西班牙未設軍防城鎮比爾波港難民開始撤退西叛軍拒絕保護
page 3	本港新亞社記者赴京滬杭各地攷察新聞事業定六日乘比亞士輪南　據梁君談此行印象殊佳
page 3	路日鐵員工二十萬要求增加工資鐵部次官深夜集會秘密會商應付方策
page 3	準備慶祝英皇加冕倫敦城佈置輝煌張燈結綵樹　花遊人到此如入仙境
page 3	英遜王抵達剛德別墅結婚日期尚未決定
page 3	劉尚清由京赴皖
page 3	趙鐵橋案判決王述樵等均無罪
page 3	植田抵承德後連日召集侵綏會議綏東狀況確甚緊張
page 4	佈置莊嚴
page 4	觀禮人物
page 4	行禮熱烈
page 4	致開會詞
page 4	小型足球協進會召開比委會議討論懲罰各魯莽球員事同時會商比賽規則事項
page 4	學界排球高級華仁勝漢中初級英皇勝西南小童英皇勝皇仁
page 4	國際游泳會華人代表選出
page 4	南華女子徵求莫夫人全場冠軍連本屆　聯六屆
page 4	醒圖體育會定九日行開幕禮足球隊與本屆冠軍 作友誼賽
page 4	港大與鐘聲棄權甲組籃球無戰事乙組保羅勵行得勝
page 4	九龍會正前鋒布力足傷有起色昨日醫生為之駁骨
page 4	本港外匯市呆滯
page 4	第十四屆廣東省運會昨開幕到會者達五萬人情形熱烈由吳鐵城主禮並致開會詞以鍛練後輩青年為復興民族基礎共勉
page 5	各旅長集省赴京受訓前傳副旅長北上受訓不確
page 5	實施訓練軍隊方案將在粵組訓練處
page 5	沙田捐開投近訊承商以底價過高不敢過問沙田整理處成立後改委辦制
page 5	國防問題會成立宣言
page 5	汕平抑星檳票價與僑務局舉辦出國擔保船公司不允減低票價旅業公會請免擔保不准
page 5	桂省征收懷集杉柴出口捐西江柴杉公會請撤銷
page 5	閩禁止粵鹽進口
page 5	改善征收房警捐法開始調查產價租金征收標準分五級十五等分四季征收由業主負擔
page 5	行商請展緩催征二期營稅款
page 5	程吳兩氏會商根本解決粵糧食辦法將由實部指導粵省府負責實施千萬開墾費擬向銀界磋商借款
page 6	會場佈置
page 6	民眾擠擁
page 6	　獻機禮
page 6	發給獎品
page 6	飛機命名
page 6	淩空表演
page 6	覃氏致詞
page 6	吳氏致詞
page 6	余氏致詞
page 6	全市臚歡
page 6	昨五日為革命政府成立十六週年紀念日
page 6	汕市工界以領事裁判權撤銷
page 6	司法院副院長覃振
page 6	黃埔闢埠工程現已加緊施工
page 6	赴暹輪匿艙案汕市府徵求家屬呈控華僑社擬呈當局究辦
page 6	財廳推行地方會計辦法二
page 6	廣九焚車　案死難家屬聯合會
page 6	下級飯店禁售黃花魚案將改善征收處主任拘人處罰風潮將有擴大之趨勢
page 6	廣東各界昨舉行獻機祝壽命名紀盛上午九時半在天河機場舉行與會者五萬餘人極空前熱烈李煦寰主禮領導十八位要眷揭綵覃振吳　城余漢謀代表接機致詞
page 7	本港慶祝秩序
page 7	英皇加冕禮節
page 7	男女童軍會操
page 7	頒發紀念徽章
page 7	各界休業誌慶
page 7	擬請英廷減輕軍費負擔俾致力防空建設使民眾得獲安居軍費年增料明年將有若干項加稅
page 7	空防建設費
page 7	百萬籌款法
page 7	殖民地負擔
page 7	軍費之遞增
page 7	飛剪機今日到港
page 7	西南民航兩新機今日可裝配完竣
page 7	華商會調查操縱船票真相旅業商人表示與各客棧無關
page 7	商會調查
page 7	赴星輪船
page 7	發票手續
page 7	從中操
page 7	副律政司威廉士嘉獎破獲殺人焚屍案警探警察當局昨向警探宣讀來函
page 7	竟有人恐嚇焚車案難屬會該會已呈請黨政當局查究
page 7	十三歲小童被剌腹破腸流傷勢危重
page 7	鋼　灣撈獲婦屍
page 7	荷國航空公司爪菲線暫難開辦
page 7	英皇加冕節及本港慶祝秩序已定中西學界放假三天各行商店亦多休業
page 8	官傳袁父
page 8	如膠似漆
page 8	吳秀霞供
page 8	重要供詞
page 8	瓊崖心影錄五
page 8	眾人　山良
page 8	黎人愚直守時守
page 8	黎人刺花已　禁例
page 8	深山農民毒　　利
page 8	南豐市上黎人　墟
page 8	　匠被殺案初審
page 8	搭棚演戲
page 8	遇害多日
page 8	同往合作
page 8	迎祥齊堂
page 8	　楹撈底月下　談
page 8	二虎團今日抵港港政府重試放煙花
page 8	砍傷警察犯入獄
page 8	許啟興昨晨飛滬
page 8	陳濟棠仍留歐洲黃麟書之談話
page 8	強姦樵婦案續審
page 8	科士打述歐亞旅途觀感三德注重體育　健康者認為有罪年青姑娘要入營受訓幫助　人
page 8	國語演講比賽消息
page 8	瓊崖考察團返港
page 8	公園雙屍案訊結華警女侍自甘同死雙方父母未加壓迫對此慘案不須負責
page 10	慶蔣會結束會議明日在華商總會舉行
page 10	法記者過港晉京
page 10	三團體讌李樹芬
page 10	喬治六世之壽辰
page 10	台灣視察團過港
page 10	海員賑綏會獲褒獎
page 10	港警察餞送三警官
page 10	西南學生參觀工廠
page 10	本港英陸軍擴大射擊場九龍哥爾夫球場他遷
page 11	建廳技士籌劃中山縣建署決先建平民宮三十間
page 11	汕學界五四巡行
page 11	縣府整飭交通市容
page 11	老翁娶妻竟受愚弄
page 11	定期開始訓練壯丁
page 11	警隊捕獲劫　案
page 11	檢查肇梧拖渡原因
page 11	金溪穀價陸續低跌
page 11	定期遴員複評田畝
page 11	灰船沉沒傷四船伴
page 11	痛夫慘死竟以身殉
page 11	評定陳村各業稅額
page 11	續編田畝歸戶表冊
page 11	改良廣東地方會計之意見六
page 11	戊整理改善之準備事項
page 11	中山縣申報營稅案已有圓滿辦法由　整會派員赴征收處抄底冊課稅總額及評議會經費待商討
page 14	張北設卡胡部續變
page 14	王振華部有輸誠意
page 14	刺汪宋案判決書五
page 14	參加英皇加冕禮特使團西行記
page 14	察北匪偽軍心渙散某方指導官均已退出胡寶山旅突又譁變逃至熱西
page 15	探病者之艷福
page 15	不可一刻無鐵肺之施迺脫歸國之行短期難如願一病者身患瘋癰不能經舟車上下之勞其父擬在碼頭建臨時軌道以便移入登舟
