page 1	我國對國聯之要求
page 2	晉西南我追擊部隊直撲孝義城郊Ｘ西犯失利增兵圖謀東犯我圍攻夏縣斃Ｘ五十餘人
page 2	晉西Ｘ軍敗退
page 2	蘇州我軍獲優異戰績大小戰三百餘次殺Ｘ四千餘獲步槍千餘子彈三十餘萬發
page 2	吳鼎昌返抵筑
page 2	絳縣之Ｘ受挫
page 2	我軍圍攻夏縣
page 2	杭州之Ｘ四面楚歌城內居民時聞炮聲
page 2	鄂中Ｘ軍集花園謀西犯鄂東麻城來犯Ｘ敗退湘北新牆河戰事沉寂
page 2	禁煙委會擬定兩年計劃呈候中央審核
page 2	英財部將禁止買賣交易證券
page 2	漢口法租界水電恢復日在法界設辦事處
page 2	Ｘ軍部意將對華侵略事件今後移交興亞院辦理而不再假手於互相會
page 2	為償還關稅擔保債務辦法財部發言人再加闡釋財部所指債務只就關稅擔保而言其總數約等於國幣二十五萬萬元
page 2	李桂展抗戰殉職國府明令褒揚
page 2	委座嘉獎某戰　遊擊隊各部官兵聞訊殺Ｘ之心益堅
page 2	皖南青陽附近我Ｘ一度遭遇
page 2	滬領法庭經已選定推事
page 2	統一復興兩公債照常還本付息
page 2	英艦一隊往地中海演習
page 2	魯森抵紐約談最後勝利將屬中國詹將向國會有所報告
page 2	法已送出照會日政府反對日人破壞外人在華權益
page 2	贛北Ｘ犯廬山蒙家山人民自衛隊抵抗Ｘ不逞南潯　師團Ｘ軍厭戰士氣消沉
page 2	Ｘ向九江三水增援謀側攻肇慶企圖犯桂廣花公路我軍退守花縣以北贛北鄂南之Ｘ燒殺無辜民眾
page 3	請各國實施經濟制裁遏止日本侵略並反對日本之總動員法令推行於日代治之南洋各島
page 3	晉境偽組織經濟活動根本失敗抗戰以後我法幣反流通偏僻鄉村捐稅毫無收入Ｘ偽金融基礎脆弱
page 3	外傳日本願與英美磋商中國問題美國官方尚無表示
page 3	法艦隊定期冬季大操參加者共有軍艦八十艘
page 3	張春飛倫敦發表抗戰談話中國雖無外援亦可戰勝
page 3	愛爾蘭共和軍開始恐怖運動離奇炸彈案多次發生謀推翻愛爾蘭現政府
page 3	報反　言論愈趨激烈竟謂法輿論界有類於一野獸
page 3	巴賽羅納近郊頻發砲聲城內居民尚鎮定
page 3	美機一架配以重軍器已抵仰光將轉運中國隨後將有大幫美機運載來華美飛行技術人員亦啟程來華
page 3	德匈談話四項要點
page 3	匈外長離德返國德匈會議結果料係相當美滿
page 3	滬外長定期抵波在波日程已擬定
page 3	法新巨艦下水
page 3	顧維鈞在國聯演說
page 4	截劫貨艇
page 4	偷運紅丸
page 4	粵港隨軍團今日招待各界
page 4	美國廣播台將向遠東播音
page 4	紅丸犯受重懲
page 4	難婦投海自殺
page 4	港大售旗成績
page 4	私藏手槍案押候
page 4	修理海底電話線
page 4	深水　發生小火
page 4	衛生局時症週報
