page 1	歐戰與美國
page 2	海上德輪逐漸被消滅英艦又擊毀三德輪
page 2	德機襲擊英法兩首都結果德機均被擊退
page 2	晉東南方面我克復石哲鎮繼續向城關挺進
page 2	法波兩國再簽議定書不得對德單獨停戰
page 2	波蘭空軍首次襲柏林德機亦再轟炸華沙
page 2	浦東楊思橋鎮偽鎮長被擊斃偽鄉長二人亦被刺
page 2	天津水災慘重災民近二百萬人且更有斷食之虞
page 2	鄂南白霓橋奇襲經過我長官頒給特獎
page 2	贛北我軍攻新村墟西北Ｘ向我上下富卓附近砲擊
page 2	林　否認朱案與汪有關大美晚報對此將有堅強表示
page 2	皖東我軍反攻高淳之Ｘ
page 2	德法兩軍砲戰劇烈波蘭廊廓劇戰展開英經濟戰部計劃向德經濟進攻
page 3	比國重申嚴守中立決心下院通過若干特別緊急法案有外國機一架飛經比京之南
page 3	張伯苓播講汪精衛與國民參政會貳
page 3	新西蘭議會通過對德宣戰馬爾他重申擁護英政府英國當局電慰各殖民地
page 3	英下院宣布休會
page 3	意已準備各航線復航足證意確有保守中立決心
page 3	國聯工作暫告中斷因受時局影響
page 3	美約南北美各國開會討論維持美洲平問題
page 3	重慶德僑準備經蘇回國
page 3	波官方聲明德軍有破壞作戰條例德軍身著波軍制服降落波境
page 3	倫敦證券交易所定期今日復市
page 3	甘地勸希特勒勿破壞和平並謂希特勒不識上帝而係祇識野蠻之武力
page 3	德政府沒收但澤波蘭財產
page 3	南政府否認施行軍事動員
page 3	法政府發表勞工法令增加工作時間
page 3	南菲組新內閣斯密士任總理
page 3	尼赫魯過昆明
page 3	羅斯福下令禁止棉花及廢棉入口以保護美國之棉花市場
page 3	蔣電陳教長著褒揚吳志騫
page 3	教皇呼籲戰爭須人道化
page 3	因歐洲局勢演變孔院長發表重要談話歐戰對我抗戰前途並無不利影響抗戰目的一日不達抗戰一日不止
page 3	羅斯福簽發命令宣佈美國中立警告歐洲各交戰國切勿攻擊美國商輪
page 3	兩皇后輪由滬返港海軍沿途保護
page 3	日要求英法波德撤退在華軍隊料英國必不肯接受租界外僑甚感不安
page 4	火熱猛烈
page 4	損失逾萬
page 4	捐金購債彙誌
page 4	新界小輪再改開行時間
page 4	女兵災會獻金國幣三千餘元
page 4	德輔西一海味店被焚財物損失逾萬幸無傷人
page 5	三江Ｘ退已成焦土
page 5	古井全區已無Ｘ蹤
page 5	中山安定糧價突漲
page 5	江會方面仍有砲聲
page 5	三埠交通昨日情形
page 5	Ｘ擾犯各地之經過
page 5	睦洲Ｘ退三埠和緩
page 5	增城方面戰訊我軍乘勝進逼福和臘脯東北現無Ｘ蹤
page 5	臘脯東北已無Ｘ蹤
page 5	我軍乘勝進迫福和
page 5	西江我軍沿蘆西路迫攻西南Ｘ窺馬房不逞
page 5	桂林行營令粵中緊動員潮汕作戰民眾動員不力今後務須切實整頓庶政
page 5	豐收餘穀救濟荒糧縣份
page 5	加強青年運動韶關青年團體組聯合辦事處
page 5	粵北我Ｘ主力相接從化花縣戰事日烈
page 5	赤溪烽火　發現Ｘ艦沿海團隊戒備
page 5	寶太公路在我手中
page 5	我國反攻寶安之進展南頭深圳Ｘ軍之動態Ｘ在岩口公路等地趕緊築防
page 5	禁編落伍官兵
page 5	深圳Ｘ軍多調別處
page 5	南頭Ｘ軍無力封鎖
page 5	三江龍泉Ｘ退後古井安定三埠亦告安穩三埠輪渡昨已復航中山糧價突告飛漲
page 6	茂名被炸落彈地點調查
page 6	廉江化縣亦遭Ｘ機轟炸
page 6	飛炸梅菉掠過赤坎邊境
page 6	Ｘ機七架轟炸桂六城市
page 6	怎樣保衛嶺東吳總司令告東江民眾書
page 6	新台兩縣當局鞏固防務嚴密清奸令各鄉長個結防止漢奸活動
page 6	欽廉Ｘ艦頻窺沿岸各地
page 6	粵農林局督導冬耕預算冬耕血積百萬畝
page 6	連山四女子請纓殺Ｘ粵省府傳論嘉許
page 6	六區游擊部嚴緝冒充團隊特准人民舉報
page 6	汕警五百餘名昨抵韶關編入省警總隊服務
page 6	西江前線赤白坭之近態
page 6	當歸蘆蔡丸
page 6	Ｘ進犯防城不逞後Ｘ機炸各縣與Ｘ艦動態桂省各地遭炸近誌
page 7	德商洋行一律被封
page 7	遺下貨物價值甚巨
page 7	銀行儲款一併封存
page 7	港澳貨運昨已恢復遷澳僑民亦紛紛返港
page 7	省立臨時中學奉令增開三班
page 7	汛美機昨抵港
page 7	德僑民痛恨希特勒
page 7	商會將請政府准收發中文電國內同胞多不習英法文字以英法文發電實等於無用
page 7	港外Ｘ輪肆虐貨艇三艘遇險
page 7	救護團第六隊定期出發韶關
page 7	陸靄雲將謁港當局請發給自衛團槍械對死難卹金請規定二千元
page 7	援助暹僑會設暹僑招待所
page 7	霍亂症漸減少一週內時症統計
page 7	港督電謝殖民部大臣誓效忠英皇爭取勝利本港德僑產業已盡查封集中營德僑痛恨希特勒
page 8	　價飛漲
page 8	堅道破獲紅丸機關搜出紅丸廿餘萬顆疑犯七人昨日提訊
page 8	登證人台
page 8	製造約丸
page 8	警告商人
page 8	西報減紙
page 8	形跡可疑
page 8	船塢工人被殺案初審疑犯五名一已獲釋其餘押候今午再審
page 8	獲嫌疑犯
page 8	傷口甚深
page 8	漁船貨艇遇劫
page 8	象棋奪鼎賽周德裕昨勝盧輝馮敬如勝方紹欽
page 8	難民工業社決遷九龍復工
page 8	港大定期復課外傳停課不確
page 8	夏令籃球賣花賽虹虹今與大中爭冠軍大觀戰厲行亦關係于季軍位置
page 8	鮮血盈面
page 8	南遊日記卅四
page 8	車輛失事統計去週死四人傷四十人
page 8	本　物價飛漲當局禁商人壟斷居　必要時規定物免乘機漁利紙價太昂西報相繼縮減紙張
