page 1	一年來戰局之回顧
page 2	晉東晉南連日告捷
page 2	包頭外圍展開激戰
page 2	隨縣東北戰事激烈
page 2	豫南我軍進迫信陽
page 2	鳥伊兩盟王公赴渝述職
page 2	蔣委長前妻確已犧牲
page 2	日軍反攻靖安連日激烈巷戰現正在城西高地相持瑤湖西南戰爭亦劇烈
page 2	中國工程學會在昆明舉行第八次常年會議主席宣讀蔣委長書面演說詞動員全國技術人員獲取勝利
page 2	緬甸訪華團飛抵昆明昨日離滇返緬
page 2	史達林電謝蔣委員長
page 2	汪派黨徒被人槍擊結果兩死一傷
page 2	大同站附近我炸毀日彈藥車一列日軍損失甚重我軍安然撤退
page 2	京滬路日軍車被炸燬
page 2	南海日軍官厭戰自殺
page 2	崑崙關附近日陷重圍日犯中條山又告失敗綏境殲滅戰大勝斃日軍二千餘
page 3	英皇向全國人民發表聖誕廣播感謝全國團結應付困難準備犧牲一切獲取自由
page 3	羅馬教皇痛斥獨裁主義此等暴虐之人應受神之譴責戰爭所做成之創痛實為可怖
page 3	軍民同祝耶誕節德法前方沉寂法總理向全國人民廣播必須抵抗侵略以戰止戰
page 3	耶誕節羅斯福發表感想希望美國人民能力保持和平
page 3	耶誕之前夕蘇軍仍冒雪嚴陣以待芬軍慮敵人乘誕節進攻故無機會享受耶誕娛樂
page 3	法眾院通過戰時預算
page 3	蘇德鐵路接軌蘇貨經波運德
page 3	美總統人選測驗民意結果羅斯福成績最高
page 3	粵省府獎賞有功部隊
page 3	伊盟達拉特旂加緊民眾組織
page 3	對美或再讓步關於英日天津問題傳將於新年後解決
page 5	日增兵睦洲援江會
page 5	沙頭日偽軍之來去
page 5	日軍星夜增兵容奇
page 5	中山沿邊均告安定
page 5	日海軍頻抵東江各縣百餘日軍擾海門江田追漁船受創炮轟蘆圍
page 5	我游擊隊襲攻裏水日營
page 5	省府令各縣認真辦　戰時撫印卹列為政主要考成
page 5	鄉鎮保甲長酌用知識婦女省府飭各縣遵照
page 5	粵當局獎有功台中　縣書記長受獎
page 5	省黨部訂程序人民團體組織
page 5	戰區司令部飭屬嚴防日用毒菌
page 5	旅星洲機工捐財物助抗戰
page 5	中山團隊緝獲私運米穀
page 5	南三土匪披猖水客被劫損失甚鉅
page 5	河源至老隆增撥車輛行駛
page 5	中山凰閣等村鄉民拒納禾票之激戰梁部團隊協同出擊斃日偽兵共十餘人
page 5	容奇偽軍仍被我包圍日軍再陷沙頭陸戰隊登容奇大良仍在我軍手中偽行政員被擒正法日增兵陸洲援江會新鶴路昨有劇烈戰
page 7	長江問題對美關係重大
page 7	封鎖珠江實為調兵犯桂
page 7	華商會將討論應付辦法
page 7	一般西商均持緘默態度
page 7	鄭和號帆船今日啟程赴菲
page 7	漁船不敢出海放債魚欄大受打擊血本無歸營業多停頓香港仔酒樓生意亦淡
page 7	津英駐軍撤退杜咸步兵隊昨乘輪抵港
page 7	黃文山已飛美
page 7	閩僑中學歡迎徐學禹丘漢平
page 7	民族復興節各團體分別開會紀念
page 7	中醫藥聯合會新職員已選出
page 7	輪客自縊斃命
page 7	市虎噬傷小童
page 7	郵局辦公時間
page 7	威靈頓街巨劫案獲疑犯十餘人現扣留警署明日舉行認人手續跳樓受傷之傭婦現仍留院醫治
page 7	開放長江問題港中西商人絕不重視開放後航運能否自由實成疑問開放珠江前車可鑒
page 8	停止辦運
page 8	絕蹟市面
page 8	約五萬包
page 8	兩人冷斃路上
page 8	粉嶺今日賽馬各場成績蠡測
page 8	明年一月份太陽出沒時間
page 8	五萬麻包由港運廣州
page 8	六賊圖劫晨場與警發生劇戰
page 8	國貨展覽會場將借用灣仔官地
page 8	水坑口籌振會慰勞前線將士
page 8	秘魯禁華僑入境僑委會正調查真相陳委員長昨函復伍章根
page 8	西人醉酒毆人
page 8	閨秀劇團義演定明年元月初旬
page 8	昨發生小火三宗
page 8	國際杯經九十分劇戰我軍最後勝利二比一葡隊被淘汰今日英蘇會師
page 8	民大籌募慰勞品足球義賽改期
page 8	明夕女籃賽程
page 8	記者籃球隊今戰西南教職員
page 8	糖商總會否認有台灣糖在本港傾銷謂全港　商現祗採辦渣華糖八一三後台糖已絕蹟本港
