page 1	現階段的國際形勢
page 2	美財長摩根韜痛陳援華必要
page 2	日反美潮高漲美使要求保護
page 2	全美輿論一致贊成借款助我
page 2	野村發表談話同盟並非對美
page 2	德機大轟炸下修森頓罹浩劫頹垣壞壁到處瓦礫許多難民無家可歸
page 2	卡斯爾氏主張維持日美關係
page 2	羅斯福批簽菲憲法修正案
page 2	英倫西南市鎮被炸
page 2	德政府代言人宣佈不承認汪政權蔣委員長再評日汪私約足增強國人對日仇恨心
page 2	南戰場沿海岸希軍攻佔重要據點意軍將放棄沿海崖防線寶格拉特鎮以北有劇戰
page 2	希軍前鋒深入阿境
page 2	羅軍一隊逃入匈境
page 2	軸心外交攻勢未已近又挑撥南國內爭外電又傳南國外長訪德羅匈割地糾紛尚待解決
page 2	南威爾斯落彈多枚
page 2	近東意軍陷於絕境
page 2	英軍炸燬重要橋樑
page 2	英西接近簽立財政協定
page 2	英國宣佈奢侈食品入口
page 2	美國會通過貸款援我後另一友邦將繼起助我　將撥大攪飛機供給我國日反美潮高漲美使被威嚇
page 3	泰越邊境電線截斷
page 3	日對荷印再施威嚇
page 3	日憲兵正式宣佈封鎖上海西區限制西區居民出入自由領事團力請弛封無效果
page 3	日外交官又有更動
page 3	中央社在倫敦設立分社中英關係更密切
page 3	法屬聚利亞處境困難既不能反抗軸心又不願開罪英美
page 3	日內閣通過鼓勵出口計劃
page 3	天津法租界華籍探長被刺受傷入院逝世
page 3	蔣委員長演說痛斥和平謠言近衛政策足毀滅日本日汪私約為失敗表徵
page 3	德宣傳造運兵潛艇潛渡海峽攻英冬季攻勢又將開始
page 3	汪日私約抵觸軸心國策某要人之深刻觀察
page 3	日宣佈修改內地旅行條例外國僑民旅行長江必須向日領旅行證
page 3	視察國防羅斯福已出發
page 3	意國發明新式飛機用縮　氣推進速率非常之高
page 3	第五縱隊在美活動內幕調查委會將發表
page 3	桂南我軍克復鎮南關南昌東南日軍竄擾被擊退晉絳縣東犯日軍傷亡慘重
page 3	英空軍炸擊比尼納城意機多架被炸毀
page 3	德國力量尚足危害世界加拿大總理談話謂必須將之擊破
page 3	日人反美狂投矢美使館欲美值飽聞木樨杳
page 3	挪威親德派領袖基士陵被炸擊結果幸未受害
page 3	華貨輸美激增美商務部公佈
page 3	泰機仍頻炸越邊市鎮法軍決向泰境報復泰越邊境雙方互行封鎖南圻土人叛亂已暫寧息
page 5	廣州劫案四宗錢銀的換店暫停營業
page 5	國府申令嚴禁賭博嚴　　賭公務人員
page 5	返邕市民已達六萬抗戰陣亡將士碑奠基
page 5	三水東區各鄉被焚劫慘事續誌
page 5	日軍用品運粵
page 5	湘米萬石將運東江海豐米價已大跌
page 5	粵完成全省通訊網各縣成立電台增設收音機
page 5	廣州南郊日劃為駐兵區
page 5	東江運鹽船呈請改善封僱辦法
page 5	日人收買銅元古井拘獲商販
page 5	粵糧管局充實運輸力量鹽務局加緊屯鹽
page 5	大亞灣大小日艦全部撤退布吉李朗間村落又被日竄擾日新兵千餘昨調抵深圳訓練
page 6	討論綱目
page 6	主席致詞
page 6	僑情報告
page 6	一般意見
page 6	最後決定
page 6	粵反侵支會徵求百萬會員
page 6	日在瓊設軍事總機關越南日軍日機大增
page 6	西江南岸貨運蓬勃各運輸線上川流不息財部在三埠設檢查處
page 6	廣州頻發生炸彈案　西區憲兵隊部被炸
page 6	粵籌設社會局
page 6	日機窺擾欽縣
page 6	粵省參議會駐會委員二次會議省府函告飭令東江各縣理屍各方條陳重要意見在修參考
page 6	報告事項
page 6	討論事項
