page 1	今後之東南歐
page 2	蘇錫一帶我軍發動反攻日軍力單薄放棄吳江退集蘇垣閉關圖固守
page 2	陳嘉庚等抵滇
page 2	日本逮捕英僑係有政治動機欲破壞英人親善工作被釋之英人共有六名
page 2	蘇聯國會開會通過議事程序包括四項莫洛托夫將作重要演說
page 2	渝各報聯合會電唁卡拉斯諾夫家屬
page 2	淮水陡漲堤防在培修中
page 2	在波斯德黎加停泊德輪武裝變為軍艦準備出發
page 2	美下議院通過羅斯福之全體國防案總額四十九萬萬餘萬元此案將交於上議院複審
page 2	日機　　重慶西郊　　　　彈北　　　　被轟炸
page 2	軍委會運輸總司令錢宗澤逝世積疾驟發突患狹心症猝不及拯享年五十一
page 2	英向美國購小型摩托艇美聯邦航政委會批准賣出廿五艘
page 2	滬大美晚報白俄衛兵失蹤印刷機底發現炸彈
page 2	法政府列出外逃名單私有財產將被沒收其國籍亦將被禠奪
page 2	南斯拉夫接管英法礦產將分給於德意
page 2	滬公共租界日拘華籍便探
page 2	日昨發表基本國策亟謀結束中日戰事對歐洲局面仍取下不介入政策對國內政治機構澈底革新
page 3	蓋達謂進攻英倫不能用閃電戰必須用長時期之消耗戰俟機然後取猛烈之進攻
page 3	德國否認未攻英倫
page 3	英正擴充戰　資源
page 3	張伯倫病有起色
page 3	七月份期內德機被擊落共二百四十架空軍人員損失最少六百名尚有調查不及者不在數內
page 3	瑞士陸軍總司令勗勉人民自衛
page 3	司洛伐克效顰納粹將頒行嚴厲命令以對付共產黨人
page 3	蘇美商務協定即將宣告滿期
page 3	羅政府內部不洽難免發生政潮羅首相力主接納匈國土地要求德蘭斯溫尼亞州領袖極力反對
page 3	美參院軍委會修正強迫軍訓法案其實應舉行登記之男子係自廿一歲至三十一歲
page 3	怡和輪利生號半途突被扣留經三小時後始獲釋
page 3	加拿大一銅礦與日續訂合約合作黨領袖表示不滿
page 3	澳洲政府發表國防條例將新基內亞代治區併入澳洲國防制度
page 3	美國人多志願投英空軍服務
page 3	馬奇諾防線構築並不堅固
page 3	意政府起草戰後法西斯經濟計劃認為金幣再不適用作交易媒介國際間廢除金錢改用易貨制度
page 3	美國禁止汽油輸出日本最受直接打擊英絕不受影響我國受影響亦小
page 3	史汀生對陸軍委會條陳國防意見現在美國陸軍力量尚弱面對強敵必須積極加強
page 3	法幣對英金鎊匯率昨起定為四便士半
page 3	由閃電至椎擊
page 3	基本國策
page 3	英實施經濟作戰非英籍輪須向英領通行證可往來敵領之輪無證扣留
page 5	竟日血戰不停
page 5	日軍首先發動
page 5	圖強渡平銀江
page 5	仍不免於崩潰
page 5	日在廣州灣設機關企圖嚴密貨運封鎖物價空前狂漲前途不容樂觀
page 5	河滘綠林截劫日軍穀船斃日軍數名
page 5	粵分三路設站護送港灣歸僑
page 5	建廳擬款修築公路近聞
page 5	禺南團隊衝進市橋日陣
page 5	四邑禁毒批商之成績
page 5	爭風起釁容奇日軍火迸擊斃二人傷數人
page 5	某集團副總司令徐景唐已就任
page 5	協助搶運
page 5	物價狂漲
page 5	兩個月內中順新鶴日軍之戰果可憐黃白包中物猶是深閨夢裏人
page 5	桂省府飭各縣設物品平價會嚴查日人用義民走私
page 5	汪軍委會派員來粵檢閱所轄雜軍實係調解陳彭糾紛昨事竣返南京報告
page 5	我粉碎日軍以華制華詭計施行招撫辦法各雜軍多投誠我便衣隊在石岐附近活躍中山方面近已有魚菜運出
page 5	散發自新證
page 5	情勢甚混亂
page 5	均再出活動
page 5	之封鎖情形
page 5	欽邕路全線竟日血戰情形日主力在粵南企圖東擾終告不逞蔡延鍇親臨欽東督師將日軍擊退
page 6	廣西銀行舉辦農工礦業放款
page 6	寶安鹽田　匪徒勾結散兵截劫行人官師派隊搜剿交通已可無阻
page 6	肇市酒家停業捐項太重不能負擔
page 6	嶺東早穀登場米價仍未見低跌
page 6	第三區專員嚴厲取締星相
page 6	西潦續漲高明基圍危險
page 6	桑浦山麓迭有接觸
page 6	日犯揭陽鍛羽而回
page 6	我軍反攻蓮陽激戰
page 6	潮安日軍又謀西犯揭陽邊境連日激戰日犯登崗被挫潰竄潮城我軍反攻蓮陽痛殲日
page 6	中山要聞
page 6	西江組運輸監視團嚴防運輸工人作弊境厚商運之保衛力
page 7	兒童保育會香港分會難童百名已安抵曲江昨會員大會因人數不足流會
page 7	傷兵之友捐款少數仍未繳交各團體已加緊催收
page 7	外記聯會議決唁張似旭家屬並函路透社悼考克斯
page 7	國內各院校招生統攷成績即將揭曉及格清貧學生如無旅費可請港學生救濟會資助
page 7	本港公煙起價增加百分之二十五
page 7	冒騙疑案提堂
page 7	無業西人被拘送羈留營
page 7	七區坊眾奉令組保衛團郭泉吳澤華昨謁華人代表談商保衛團事結果極圓滿
page 7	商賑會盡本週核算
page 7	婦女團體加緊催促
page 7	戰事影響人民生活本港物價飛漲不已現較去年同季音樂經百分之四十本季較上季亦漲百分之九點六
page 8	初級法庭提審焚劫貨艇慘案是役被焚斃者十餘人疑犯七名在澳門被捕
page 8	疑犯七人
page 8	　持槍械
page 8	陳述案由
page 8	語各賊日
page 8	嚴防脫索水雷　軍增加小輪巡視　面
page 8	兒工院放暑假暑假後照常上課
page 8	今年七　月內得雨量八十七寸餘上月得雨量廿一寸七分七厘
page 8	軍官拾獲棄嬰
page 8	疏散赴菲之婦孺一部返港在菲時受良好待遇在輪船上亦甚舒適
page 8	文員會婦女團舉行一週紀念
page 8	港九小販不堪歹徒勒索籲請當局予以保護
page 8	六十五歲老翁戰勝三個強盜賊有兩槍翁祇一刀一賊受傷兩賊被擒
page 8	我國海關變更颶風信號
page 8	婦慰會總會成立三週紀念發起擴大慰勞運動
page 8	痢症仍未減少去週發生四十一宗
page 8	淡水魚仍絕市
page 8	軍車輾斃女童
page 8	車輛失事統計去週死者四人傷者四十五人
page 8	電燈公司將派息
page 8	福建省政府歡迎僑胞投資開礦開列各縣礦產質量類別駐港僑務顧問昨接辦法
page 8	利生輪被日艦截留獲釋後繼續開往上海貨物有無損失尚未悉
page 8	基督教團體勸銷儲蓄券現銷二十八萬餘元
page 8	戰時雜感二
page 8	諾爾頓已乘輪來港五日晚或六日早可抵港督轅副官處昨晚已公佈
page 10	棒球義賽第一戰本星期日舉行美艦聯隊出擊港選手聯賽爭霸戰十日交綏
page 10	友誼小型球戰訊
page 10	華人水藝再改期
page 10	學籃亞軍決賽今日思思抗南華
page 10	星島足球隊一比一敗於全星聯隊麥紹漢受傷離場為致敗主因
page 10	香港乒乓聯合會舉辦梁鵬杯賽七日開始報名
page 10	黃家駿任足球總會主席體協會將聯合歡宴各部擬定計劃下次會議討論
