page 2	聯省自治與中國三
page 3	鄂訊汀泗橋失陷前敵防線距省約六十里
page 3	田中玉電告王占元住宅衛隊譁變幸未攻入僅劫商舖五間
page 3	漢訊孫傳芳憤而自戕被救送入醫院
page 3	吳佩孚篠十七日親至上游督戰吳語人謂苟有得力軍隊五混成旅可以掃盪全湘
page 3	黎元洪覆徐世昌電自治出於國民公　政府如宣布自治不難使湘軍捲甲而退否則空言無補
page 3	戰報右翼被孔庚逼退漢道渡湘軍前鋒距武昌僅二十五里
page 3	蔣作賓通電否認北方任命官吏向籩報捷
page 3	吳佩孚將鄭州至漢口各站每日收入盡數提用並派出收款員七十名
page 3	舊交系謀擁周樹模組閣閣員如陸軍海軍農商三部不動外交擬朱啟鈐財政擬梁士詒交通擬葉恭綽教育擬邊守靖內務司法未定
page 3	黎元洪向鄂人表示但能調停湘鄂息戰餘概不問
page 3	靳閣電覆陳光遠謂粵軍圖贛質問西南不覆應速增防大庾嶺如粵軍來犯即以武力對待
page 3	前敵鄂軍因受自治派運動多不願戰
page 3	朱啟鈐語靳雲鵬外傳余將組閣但余不願在此時犧牲惟　
page 3	達壽電內閣昨抵綏遠各王公均願擁護中　
page 3	張作霖電稱蒙古無用兵之必要請開去經略使職任專辦善後
page 3	收束龍州桂軍之難題
page 3	桂省設善後處要聞
page 3	廣西亦擬設三省銀行
page 3	桂省擬募善後公債
page 3	魏軍全部返粵之消息
page 3	風報
page 3	河南香山船往省時間
page 3	米商遺囑案完結
page 3	又一宗被控虐婢案
page 3	律師不知代表何人之笑話
page 3	東華醫院與廣生行興訟
page 3	刨煙工人開工之經過情形
page 6	張作霖辭職證　
page 6	小幡抵京後之重要談話
page 6	湘鄂戰事彙誌　
page 6	福州大風中之大火
page 6	留京舊議員之新活動
page 6	海軍中下級軍官兵士宣言書
page 6	李思浩將予特赦之滬聞
page 6	浙女界之制憲運動
page 6	工人爭工之滋擾
page 6	開灤煤礦報告
page 6	銀價
page 6	電單車撞汽車
page 6	遞解瘋人出境
page 6	新比照映畫
page 6	南華游泳提前舉行
page 6	被控偷竊及接贓
page 6	違例印花稅則
page 6	兵總被人搶竊
page 6	控偷打字機
page 6	新世界影畫
page 6	澳門茶居工人要求加工三誌
page 6	船政署案
page 6	瑣聞彙錄
page 6	被控冒名棍騙
page 7	周演明擴充護沙範圍之失望
page 7	審訊番禺選舉案續誌
page 7	此可為被選知事者危
page 7	順德選舉之爭奪
page 7	擬開援桂將士追悼會
page 7	議員已有錢支
page 7	南海又將發生選舉訴訟
page 7	軍事要聞彙誌
page 7	改期焚煙
page 7	又派出檢查印花員一大幫
page 7	續讀第二軍招兵之騷擾
page 7	梧洲雜聞
page 7	縣議會且慢開會
page 7	各縣行政經費表
page 7	密緝惠來公路局坐辦
page 7	呈控硝磺總商之批令
page 7	石龍廠勒索鹽店陋規之擾商
page 7	打磨行控筍頭行近聞
page 7	茯苓行商人請保護開工
page 7	星州新聞兩誌
page 7	國際同盟會與鴉片問題
page 7	英太子東遊預誌
page 7	英相主張英日續盟之言論
page 7	瑣聞一束
page 7	獅子禪林是否私業
page 7	增城新塘渡被劫情形
page 7	浙紹鄉祠值理請保全義山
page 9	今後湘鄂局勢之揣測
page 9	張文生勸王占元反抗免職令
page 9	鄂人對時局之主張
page 9	湯薌銘謀　鄂
page 9	湘鄂停戰後之外訊
page 9	日代便聲明膠濟路撤警
page 9	川省整理財政之計劃
page 9	靳雲鵬之時局談
page 9	蕭耀南就職通電
page 12	省報之桂省要訊
page 12	黔議會反對英日續盟
page 12	下除茶居協福堂之　
page 12	桂議員通　
page 12	鴻英　　桂林附所
page 12	建築西濠工程近訊
page 12	孫文函電彙錄
page 12	合浦已無乾淨
page 12	省會開議又擱淺
page 12	各屬選舉誌
