page 1	滬日銀行交還存銀
page 2	綏戰停頓中傅作義昨日到平傅負有重要任務不擬赴京離平期未定新戰聞界招待表示慰勞
page 2	考試院長戴傳賢提議整理官制釐定官等
page 2	滬日文報傳蔣委長再在奉化召會議馮玉祥傅作義及沙王等均將出席中心問題當然為綏蒙政會之強化
page 2	京贛鐵路宣城段銀團依期撥款興築可望在預算期內通車
page 2	鐵肺治療奏效美青年易地療養用妥善辦法送回故鄉
page 2	劉文輝抵成都
page 2	華捲煙商前途危機可慮
page 2	蛋業公會反對美增蛋稅
page 2	廈台灣銀行存銀業已繳出
page 2	財部續撥川豫甘省賑款
page 2	陳繼承辭舊職就新職
page 2	沙王昨晨謁陵
page 2	吳忠信設宴招待安欽
page 2	無肛門之女孩大小便均由尿道排洩
page 2	宋哲元檢閱石友三部
page 2	日紡紗業向華北總動員投資達一億元
page 2	米業代表請願結果洋米免稅入粵案行政院重加討論決交財實兩部會同各機關審議洋米免稅入粵案根本已受動搖
page 3	財部撥百萬元賑濟川省旱災
page 3	中政會例會記
page 3	西國政府軍乘夜突襲叛軍防地
page 3	津市糧價日漲
page 3	實部批准兩發明品專利
page 3	秩父宮抵紐約
page 3	王用賓
page 3	張伯苓
page 3	世界糖業會議形勢頗表樂觀
page 3	吳佩孚等發起追悼康南海
page 3	新裕紗廠一廠再度罷工
page 3	意增海軍預算
page 3	美參院處理靜坐罷工事件
page 3	日本議會競選林內閣積極籌對策
page 3	日機飛抵暹羅
page 3	解除國際貿易障礙比允進行調查
page 3	岷尼拉埠發生兩宗慘案火災與械鬥
page 3	國聯大會接受埃及加盟
page 3	世界織業會議英代表忠告日本日本壓迫勞工影響國際商務
page 4	水益大腳傳中
page 4	銀笛一聲
page 4	敵騎縱橫
page 4	易地再戰
page 4	今日尋當杯足球賽九華點將戰奧斯德建將徐亞輝決出場助陣
page 4	全港公開網球比賽單打江道章活擒郭平佐今日雙單打共有四場舉行
page 4	籃球友誼賽青年會僅勝培正成績廿九比廿七
page 4	門前頂出
page 4	中華游泳場定下月一日開放內部已　飾一新
page 4	英京銀價仍趨升
page 4	英美匯兌略回縮
page 4	滬外匯市情平穩
page 4	八九金市昨轉好
page 4	省毫券市昨平淡
page 4	各行股票之市情
page 4	　足球成績南華華又敗與海軍海軍進攻退守聯絡異常南華守衛不力致遭敗北
page 5	曾市長談
page 5	政院電令
page 5	諮詢財政近況
page 5	桂主任秘書談
page 5	昨晨抵衡
page 5	由衡啟節
page 5	沿途經過
page 5	林主席由湘抵桂林白崇禧黃旭初等過黃沙河恭迎
page 5	李等郊迎
page 5	繁榮廣州市市銀行舉辦建築放款期最久不能超過五年還款期分一次或按月兩種
page 5	張建調任軍醫學校教育長即將赴京履新
page 5	省行組織短期金融市場與銀業行之銀市不同已有十餘家銀行贊成
page 5	四路軍兩年計劃積極訓練精良炮兵將節減之軍費為訓練炮兵之用
page 5	購運免稅洋米進口商會昨討論組機關辦理各行商決力爭免稅原案
page 5	大鏟關外米舴雲集平糶店昨停糶兩天
page 5	調節民食會將結束俟蕪米售竣即實行
page 5	訕市米商屯積居奇
page 5	上盤米商實行停市
page 5	政民劃一請求步驟
page 5	首批免稅洋米留港
page 5	曾養甫定今明日到財廳親事昨召見桂競秋節諮詢財政狀況並定十日召開財務整理會議
page 6	運署派員督促復業
page 6	桂省建儲鹽倉
page 6	建廳積極築公路限期完成三幹線廣虎公路限兩月完成清英等公路派員測量
page 6	完成內港第一期計劃市府核准興工由市立銀行撥借工程費
page 6	小港新洲線公共車在新村站覆車微傷搭客六人
page 6	黃埔支線加工趕築本年六月可完成路基築妥後即敷設軌道先行壓道車後行客貨車
page 6	和田作率艦抵汕
page 6	粵民營電業不振全省六千餘家六成虧蝕
page 6	酒樓茶室征收月費之糾紛桃李園等家抗繳會費工會請求市黨部維持
page 6	英大使鑽許粵漢路行車平穩
page 6	美洲中國同盟會派員赴港歡迎吳主席
page 6	交大考察團離粵
page 6	財部不准發還柴油按稅報關行繼續力爭明日召開大會
page 6	綏署總部官佐九日祭黃故主席
page 6	鹽商昨日再會議罷業問題已完全解決九日即可復業配運仍繼續請撤銷增稅
page 7	一致意見認應增加
page 7	加入增價之輪公司
page 7	加價辦法各有不同
page 7	連日寄滬貨物大增
page 7	威力氏離港北上與我政府商各項合作問題
page 7	華輪西船員又擬要求加薪本週內召開大會投票取決
page 7	薩哥斯基機今日由滬飛港轉省試航性質沿途各站均不停降飛剪號啟航後實現中美聯航
page 7	百安輪黃埔擱淺一英艦開往保護
page 7	嘉爾蒂斯將返英
page 7	搜捕金舖劫案犯
page 7	招商局派員赴菲視察廈菲航線情形
page 7	兩女郎當街比武
page 7	省港澳輪船公司昨召開股東年會
page 7	違犯燈火管制例
page 7	外輪聯增港滬貨腳十五日起增加百份之二十
page 8	傭　李歡繼續
page 8	黑人到訪自認差人
page 8	張貸款與聯勝公司
page 8	死者之夫到堂作供
page 8	少年男子同僱手車
page 8	偽造控票騙張往澳
page 8	趙氏偕妻訪晤張婦
page 8	船塢工人曾被扣留
page 8	趙偕張氏同登四樓
page 8	澳門設立報紙檢查委員會各地入澳報紙亦須送檢
page 8	新任澳督將過港葡領籌備開會歡迎
page 8	抬炭登樓濃煙突起
page 8	婦人呼救聲厲而哀
page 8	陳濟棠最近行蹤尚在意之　　亞地方
page 8	港米價繼續低跌
page 8	三強盜夜劫農戶
page 8	九如坊一人被刺
page 8	救傷隊將賣旗籌款
page 8	殺人焚屍案三審趙氏鄰婦詳述當日見聞趙楷張登樓繼聞哀號聲追逐時足聲曳重物聲皆清晰可辦扛炭上樓濃煙即起時趙尚在樓中張趙債務糾紛趙妻擬向張氏調解
page 10	紅磡天花症盛行兩自內發生十二宗
page 10	搜獲私煙五千兩六工人被捕入獄
page 10	非禮案證據不足
page 10	歡送郝特傑爵士華僑應踴躍參加
page 10	兇徒斬傷一苦力
page 10	製造紅丸案詳臬
page 10	曹善允任岐光董事
page 10	慶祝英皇加冕用電電燈公司定優待辦法電力每度減收一毫電鏢租值祇收二元
page 11	中山縣防軍派隊拘捕林敏雅在林宅搜出彈械案情嚴重
page 11	沉船斃人案三宗
page 11	大隊防軍星夜出發
page 11	被逮捕者家　略歷
page 11	知會公所搜捕情形
page 11	警戒森嚴轉解唐家
page 11	復興粵絲運動中容桂頭造蚕絲又告歉收因濕桑飼蚕收成之繭均屬爛口
page 11	認真辦理煙民登記
page 11	泌沖鄉奪犯案近訊
page 11	汕市府限制客棧抬高赴星船要價
page 11	囚犯移住新建監獄
page 11	各鄉鎮長經已委定
page 11	母負子涉水同溺斃
page 11	九江農魚業有起色
page 11	昨開全縣行政會議
page 11	禪銀行辦工業貸款
page 11	梁鄧兩姓發生械鬥
page 11	烈婦在夫墓前自戕
page 11	江門加緊濬河工作
page 11	台山都斛盤石村歸僑被匪謀財害命握管作書誰料竟成遺墨死者家屬懸賞三千緝兇
page 14	再度請願
page 14	請願呈文
page 14	滄州緝私案日提抗議向冀省府提出四項要求私貨自津南下形成停頓
page 14	裝設電台顯係久守
page 14	偽匪蓄意久據察北各縣設置無線電台以有線電報最易被人破壞恐青紗帳起影響西進工作
page 14	李部正在集中
page 14	關東軍發現秘密機關真相由憲兵部發表
page 14	關於中日國交有吉明著為佳譯一
page 14	偵查狀況
page 14	犯人處置
page 14	事件影響
page 14	反對粵免徵洋米稅五省市代表再請願
page 15	雲南民族種類調查五共有漢回蒙藏苗夷六種苗夷兩族現均退居邊境
page 15	查猛鳥　普勒查　祥
page 15	那幾人
page 15	格猴人
