page 1	建國中之教師
page 2	贛省戰情
page 2	粵省戰情
page 2	冀我迭獲勝利圍攻易縣擊潰任邱之Ｘ津Ｘ憲兵司令部昨火警
page 2	潮汕情勢仍緊潮汕當局加強沿海陣線Ｘ艦集汕戰機一觸即發
page 2	包頭我軍出擊獲利斃Ｘ兵佐二人士兵九拾餘人
page 2	汪精衛行蹤傳說不定有謂其由日返滬有謂其已飛福岡
page 2	Ｘ機肆虐
page 2	柳林
page 2	上饒
page 2	綏德
page 2	寧波
page 2	吉安
page 2	我軍計劃大舉包圍滬市各隊部已陸續開到指定地點南黃浦兩岸已被我軍所控制
page 2	于斌主教在美演講
page 2	Ｘ在南京召開參謀會議我軍有驚人改進不得輕加估計補充困難決在滿台再徵斯兵
page 2	日為應付歐洲局勢決定基本政策業經五相會議通過平沼入覲天皇報告
page 2	閻錫山將軍暢談機動戰術組織民眾保衛西北晉南我軍克萬年堡
page 2	魯北我軍奇兵挫Ｘ
page 2	中央決定在豫舉辦農貸
page 2	傳Ｘ決參加德意軍事同盟
page 2	綏騎兵馮登高光榮戰績獨力抵拒Ｘ兵一大隊擊斃Ｘ兵三名Ｘ大隊不敢突進獲偽軍官眷函件充滿厭戰情緒
page 2	津Ｘ軍營被焚所儲軍需糧草均已付之一炬
page 2	漢宜路我軍反攻湘鄂邊境咸通間我軍活躍我軍肅清草鞋嶺附近殘Ｘ
page 3	德染有訂約病四出各國拉攏
page 3	美來年舉行大選羅斯福是否參加尚未可知美國慣例總統未有連任三次但羅氏政績彪炳極得人擁護
page 3	華北抗戰之過去現在與未來一
page 3	道義整軍運動週年羅斯福總統致文祝賀
page 3	英空軍力量增進勢成一日千里侵略國倘派機炸英各大城市則其中百分之八十必被擊落
page 3	法急進社會黨決議贊助政府政策總理達拉第發表演說歡迎協作以抵抗侵略
page 3	德政府要職中人必須十足軍人始合作希特勒演詞否認大戰責任誣指列強有包圍德國企圖
page 3	英政府澈查施太斯號沉沒案原因俟獲得結果即決向社會宣佈
page 3	英首外兩相會商蘇聯覆文正研究覓獲一適當方式以迎合蘇聯所提之條件
page 3	法大使由滬啟程赴渝
page 3	德實業家捐款資助我留學生繼　在德攻讀
page 3	西藏探險隊動程返國
page 3	日方宣傳日蘇軍隊又發生衝突蘇軍用機四百架集中邊境
page 3	日圓再跌
page 3	紐約籌備歡迎英皇
page 3	青年論文競賽評判完竣特等田乃釗楊祥傑各獲獎法幣一百元
page 3	英武官司品烈被捕日方視之乃如同間諜何時可以釋放尚未可知日又向美提出無理要求
page 3	六三禁煙紀念蔣委員長訓詞原文三明年禁煙期滿煙民應加緊戒除淪陷區同胞須嚴防Ｘ毒化政策
page 3	互相禁止
page 3	總括起來
page 3	剷除煙毒
page 3	羅馬教皇再作和平呼籲仍希望英法德意等國以和平方式解決紛爭
page 3	澳英之間將闢新航空線
page 3	德拉擾南斯拉夫加入德意軸心聞德南雙方已商定四項條件德南經濟談判德提五項要求
page 4	救難會募捐訊
page 4	婦女新運會籌設難童夜學
page 4	九英兵被控騷擾英京酒家
page 4	司庫虧空店款官判入獄四月
page 4	英帝航機脫班
page 4	萬人緣法會將在名園舉行
page 4	紅磡防空班開課
page 4	新界又發生劫案三賊夜劫坪山雜貨店老叟不甘損失奮勇拒賊寡眾不敵卒被飽掠而逃
page 5	犯三江Ｘ傷亡甚重
page 5	三江來客暢談戰事
page 5	江會戰事時有接觸
page 5	五區游擊更易司令
page 5	太平Ｘ艦艇前夕又圖犯南頭不逞
page 5	擊斃太平環治村長
page 5	Ｘ艦前夕再擾南頭
page 5	四區參謀長已易人
page 5	我國機隊連日飛襲廣州情形廿七日晨在東郊發生劇烈空戰Ｘ機場及防禦工事迭被我炸毀
page 5	李漢魂積極發展全省民運
page 5	廣州Ｘ軍加緊戒嚴一瞥
page 5	財廳規定捲煙進口地點
page 5	蔣委員長電勉十二集團軍將士各抱殺身成仁捨生取義精神堅定抗戰意志與必勝之信念
page 5	中山縣長員更動情況
page 5	Ｘ兵集廈門對潮汕似有企圖我方準備Ｘ來即迎擊三日兩日Ｘ機迭窺潮汕我長官巡視沿海各防地
page 5	Ｘ機迭次窺伺潮汕
page 5	水陸交通統制管理
page 5	最近捕獲漢奸多名
page 5	潮閩貨物停止收寄
page 5	汕市人口疏散近狀
page 5	抽紗女工實行登記
page 5	佛山煙館罷業煙老板廿餘人被拘
page 5	Ｘ犯三江不逞仍以Ｘ艇騷擾三江鄉保鄉拒Ｘ之奮勇Ｘ傷亡甚重有數人被擒
page 6	增城內圍Ｘ急佈置
page 6	新中之Ｘ昨又乞援
page 6	牛牯嶺附近之激戰
page 6	Ｘ犯從化兩次被殲
page 6	Ｘ機昨狂炸黃岐山
page 6	Ｘ擾兩龍被我擊退
page 6	趙師突擊新街獲勝
page 6	戰區司令部通令中Ｘ毒氣急救法
page 6	省參會首次大會宣言
page 6	省動員會擬定文化動員步驟
page 6	橫門海面昨有Ｘ艦駛到中山沿海現無事
page 6	ＸＸＸＸＸ偽軍洗劫良沙海鄉損失六七萬元港僑現設法籌賑
page 6	六十三軍便衣隊襲Ｘ成功獲賞
page 6	高明縣長拒Ｘ獲獎
page 6	瓊Ｘ加賢被我擊退
page 6	一區游擊團隊協防中山
page 6	番順兩縣府遷往中山
page 6	潮陽防軍長官教民作戰
page 6	張災積極救濟茂名糧食借款購辦洋米
page 6	大剷海面發現Ｘ艦游弋Ｘ兵圖在赤灣登陸不逞
page 6	今之木蘭蕉嶺少婦投軍
page 6	粵省黨部更易六書記長
page 6	東江我軍力逼增城挺攻牛牯嶺Ｘ發生惡戰北路我軍突擊新街之捷訊
page 7	搶劫目標在五百元
page 7	利源東街警匪劇戰
page 7	大隊警探出發搜捕
page 7	譚探奮勇傷斃二賊
page 7	槍彈橫飛血花四濺
page 7	劇戰結果傷斃七人
page 7	事主無恙亦未被劫
page 7	警察當局警告路人
page 7	擴充難童學校設計委會今晚會議
page 7	今日為教師節港九教育界聯開紀念會
page 7	政院獎何明華
page 7	畫家謝公展鬻畫助賑陳列地點在商借中
page 7	華探尹文傷勢極重
page 7	希望警探加設站崗
page 7	利源東街賊匪截劫商人警探追捕發生血戰華探尹文受重傷賊死一傷一路人四名中彈事主幸獲無恙
page 8	醫藥救國二
page 8	我國歷史
page 8	醫藥在世
page 8	不必外求
page 8	村售爛果及不潔凍品市政衛生局再警告小販違者拘捕重罰決不寬貸
page 8	天氣漸趨炎熱昨溫度升至八十一度
page 8	賑聯會救濟組昨開臨時會議討論結束難民營事宜
page 8	劫艇殺人疑犯提堂被告十人分在深灣青山被捕
page 8	振聯會今會議將討論七七賣　問題
page 8	尖沙嘴械劫案被告一獲釋兩詳臬
page 8	吉隆坡服務團昨返惠州工作
page 8	永祥金舖劫案一賊昨到警署自首自承曾參與行劫惟不認鳴槍拒捕
page 8	文員協會演講訊
page 8	知為賊匪
page 8	宣讀案情
page 8	美遜夫人
page 8	閨秀名流義演團主辦人劉慶萱女士訪問記貂蟬紅樓夢有重演可能戲劇界巨子均力贊兩劇成功
page 10	乙組籃球入圍決賽勵行國際培英奏凱
page 10	小型足球義賽又多兩隊參加
page 10	足球總會昨開會議
page 10	學界排球戰績高初級組培英均獲勝小童組保羅壓倒西南
page 10	華人游泳會增闢運動場所利便小朋友
page 10	三十六個團體參加德權鼎賽擬定本月下旬開始澳門分會已告成立
page 10	南華南征隊二次電告佳音淨勝海防全選手隊六球陳德輝羅斗文各中三元
