page 2	廣州政府扣留商團軍械事件
page 3	似伏仍起之扣械潮三滇軍倒孫之決心孫文因此案將再決裂離省汪聖人向商團索三百萬商團決不肯發屈辱通電
page 3	孫軍在東莞與人民宣戰記六袁某為虎作倀戰事一進一退篁村現為決戰地點桂軍條件尚未明提商團多欲調和民團尚欲一戰劉震寰以樂聞已過勗部下西路軍電文彙錄
page 6	江浙軍事消息
page 6	浙軍反攻瀏河之戰訊
page 6	嘉定各方之情形
page 6	蘇團長被獲情形
page 6	領事團警告江浙海軍
page 6	閩艦砲輟瀏河未中
page 6	盧永祥誓師之文
page 6	蘇浙戰事短訊
page 6	盧何通電補錄
page 6	何豐林籌通電
page 6	盧永祥通電三
page 6	盧永祥通電二
page 6	盧永祥通電一
page 6	欲看苦兒弱女者注意
page 6	菲濱氏作品又到港
page 6	演講　算新器
page 6	控轎夫勒過額轎費
page 6	謝贈麵品
page 6	向小童勒索
page 6	打架案
page 6	掃灰水不妥被控
page 6	三合會案判結
page 6	意圖偷竊判監
page 6	偷衣判笞
page 6	劇場消息
page 8	四邑聯軍相殺之確息續誌戰事已起
page 8	台城聯軍大戒嚴狀況
page 8	廣州報界罷工潮續誌
page 8	海關例假之佈告
page 8	花縣又有械鬥
page 8	好械鬥　之龜鑒
page 8	　塘人深拜李寶祥之賜
page 8	滇軍搜查武器
page 8	九江魚之衰落
page 8	澳門下環海面之劫擄案
page 8	請撤銷　抽之火酒捐
page 8	東莞蔡昌來函
page 8	江澳渡畏賊停
