page 1	擱淺後之英日談判
page 2	預料津案四華人可不致移交日方
page 2	關於法幣等問題英決不與日討論
page 2	晉西我軍出擊衝入汾陽並克雙池鎮晉東南殘Ｘ全面北撤
page 2	英國外交政策全文四倫敦國際學會中之英外相演講
page 2	偽西北邊防軍高李兩師反正二千餘人鎗馬齊全現已開抵某地改編
page 2	Ｘ機空襲陽江
page 2	湘北我軍挺進鄂南我Ｘ連日有接觸大畈鎮我獲軍器甚眾
page 2	我破壞滬杭路並襲筧橋機場
page 2	英艦一艘抵津
page 2	滬市米價大漲雜糧交易所停拍
page 2	Ｘ機狂炸上饒震毀民房百餘間傷斃民眾百餘人
page 2	天津南堤潰決
page 2	滬西極司非而路附近偽警與英籍警官衝突英警官受傷偽警傷亡四人工部局定明日向日提抗議
page 2	北路慰勞團到達襄樊附近
page 2	英日談判無形破裂華北反英運動益烈華北日當局將取獨立行動英準備宣布廢止英日商約
page 3	德報對波惡意宣傳德波戰機益迫切
page 3	陳部長痛斥汪逆
page 3	美民主黨呼籲制裁日本要求當局禁運軍用品赴日
page 3	國際學生大會宣告閉幕
page 3	英內閣定期明日開會英政府一切已有相當準備料此次會議必無重要議決
page 3	意匈談話內容甚秘但澤風雲愈險惡
page 3	南首相演說勸勉民眾團結準備抵抗敵人
page 3	美寡婦被辱案日方向美道歉
page 3	埃土兩軍事當局商議軍事問題埃及之軍事代表團前日抵伊士坦布
page 3	美新潛艇六艘將調亞洲駐防
page 3	愛爾蘭總統下月赴美游歷
page 3	猶太人八百偷登巴力斯坦
page 3	荷政府決定增厚東印實力
page 3	修河南岸Ｘ兵無的放砲Ｘ出擊遭我擊退
page 3	轟炸經過
page 3	Ｘ機轟炸宜昌損害英僑財產真相英海軍當局發表聲明
page 3	西南聯大組訪問僑胞團
page 3	南昌正南之Ｘ向天王渡進犯我守軍沉著應戰卒將Ｘ全部擊退
page 3	顏露爾已返抵舊金山將往美京謁羅報告遠東時局
page 3	德機械化部隊定期舉行大操德國德戰程度已達到最高峰民主國方面亦已作非常準備
page 4	市虎噬傷印人
page 4	婦慰會募捐訊
page 4	醫務處工作將分兩組辦理
page 4	中央軍校招生今晚止截報名
page 4	全港童軍宿營在九龍獅子山
page 4	寶靜法師講經訊
page 4	潮僑學會救濟桑梓委會成立昨即席選出常委九人劉世達發表救鄉意見
page 5	石龍Ｘ軍出動被挫
page 5	Ｘ機飛炸龍崗淡水
page 5	南頭深圳Ｘ軍動態
page 5	Ｘ艦頻窺粵南沿岸Ｘ機飛炸各縣
page 5	廣東省府整理慈善團體
page 5	大鵬海面Ｘ艦蠢動
page 5	海南島之Ｘ抽調壯丁限一月內抽足十萬訓練限期為兩個月Ｘ統制糧食米價高漲旅外瓊僑之調查難民
page 5	廣州我便衣隊狙擊Ｘ軍官發生巷戰Ｘ隊長被擊受重傷並擊斃Ｘ憲兵一名我Ｘ巷戰壯士成仁
page 5	順德Ｘ佈疑陣容奇Ｘ召會議
page 5	Ｘ猛犯睦洲先佔兩山我團隊夜起反攻昨晨已將Ｘ擊退中山大黃圃情勢又呈緊張
page 5	狗山尾將軍山相繼被陷
page 5	我軍夜起反攻將Ｘ擊潰
page 5	閩熱血青年集團請纓
page 5	地方團警協助水陸運輸檢查
page 5	省府令禁截留落伍士兵
page 5	土貨出口暫准免結外匯北海外運貨極多
page 5	Ｘ機擾大黃圃勢又緊張
page 5	Ｘ軍圖進犯惠陽不逞Ｘ機在土塘龍崗淡水各地狂炸Ｘ越界繞襲沙魚涌卒被拒退去
page 6	厲行精神動員
page 6	加緊動員民眾
page 6	訓練青年幹部
page 6	省府令一區專署收屯各縣產米區穀米以　資Ｘ糧並為　挾制
page 6	剷除貪墨官吏
page 6	各縣被裁警務員分別保留任用軍警學校畢業者　留任
page 6	廣州灣各界向鄧張獻旗致敬
page 6	張發奎痛斥汪逆向粵同胞廣播演詞二
page 6	欽縣小學生投筆從戎殺Ｘ
page 6	徐　縣府拘獲嫌疑漢奸
page 6	新會於抗戰期中軍事政治工作之進行二政治重於軍事改良地方行政加強民眾抗戰意識守土衛鄉
page 7	八一三僑胞獻金可達五十萬元各區小販義賣成績尚在核算中聚珍印務書樓職工獻國幣三百
page 7	各區義賣成績一斑
page 7	商會代收各界獻金
page 7	舞女愛國自動獻金
page 7	聚珍書樓職工獻金
page 7	兩俱樂部聯獻萬金
page 7	戲院職工踴躍獻薪
page 7	婦女兵災會再赴新界散賑
page 7	江門Ｘ軍勢力薄弱四郊仍在我游擊隊控制中
page 7	銅鐵行商捐輸一覽
page 7	避難隧道不切實用港政府已決定不建築本港人口過擠鋼棚亦無濟於事柏堅期昨對記者釋防空問題
page 8	投筆從戎
page 8	復旦中學夏季修學旅行第一次入學試昨攷竣
page 8	Ｘ軍擄女護士強迫為Ｘ服務
page 8	中華棒球隊昨日兩戰皆捷補賽以九對六壓倒岷甸奴友誼賽十一比七挫不列顛
page 8	表明去志
page 8	漢文女師同學會之進展
page 8	凡間夫婦自願不暇織女牛郎寂寞渡良宵七姐會是年多停辦紙紮店老板大喊虧本
page 8	鐘聲水陸藝會昨開始秩序豐富蒞場觀眾擠擁
page 8	愛國青年投筆從戒留書親屬力言忠孝不能兩全願作班定　勸老母不必傷心
