page 1	敵我戰爭之今後推測
page 2	沂河東西兩岸又復發生激戰東岸我軍屢衝敵陣斃敵甚多西岸我軍在十里舖與敵肉搏
page 2	楊亮功視察皖南
page 2	浙省我游擊隊昨勇襲杭州日領事館奪獲文件地圖書籍甚多安全回師嘉興海鹽之間我軍重毀敵交通線
page 2	溫縣敵騎百餘中伏被圍殲滅殆盡豫北我武鬥民眾竭力擾亂敵陣我軍收復垣曲敵被擊向東跟
page 2	博愛之敵遭我襲擊
page 2	晉省我軍連日勝利
page 2	敵圖打通京杭國道
page 2	蕪杭線敵遭我痛擊
page 2	我軍夜襲銅官山敵
page 2	戴埠之敵南犯被擊
page 2	敵艦六艘上駛銅陵
page 2	杭州有敵二萬餘人
page 2	大亞灣外發現敵艦五艘
page 2	敵修復各路積極籌備通車各路名亦更改
page 2	我游擊隊奪敵糧秣
page 2	晉南之敵撤至豫北
page 2	魯南一週來激戰敵軍傷亡達四萬人左翼我軍克復濟寧乘勝進圍泰安我敢死隊襲大汶口機場毀機八架
page 3	英對中日戰爭現仍密切注視但首相答覆漢德森詢問表示未能採取積極行動
page 3	捷克蘇台德黨綱與德國社黨絕對不同表示對捷克民勘誤表國將矢　效忠對意大利之法西斯黨大加　擊
page 3	侵華夢幻滅後俘虜畢利陸夫供詞作戰目的全然不知受命被俘自殺但本人無此勇氣軍士及國內人民均極厭惡戰爭
page 3	英法美均主張打破艦位限制英美已開始建四萬噸巨艦
page 3	英大使昨已乘輪來港
page 3	顧維均夫人在法京讌客勸募賑款英遜王溫德沙公爵夫婦亦參加來賓紛解囊捐款成績極有可觀
page 3	英意談判結果一般預測
page 3	美國研究加速動員問題
page 3	舒斯尼格被囚將解萊比錫審訊
page 3	英謀促使上海回復正常狀態但徐家匯一帶尚聞鎗聲
page 3	滬地英國軍官屢被日軍侮辱英國軍事當局向日提出抗議
page 3	孫科偕郭大使訪英外交當局長談遠東局勢
page 3	法大使下月由滬來港
page 3	西戰不干涉委會定期今日復會墨索里尼注意法國出而干涉
page 3	日貴族學習院廢除英文課程
page 3	墨不信美國放棄白銀政策
page 3	敵誘難民回鄉勒令充當兵役
page 3	滬領事館昨夜暴客投彈幸未傷害人命
page 3	行政院議決案
page 3	滬外匯已好轉人心轉趨樂觀
page 3	我軍克復孟縣
page 3	台兒莊殘敵向東北潰退
page 3	臨城之敵大半被我解決
page 3	台兒莊仍在我手
page 3	我大規模殲敵計劃逐步實現
page 3	敵謀擾亂滬治安收買漢奸巡行現在英法當局飭屬嚴加戒備
page 3	中國國民黨臨全代會昨在淪開幕並由林森主席將中正致開會詞各代表尚未到齊展延數日開會
page 4	英美匯兌略漲英銀縮六個咽
page 4	金市回跌八毫
page 4	省毫券市平穩
page 4	男普通籃球賽今晚有三場
page 4	蘭芳劍團體賽振成華義告捷
page 4	小球團體參觀哥靈登特價券今日午前為領券時間
page 4	廣州金融市情
page 4	舊中紙價穩定
page 4	今日下午五時一刻南華會再戰哥靈登哥隊員多受作南華陣勢變更明日哥隊再作一場慈善賽
page 5	津浦路大戰後徐永昌電粵告捷吳主席昨致覆電
page 5	粵市菜欄木炭勞資糾紛解決續詳
page 5	菜欄行解決條件
page 5	木炭行調處近情
page 5	黃花節之紀念
page 5	敵兵縱焚三灶島居民災民流離失所之慘狀
page 5	玻璃業聯請改善海關驗貨
page 5	根絕仇貨市黨部決採嚴厲辦法日間先令兩會歸併
page 5	動員會開始辦公動員民眾方案擬定俟提會通過頒佈實行
page 5	中大戰時工作隊為各難民醫病
page 5	中央造幣廠設立廣西分 廠
page 5	河南破獲劫渡案之續訊
page 5	敵機昨來襲曾一度向黃花崗窺伺昨傳敵炸粵路列車查實員工搭客無恙
page 5	大小淋島敵兵飽掠後昨向高瀾島退去臨行前將財物糧食搜劫無遺某軍要談敵兵撤退原因
page 6	河南各鄉籌劃增　時糧食擬定計劃　預算準備呈市府核辦
page 6	米業商人再　派營稅額
page 6	桂省府在梧設商品檢驗局
page 6	敵機昨晨飛中山五區圖炸外界涌之大石橋投彈落田間我無損失盛傳我機飛三灶炸敵
page 6	鹽民呈請救濟
page 6	逆子斬斃老母
page 6	台山沖田村發生劫匪勒斃事主案
page 6	新會征輪渡客腳附費補助自衛團經費
page 6	戰時之經濟國防與廣東之糧食問題三廣東民食中的洋米問題
page 6	河南鴉髻沙匪夥截劫米艇
page 6	訓練自治人員
page 6	桂軍政當局委派雷沛鴻視察粵桂聯防區調整南路聯防區抗敵佈置順便指示邕柳戰時施政
page 7	銀行界之意見
page 7	士蔑西報評論
page 7	德臣西報評論
page 7	跑馬地萬松坊匪深夜入室刺傷主婦掠去現款二百九十餘元夾萬中六千元幸未被盜
page 7	刺傷主婦
page 7	警探查究
page 7	各界僑胞紀念黃花節私立學校均休息一天
page 7	上海金融混亂本港商業實受其益銀界贊許我國外匯條例本港外匯情況昨已轉佳
page 8	寶安漁業遭敵船毀傷隨時掠奪漁民已無法謀生
page 8	美南輪私煙案兩被告一被罰一獲釋
page 8	游藝大會
page 8	學生募衣
page 8	辛亥畫展
page 8	膠鞋數萬對運往前線昨又收到捐款六千餘元畫展會明日再擴展會場
page 8	漢木油源源運港推銷本　成為木油大市場
page 8	衛生局主席托特解釋關於痘症之質問西法療治痘症成績勝於中法為免傳染應禁親友探問病者再造奶及再造忌廉附則通過
page 10	粵救護隊返省
page 10	中國國貨銀行港分行昨開幕
page 10	香港保險公司昨開股東年會
page 10	儲應時等赴漢
page 10	慶祝兒童節秩序已定報名參加學校十餘間本港九龍將分兩區開會
page 11	德國的真相下謝詒徵自柏林寄
