page 2	我欲與范軍長談談良心三什麼叫護法什麼叫假面護法
page 3	十一日反吳派於眾議院開會時請客吃飯謂不僅反吳且反孫
page 3	十一日王克敏見曹錕談鹽餘支酏並談銅元票案
page 3	十一日閣義蕭耀南兼鄂長蔡成勳兼贛長馬聯甲兼皖長即頒令
page 3	金佛郎案決用銀高淩霨出席王克敏宴記者疏通金佛郎有逃席者
page 3	袁世傳兄弟奉母命損助天津南開大學七萬元
page 3	九日為袁母開壽會嚴修演說謂李英威後一人
page 3	鄭士琦電魯多匪患三屆裁兵請暫緩行
page 3	日人決在奉設司法領事沿南滿線分設裁判所
page 3	十日王元芳帶警衛數十武裝接魯教育廳任
page 3	吳佩孚請鄂豫陝川合勦老洋人
page 3	吳佩孚令陝軍襲成都
page 3	援川軍中路與賴張兩部激戰甚烈鄧錫侯從鄰水繞鐵嶺前進楊森亦由木洞進攻
page 3	袁祖銘劉顯世各派代表抵湘
page 3	蘇十二日調兵駐崑山
page 3	日佐籐　將昨赴粵游歷
page 3	胡漢民十一抵滬
page 3	滬銀公會保羅鴻年為滬造幣廠長可望批准
page 3	孫傳芳拒王鴻任廈關監督
page 3	賴世璜因黃大偉率隊赴汕懼臧致平襲海澄在嵩獄嶺設防
page 3	孫傳芳王永泉薩鎮冰佈告由十六日起財物成交一元以上均貼印花
page 3	王永泉派陳籌游說楊漢烈受編楊拒絕
page 3	最近之東江戰訊
page 3	省長問題之解決難有錢方能實現
page 3	酒樓行又欲罷市
page 3	許崇智赴滬原因又聞
page 3	煙專賣續聞
page 3	西報評孫文索關稅之理由廣東半省人民與孫文作戰孫文無代表粵人之資格
page 3	江門西訊
page 3	北海西訊
