page 1	德將進攻荷比
page 2	鄂北高城附近殲滅日軍二千洋梓在我三面包圍中隨縣一帶日受創甚重
page 2	綏省我軍襲擊日軍綏省各界代表慰勞前方將士
page 2	日本民眾向政府提建議希望當局設法改善民生
page 2	日本經濟枯竭迫日兵儲金寄款儲金俱係長官強制執行絕無通融餘地是故怨聲遍野
page 2	日軍偷渡河西被我擊潰
page 2	邕欽路東側日軍受創
page 2	日軍再犯平潭又被擊退
page 2	蔣委長獎卹粵北民眾
page 2	北平麵粉缺乏倘此情形繼續下去外人恐難買得麵包
page 2	壺關南犯日軍與我展開激戰酣戰澈夜斃日軍逾千沁陽日軍竄擾遭伏擊
page 2	冀省我軍活躍
page 2	租界華人工廠貨品仍可輸入並不受差別待遇
page 2	滬又發生美人被毆辱案
page 2	小欖教會醫院被一日艦砲擊工人住宅被擊毀
page 2	滬有餓殍冷死者八百餘又在各地拾得童屍一千七百八十八具
page 2	滬十一月份貿易出超為兩年來所初見者
page 2	東京德文報誇耀德機暴行
page 2	意屬非洲經濟仍須倚賴母邦
page 2	從化花縣軍田克復後廣州陷我重重包圍中禪炭路一帶殘日向廣三路潰竄
page 3	日本國民迷信不喜米內組閣因米內二字日音意為無米軍部對米內拜命組府尤感痛恨
page 3	南僑籌賑總會創辦新加坡製藥廠協助政府解決戰時醫藥問題邀請醫藥界名流組醫藥委會
page 3	荷令空軍準備隨時奉召防守邊界抵抗侵略
page 3	波拉生命僅留一線
page 3	英將向土購買菸葉代替美國煙葉美煙商受打擊
page 3	西里氏談在一九四六年菲島未能實行獨立彼主張美菲之商務關係繼續維持至一九六零年
page 3	蘇在伊朗邊界築一鐵路有軍事上重要性
page 3	美在關島設防確有四種需要掃蕩報發表之評論
page 3	菲彭潘加省工潮經已解決二萬工人復工
page 3	英空軍加緊北海巡查德海空軍在北海已不能如前活動
page 3	日興亞院開會討論對汪根本政策汪已抵青會晤王梁等逆會商組織新政府問題
page 3	美下院之一委會討論煤油問題議員窩爾華頓發表幽默諷刺
page 3	蘇機襲擊瑞典完全係出誤會此事可作了結
page 3	駐沙面法軍幾已完全撤退
page 3	自開戰以來德潛艇之損失約三十五艘至四十艘
page 3	曼那漢陣線昨又發生劇戰蘇軍略有進展但傷亡不少蘇空軍狂炸芬蘭南部各地
page 5	廣平亦已為我克復
page 5	日機散發反戰傅單
page 5	大塘我日爭奪極烈
page 5	張炎號召人民參戰
page 5	莞龍日軍紛紛抽調後我團隊攻入莞城炸燬日軍車多輛殲斃日偽軍甚多
page 5	三路出擊
page 5	首攻峽口
page 5	進攻莞城
page 5	禺北伍部團隊炸燬日運輸車
page 5	新鶴抗戰紀念碑揭幕誌盛
page 5	日增兵九江之續訊江會各線迭有接觸吳飛組強化游擊隊
page 5	日軍到潮連之一瞥勒令成立偽會
page 5	粵北我軍克軍田攻新街
page 5	暹羅國會議員過廣州灣赴渝對我抗戰之同情
page 5	河源拒毒會按戶清查煙民
page 5	寶安開會祝捷
page 5	瓊崖戰事劇烈我包圍儋縣準備攻城我戰時糧食充足無虞缺乏各縣市人民生活均甚安定
page 5	糧食豐收
page 5	我機轟炸欽邕公路小董附近戰事近更擴大鄧世增電告我軍進迫欽縣十萬大山上日軍遺屍甚多大塘展開拉鋸戰日受重創
page 7	郭泉謁華民司為本港廠商呼籲
page 7	教師聯合會徵募寒衣運動首批千件昨呈中央
page 7	德僑集中營定期遷徙喇沙學生收回原校上課
page 7	學賑會服務團昨招待各界報告戰地工作情形
page 7	華仁書院開游藝會籌賑
page 7	英情報部公佈英廷戰時措施關于統制金融各問題今晚在港播音台演講
page 7	自衛團員應熟習法例身衣便衣竟擅自拘人
page 7	藏械案昨判決被告入獄四月
page 7	中山　　　同鄉會今開幕
page 7	碣石海面日海軍又焚一貨艇價值數千元貨物盡成灰燼船中人幸獲脫險來港報案
page 8	海面
page 8	陸上
page 8	星洲柴薪源源運港本港柴價昨已略跌
page 8	去年賽馬之檢討二
page 8	余氏良駒成績最佳
page 8	被罰停賽計有三人
page 8	晏加那生最為幸運
page 8	異軍突起之冷門馬
page 8	馬迷投注較前益豪
page 8	黃嵩奇辭三院總理職
page 8	保兒會今售旗
page 8	今日球事活躍雛鳳迎擊約瑟爭取特別銀牌決賽權聯賽三場兩華軍出動東方戰水兵　光華對香港
page 8	今
page 8	南
page 8	東
page 8	體協會昨解決兩幕義賽問題華聯戰軍聯定二月十日舉行記者募寒衣賽華聯人選已定
page 8	今夕女籃球賽仿林對西南有看頭
page 8	記者排球隊告捷
page 8	成立典禮遊藝會
page 8	海陸又發生三劫案小西湖畔遊女遇盜大埔墟雜貨店深夜被匪光顧碣石海盜載劫饒平開港貨艇
