page 1	今日的青年訓練
page 2	意外長訪南結果意南訂立重協定此項協定內容有類攻守同盟意謀緩和中歐局勢繼　干涉西戰
page 2	德意飛機聯合轟炸吉瓊港政府軍輪船一艘中彈沉沒船主殉難有水手五人受傷法外長日昨談話引起德意反響
page 2	日繼續向各國談判廢止永借地權中國方面亦將提出
page 2	立院例會通過闢濬粵港河公債條例公債定額為美金二百萬元四月一日按票面九八發行
page 2	討論慘殺阿人事英下院議員對政府猛烈攻擊對此殘殺建議由國聯提出國際間共同抗議願今後英人能以無畏之精神起而與意力爭
page 2	翁文灝準備隨孔出　參加英皇加冕禮後並赴意法等國考察
page 2	鄂將舉行工業安全展覽
page 2	長谷川今晨離京赴鎮
page 2	喜多談中日關係難望好轉中國必欲收復東北失地中日雙方戰爭免難爆發
page 2	冀察政會組赴日參觀團
page 2	全國美展古物開始陳列
page 2	日人收買銅圓源源偷運出口
page 2	平學術界組華南參觀團
page 2	李白四一就職程潛明日飛桂監誓該路軍關防等件均將由程帶往林主席亦定四月二日離粵入桂
page 3	兒玉聲明書
page 3	周作民談話
page 3	蔣在耶蘇受難日宣讀耶蘇受難予余之教訓信奉耶蘇將近十年讀經修道靡日　輟西安之變身處危境亦賴宗教信仰自慰
page 3	吾心所得
page 3	東京商工會議所討論今後對華方策關於華北問題決取靜觀態度切密注意英在華利益之擴展
page 3	津海潮奇縮航運大受影響
page 3	沙王抵平談話茲乘春暖晉京謁蔣報告會務
page 3	魯省籌劃築津浦路支線直達泰安華寶煤礦建築費約八十萬元
page 3	西亂不干涉問題較前似覺樂觀
page 3	太平洋未許太平日美均定期舉行海空軍演習日空軍在濱松列陣空戰實彈轟炸美海軍演習範圍在珍珠島夏威夷
page 3	西安事變
page 3	毅然赴陝
page 3	章嘉為府委由蔣委長保荐
page 3	孔祥熙昨返滬作出　前準備
page 3	張繼過鄭赴陝參加民族掃墓祭典
page 3	喜饒謁葉邵商談講學辦法
page 3	神明泰然
page 3	耶蘇一生
page 3	黃河大鐵橋雙十日可完成隴海同蒲兩路即可辦理聯運
page 3	岳飛誕辰紀念劉峙赴湯主祭
page 3	教部派員視察京滬體育
page 3	潘萊獲酬七萬美金
page 3	德國否認破壞政教協定
page 3	汪主席宴僑教講學會員
page 3	蔣遊西湖
page 3	信仰所致
page 3	美駐法大使貝立特將調任副國務卿
page 3	兒玉等來華結果商得經濟合作四項具體原則兒玉等定今日乘輪離滬返日昨發表談話謂此行結果圓滿
page 4	足球對國家之關係李惠堂在播音台之第三講
page 4	港大健將受傷戰華僑甲恐失利華南出全力會陽光甲
page 4	首戰失利今日結果何如南華南再會香港會預知對方頑抗昨已保留實力此戰勝敗關係冠軍前途甚大
page 4	東方隊昨晚晉省今日先戰強華
page 4	津滬埠際足球賽天津八比三大勝上海津隊技術高超全場佔上風失地利聯絡不起失敗原因
