page 2	我欲與范國長談談良心什麼　護法什麼　假面護法
page 3	輿論一斑
page 3	著手組織元老院擬段祺瑞為院長
page 3	孫寶琦有派署閣揆說
page 3	北京政府電勸孫文勿佔據據海關一面忠告外交團停止軍事行動
page 3	顧維鈞對華僑慘殺案向日使提而要求懲兇撫卹
page 3	吳佩孚主張派艦赴粵保護海關謝絕外兵干預
page 3	齊燮元電保溫宗堯為接收
page 3	廣州灣督辦
page 3	京政府擬提膠濟路餘款百萬為運動南艦北歸之用
page 3	趙恒惕因蔡鉅猷殘部尚死據湘西戰事仍緊請馬濟轉電吳佩孚蕭耀南令廿五師開赴湘西助戰吳佩孚覆湘未取消自治不便助戰
page 3	沈鴻英八日由宜章率防赴樂昌
page 3	劉湘四日電三日克墊江追抵葛蘭場楊森及黔軍四日克酆都南陀
page 3	川訊綏定被顏德基攻下劉寶善部退陝邊死傷二千餘顏擬一部出夔巫截援川軍後路一隊出襄鄖窺鄂
page 3	老洋人率隊援川已向老河口紫荊關西上
page 3	孫傳芳令上游東西溪設局抽收米捐每石抽銀五角
page 3	閩省發往各省電報皆被浙省扣留孫傳芳向盧永祥質問
page 3	國務院電孫傳芳停止徵抽稅鹽並放行各鹽船
page 3	王永彝劉春台高義不協民軍將再聯合反攻
page 3	八日午孫寶琦見曹錕聞係商議維持皖浙和平事
page 3	政團協商會八日眾宴牟琳主席定十一日開會
page 3	全院行政委員代議長職權允發出席費百元為拉攏
page 3	眾議院質問金佛郎案五起部均未覆議員將聯合質問
page 3	項驤代表吳佩孚反對承認金佛郎案
page 3	法使運動英美義比西荷日使催認金佛郎案
page 3	版西語吳毓麟使團對路警案不重視請吳勿顧慮反中奸人計吳因對督辦處甚漠視荷使語吳警備督辦與路警局不能分設任取消其一
page 3	山東路政局坐辦崔藩主仿江浙徵紙煙稅興實業教育
page 3	朝鮮獨立黨首領李天民共產黨首領金哲勳密謀以二千
page 3	獨立軍侵朝鮮北道由俄國共產黨助之
page 3	陳籙電院中法鈔票由華銀團代兌法外院通知俟賠款用金後即還款
page 3	王承斌進行滄石路借款
page 3	湘省會改選議長南路王克家正中路孔昭綬正西路馮士奇副七日開協議會
page 3	皖省長呂調元決辭職某方保孫發緒繼任一說由馬聯甲兼任省長
page 3	戰事復起之東江
page 3	欲以鴉片籌餉之所聞又用寫禁於征之老調
page 3	北江軍事形勢之緊急
page 3	許崇智回粵之條件
page 3	梧州西訊
page 3	洪兆麟住家領槍牌
