page 1	祝粵北大捷
page 2	傳汪已與日成立妥協方案偽中央傀儡劇密鑼緊鼓中但阻力極大短期未必成立
page 2	日犯烏鎮中伏潰竄
page 2	日反對派積極活動
page 2	處置天津白銀折衷辦法我方未能同意
page 2	軍委會發表一週戰況
page 2	國府公布各省市政績考成條例
page 2	十四代達賴喇嘛定期登極
page 2	愛爾蘭國會通過授予政府特權隨時可拘捕嫌疑份子
page 2	粵婦團赴前線慰勞
page 2	回教協會招待土國公使
page 2	川設廠製造油脂類化學品明春即可有出品
page 2	太古輪濟南號少年跳水自殺
page 2	留渝參政員討論美日商約問題公推副議長張伯苓對美廣播
page 2	在莫斯科舉行中國藝展會增進中蘇友好關係參觀藝展者絡繹於途莫大稱道我文化偉大
page 2	丹在領海敷設水雷
page 2	倫敦中國證券市價突漲又有和平之　
page 2	東京撞車慘劇死傷共廿餘人
page 2	蘇聯北極探險船被冰困凡兩月蘇政府派另一輪往營救
page 2	我突襲廣州俘獲甚眾粵路日軍已退竄新街邕江南岸日軍經我迎擊全線潰退
page 3	芬軍截斷列寧格勒鐵路芬蘭北部日來氣候甚寒柏三姆區停止軍事活動
page 3	國際現勢與中國二孫院長在三團體歡迎會席上演詞
page 3	法蘇協定為什麼沒有履行
page 3	日自蘇保接近後頗注意於巴爾幹半島彼正研究巴爾幹對蘇之態度
page 3	英蘇關係為什麼沒有改進
page 3	羅斯福國防預算打破平時紀錄總額二十三萬萬餘萬金元竟等於預算經費四分之一
page 3	日本繳付中東路價餘款
page 3	德袖珍艦華籍船員返國
page 3	岷尼拉當局計劃減低國防經費奎松與各級軍事長官會議後菲島國防計劃將有根本變更
page 3	募尼黑協定與捷克之滅亡
page 3	東京羅馬間航空線已成立
page 3	德人對美中立表示懷疑
page 3	羅斯福宣佈更調大批使節
page 3	美賡續舉行一碗飯運動
page 3	駐美英大使演講德將大舉猛攻將來海軍力量為決定勝利之關鍵德國勝負視其是否取得海上霸權
page 3	戈林將軍又發新令使全國經濟高度集中目的在增加生產能力
page 3	英照會美政府或准德貨出口但在特殊環境中
page 3	美國對日制裁態度半愈堅決商約滿期商日無滿意提案提出將取某種經濟力量以打擊日本
page 5	大批日機飛抵三灶
page 5	當局公佈各地戰情
page 5	粵北日軍潰敗後我軍繼續南攻我軍續克官渡青塘日軍渡滃江多溺斃粵路日軍向琶江退源潭銀盞　之劇戰
page 5	我軍分路反攻邕寧日軍各線連日有捷音我機隊迭建戰功
page 5	圍攻邕寧各線告捷
page 5	廣州偽市商會迫令各行商繳納會費由偽公安處佈告
page 5	我機助戰頻頻出動
page 5	我軍已取控制形勢
page 5	日方圖作振奮士氣
page 5	擊落日機血戰經過
page 5	中山稅捐處現已實行裁撤
page 5	省府令各縣切實舉辦冬防檢查戶口妥辦聯防
page 5	日軍拉夫潮遍及廣三沿線
page 5	市橋日軍大部撤退禺南日偽圖擴組偽軍
page 5	日偽軍退出南頭續訊偽軍尚欲搶劫被鄉民擊退游擊隊會同鄉民搜捕漢奸
page 5	中順各地日軍多已他往日機又飛赴三灶島增防江會各線我軍控制日軍
page 7	原判三大理由
page 7	中國有權管轄
page 7	遺物幸獲珠還嶺大教授謝自衛團員代存遺篋不受　金操行純潔可為模範
page 7	上訴應毋庸議
page 7	李務滋請邑僑繼續努力籌賑
page 7	胡文虎贈藥桂省抗戰將士
page 7	新界鄉人嚴防盜賊夜間宣佈戒嚴限制行入過往
page 7	商會定期會議
page 7	防癆運動將用圖畫宣傳
page 7	車輛失事統計去週死六人傷三十四人
page 7	輪客投海獲救
page 7	中國紅十字會月中在港開會
page 7	僑胞救國勞績華商會已呈報中央
page 7	前粵漢等路督辦陳興漢昨逝世今午大殮暫厝東華義庄
page 7	粵劇界服務團昨已返抵本港
page 7	中文協會今晚開聯誼會
page 7	政記輪船公司上訴案昨被本港法庭駁回中國政府有權管轄政記公司總行已結束分行無存在理由
page 8	戰地失學青年教育社籌設義學收容難童港九　地擬其設十六間某慈善機關願補助經費
page 8	霍寶材代父贈車後備警察
page 8	政府機關電話十五日起改直接搭線原日由三九駁線取銷九龍駁線總機仍舊存在
page 8	截劫疑犯詳臬
page 8	捐治喪費賑災唐子修臨終遺囑
page 8	竊案獲一疑犯
page 8	鳳公國書院招生
page 8	新界農展會今日行開幕禮
page 8	體協會農曆元旦義演足球名劇華隊出戰港聯及軍聯
page 8	今日甲組聯賽四場雛鳳戰蘇皇軍香港會迎九龍警察抗米杜息洋水兵逢若瑟
page 8	記者球隊征澳瑣記三
page 8	南田高級訓練班展期止截報名
page 8	今夕精彩女籃賽仿林嚴陣抗知行勵志是一幕理想冠亞軍爭奪戰南華西南分頭迎港大知行
page 8	獻劍慰勞團定期出發團員九人均為各青年團體代表募得九千餘元將匯呈蔣委員長
