page 1	中日經濟問題與政治問題
page 2	日將召開五相會議研究對華具體政策藉經濟合作以調整中日關係並將召回川樾大使徵求意見
page 2	對周作民之演詞日人予以密切注意一部份以為先提倡經濟提攜一部贊成先消除政治上障礙
page 2	周作民歡宴兒玉等雙方繼續交換意見午吳鐵城假座國際飯店歡宴席中吳復申述親仁善鄰之意
page 2	吳鐵城致詞
page 2	兒玉答詞云
page 2	賀國光等謁蔣詳陳川謠之起因並表示護擁中央之誠意蔣對今後川政多所指示
page 2	參加英皇加冕典禮我代表團人選內定由孔祥熙陳紹寬郭泰祺三人充任孔昨赴軍校謁蔣作出國前之請示
page 2	青海剿匪捷訊
page 2	陳介在津談中日談判尚未賡續進行政治外交經濟均息息相關經濟合作事不能單獨進行
page 2	日將舉行世界新聞展覽紛向各國徵求出品
page 2	劉蘆隱案開二次偵查庭當偵訊時禁止旁聽
page 2	中暹協會明日舉行成立
page 2	蔣院長電孫切實整理陝政
page 2	拒赴華北考察走私日軍部向兒玉等警告兒玉等來華未得日軍部同意兒玉等昨秘密與周作民等商討華北走私問題
page 3	七屆全運會定本年雙十節在首都舉行決組籌備委員會辦理籌備事宜聘定褚民誼等四十二人為委員
page 3	立院通過修正預算法案
page 3	汪主席訪蔣院長晤談
page 3	邵力子宴首都新聞界
page 3	褚民誼詳談京滇公路週覽使命及計劃除在能宣揚德意及慰問民生疾苦外並期藉此開發邊疆實業及發展交通
page 3	于部東調竣事
page 3	尚伯蘭被刺案內含一段情史與墨索里尼有關係
page 3	龍煙鐵礦日方提新條件
page 3	美兩院對新中立案將有重大爭執
page 3	西政府軍反攻勝利克復勃利呼伽鎮意兵傷亡者七百餘名德飛機三架墜于海中
page 3	英向德意兩國交涉援西情事
page 3	報紙包裹中之男頭女腿疑是殺姦案
page 3	海王感受威脅英眾議院討論海軍預算日如一主力艦安置十六寸口徑之砲英國亦必考慮由此而引起之新局面
page 3	美新倫敦小學汽鍋炸裂發生空前慘劇男女學生死六百餘人
page 3	菲島完全獨立決定提前完成
page 3	辛柏生夫人離婚案刻又舊案重翻彭恩斯申請法庭註銷倫敦法院昨開庭重審
page 3	利物浦舉行跳濱賽馬觀眾不下五十萬人英皇與皇駕臨觀賽
page 3	美遠東艦隊下月在滬集中
page 3	閩匪謝作霖被擒
page 3	綏蒙政會續開會
page 3	奧總理赴匈報聘討論確定奧匈關係匈因受德威脅將改變外交政策延緩對德聯繫而欲向捷克拉攏
page 3	林主席首途來粵鄂粵兩地籌備熱烈歡迎
page 4	足球之理解與關鍵李惠堂在播音台之第二講一
page 4	精武會擬舉辦省港長途跑全港越野賽跑結束後舉行
page 4	普通界籃球賽南華南戰印警陽光甲英華有劇戰
page 4	韋頌拍下留情反被夏仙擊敗今明日停賽星期一舉行　場
page 4	南華會友排球頒獎下午四時一刻舉行南字隊奪獲冠軍
page 4	督憲杯決賽華聯隊對西聯隊本月廿九日在掃桿埔舉行華大告山奴當前鋒陸聯隊倘得勝即蟬聯冠軍西聯隊調軍聯文員四月四日決賽麗華杯
page 5	完成全省交通網總部與建廳商定合作實行以兵工築路獎金材料由建設費支給請以省稅盈餘盡量撥充建設費
page 5	林主席之來粵期粵路派車派員候迎
page 5	汕市各團體請增洋米進口額並請撥款辦平糶
page 5	孫宋南下時黃旭初再來粵訊
page 5	酒稅加二國防費有籌抵法可撤銷
page 5	市會查報商店資營兩額後營業稅解決尚有問題營官方表示不能以多數而就少數將另有行確定減率公佈施行申報期限再展至本月底止營業稅某秘書談市商會委員之請願與當局之會議汕市商人之態度
page 5	廣州員工會再派黃惠龍接收
page 5	財部准許粵鹽銷湘合作法交召兩省鹽商會議
page 5	函詢滬商會研討所得稅結果
page 5	三年施政計劃決定七月一日實施
page 6	潮汕走私多由海運緝私處之新計劃防私聯合會之組織
page 6	省營被控案處置辦法之昨訊
page 6	省府不准撤銷整理土油廠法
page 6	環市馬路興築實施征工辦法
page 6	河南各鄉籌組水陸聯防委員會
page 6	製皮業糾紛日甚資方電請主持公道
page 6	行營總辦公廳主任羅卓英
page 6	省黨部以三月廿九日為黃花崗七十二烈士　廿五　年紀念之
page 6	　財政廳　　德民語記者
page 6	發展粵省蠶絲業
page 6	香港華僑廠商組織攷察團
page 6	　步大自來水廠
page 6	英大使昨拜會當局
page 6	拜會情形
page 6	余黃歡宴
page 6	今日　酢
page 6	大使夫人昨日抵省
page 6	開發瓊崖辦法具體決定湯澄波談中外資開發辦法有二端一為採用合作方式一為採劃區試辦制度須孫宋來粵後始決定
page 7	北軍守中立不　　軍利用
page 7	圍攻鯉魚門轟沉敵艦九艘
page 7	藍軍佔屯門增派援軍猛攻
page 7	敵機低空載三機互撞焚燬
page 7	海陸義勇軍市民投效劇增
page 7	燈火施管制羅旭和之談話
page 7	藍軍三戰艦炮戰紅軍情形
page 7	市民懸注意燈火管制法則
page 7	九針洋海面淩晨繼起烽火
page 7	日人積極吸收大量銅元中國銅元幾與港仙平值
page 7	曾養甫昨午過港返省宋孫南下日期尚未確定所傳本人辭職絕對不確
page 7	軍事大演習第五日防軍擊沉敵艦九艘敵軍深夜進佔屯門增派援軍反攻今夜實施燈火管制居民須守功令
page 8	許閣森夫人過港赴粵參加歡迎宴會
page 8	李樹芬宴施利民
page 8	名流作陪
page 8	李氏致詞
page 8	將案研究
page 8	童軍春季旅際賽今日在　萃書院運動場舉行
page 8	兩婦人服毒遇救
page 8	廣九車輾斃老翁
page 8	西貢道渠中男屍被殺無疑肇禍似為女色屍旁放有女拖鞋一對粧鏡一面兇手不祇一人但仍未緝獲歸案
page 8	女裝拖鞋
page 8	陳幹二字
page 8	勒斃無疑
page 8	張彭春昨在青年會演講題為中國文化變遷之趨勢
page 10	中學生論文比賽四月十九日在九龍舉行
page 10	初級法庭案彙誌
page 10	聚賭
page 10	謀殺
page 10	行兇
page 10	強搶
page 10	偷渡
page 10	運毒案又破獲多宗小艇內搜獲私煙千餘兩三被告入獄兼罰款少婦攜海洛英被捕
page 11	各縣紛請撥款修患圍
page 11	蕉嶺通訊徐溪之暗殺案
page 11	運銅仙被沒收
page 11	石岐繼續徵捐儲糧
page 11	防軍調查民間疾苦
page 11	定期清理承高欠餉
page 11	發生兩屍三命慘案
page 11	縮編會城江門兩區
page 11	機織工人醞釀罷工
page 11	嚴厲取締各區私塾
page 11	擊退圖劫貨船匪徒
page 11	雷瓊鹽商請改善運鹽條約續訊
page 11	實行撤銷上煙專賣
page 11	匪徒劫財焚屋逃遁
page 11	孝子拜山被蛇咬斃
page 11	汕郵務工會電財部請豁免洋米進口稅
page 14	殷逆賣國痛史
page 14	純粹漢奸政權
page 14	兩逆暗鬥仍烈
page 14	走私之大本營
page 14	日軍　　
page 14	察北問題交涉
page 14	馮學棻駝　詳談旅賑戰區經過難民傷兵均曾給予相當賑濟前方民從抗敵情緒極為熱烈十二歲小童即騎馬負槍巡邏
page 14	災區調查放賑
page 14	賑款支配概況
page 14	我軍士氣極旺
page 14	侵略政策未逞實行毒化察北勒令廣植罌粟遵者免征丁銀爆炸彈一百五十箱運抵張垣
page 14	中山交涉動向冀察當前　問題內容
page 15	前言
page 15	二軍隊的擴充
page 15	武器的改進
page 15	四交通與運輸的發展
page 15	積極備戰中的德意志
