page 1	合作運動亟宜展開
page 2	晉南我軍戰況順利進展陽城西北殘日殲滅在即
page 2	林語堂及家人飛抵重慶嘉陵江北購新居將在此渡過今夏
page 2	美考慮與英商購南太平洋屬島作為美國海軍根據地又注意關島設防問題
page 2	九江日軍竄擾不逞傷斃五百餘人
page 2	邕賓路我克流嶺
page 2	偽軍兩團反正圍襲水冶
page 2	南僑第二團在贛參觀建設第一團在陝分防黨政當局
page 2	巴黎人口物資不得擅自疏散
page 2	傳教皇與羅斯福協力提倡和平
page 2	桂省大興水利各處溉灌工程均已分別進行
page 2	陝省下日起實行新縣制
page 2	日軍留難貨運滬美各廠商請政府交涉
page 2	國步艱危豈容私飽粵財廳整飭稅務風紀倘有罔知自愛膽敢營私舞弊無論情節輕重悉依軍法治罪
page 2	美紅十字救傷軍亦被德機襲擊
page 2	德輪已損失共八十二萬噸較聯軍損失尤多
page 2	滬市又發生鋤奸鎗案一宗
page 2	德將存美資金轉存瑞典銀行慮到美國參戰
page 2	德表明放棄荷印煽動日本野心日艦隊集中於華南海岸似係準備進迫荷印越南
page 2	馬爾他總督發表演說倘馬爾　被侵略必將侵略者擊退
page 2	粵北兩村婦深明大義力勸夫應征　　得軍事當局嘉獎
page 2	英國開始外交攻勢希望蘇意等國改善邦交關係
page 2	德偷將軍火運到南國對南顯有陰謀
page 2	美決派輪赴歐接運美僑返國羅斯福總統號昨由紐約出發
page 2	英皇今日廣播
page 2	墨政府宣言絕對維持中立
page 2	日軍分路反撲棗陽豫鄂邊境戰事仍烈我再克草店太平鎮劉家砦猛擊棗陽附近殘日極順利
page 3	魏剛飛入德陣偵察
page 3	聯軍對德改取攻勢
page 3	英國空軍繼續炸敵
page 3	谷巴盛稱空軍勇敢
page 3	英德空軍發生激戰
page 3	德軍當局發表戰情
page 3	國立省立各大學招生事宜由教部辦理在重慶香港等處設招考分處並定七月十四日起開始報名
page 3	土在巴爾幹地位不能有所改變堅決反對任何方面冒險行動土總統對法記者發表之談話
page 3	美上院決議實施增佈國防決撥出一萬萬三千餘萬金元由羅斯福總統全權自由支配
page 3	英眾院以敏捷步驟援予政府特權人力物力悉聽政府支配傾全國力量應付大戰爭
page 3	雙方大軍現正準備在森姆河流域大戰傳法軍已克正眠色當亞拉斯邱吉爾飛法與魏剛會商軍事
page 5	繼續開赴瓊崖
page 5	大部開返廣州
page 5	中山局部開放
page 5	香翰屏已由韶返惠偽軍擾莞寶各地被擊退幸耀燊赴韶中途折回
page 5	冒用我游擊隊番號
page 5	沙井鄉內恐嚇鄉民
page 5	教廳登記全省小學教員六月一日至廿五日為登記期由各縣市政府組登記審查會
page 5	偽南海縣府大募伕役傳日軍有西犯企圖趕修江佛禪炭兩路
page 5	惠博東寶四縣成立糧食救委會詳情訂定米糧屯銷地點加緊對日糧食封鎖
page 5	組織四縣糧食委會
page 5	湘桂鐵路調整桂柳段通車擬定行車時刻表增加客貨混合車
page 5	加強對日糧食封鎖
page 5	偽復興軍新兵抽調前方連日分調東西兩江入伍補充
page 5	總裁電粵指示切要工作禁煙清鄉兵役衛生省府詳訂實施辦法
page 5	粵南我軍在日機轟炸下擊潰犯板城那香日軍南路行署召集七區各縣市長會議檢討當前局勢決定加緊政治動員某軍要談晶增兵華南另有作用
page 5	對日六月攻勢觀察
page 5	日增兵華南之目的
page 5	日軍分犯板城那香
page 5	積極改善傷兵生活注重正當娛樂加緊宣慰工作撥款補助嶺東各院傷兵米津
page 5	廣東省府新秘書長接事
page 5	新到廣州日軍南移後中順日軍抽調舊廣州填防中山昨日已局部開放石岐偽軍各爭據地盤
page 6	廣東省府實行限制耕地加租准陽山縣設農林改進場捕獲漢奸准給獎四百元
page 6	日圖再犯粵北增從花戰事連日激烈犯派潭日被殲七百餘我克麻涌迫蛇頭嶺從化日軍作困獸鬥粵路正面我追擊日軍
page 6	增城日軍北犯碰壁
page 6	日犯小樓圖窺正果
page 6	從化日軍繼續潰敗
page 6	溪頭我軍腰擊殘日
page 6	花縣我軍衝入獅洞
page 6	我續圍攻粵路殘日
page 6	無稅軍運貨物財廳飭查究嚴懲
page 6	順德團隊襲均安墟日艇獲電油三船焚燬日汽艇
page 6	日軍窺伺三埠中新台公路加強防禦日派女間諜在各地活動台城防奸舉行五家聯保
page 6	廣三路上日軍運輸忙碌我團隊炸毀日車
page 6	觸動地雷
page 6	九江盜匪搶飯異聞
page 7	顏成坤氏報告局務
page 7	收容婦孺去年劇增
page 7	各界人士踴躍捐助
page 7	大小案件八百餘宗
page 7	教授婦孺防空技能
page 7	衛生設備大加改善
page 7	即席選出下屆總理
page 7	華民司憲致謝各界
page 7	後備警察舉行遊藝大會
page 7	美艦來港僅係遊歷性質美領館發言人談話
page 7	婦人跳樓斃命
page 7	賊黨圖劫雞鴨欄東主警探深夜在乍畏街捕兩賊一舊伴有串劫嫌疑亦被拘
page 7	保良局新總理昨選出羅棟動大律師任主席舊主席顏成坤報告一年來之局務去年收容婦孺逾千人破歷年紀錄
page 8	英國慶運動主席宣言英國為主持正義血戰奮勇向前必能獲勝利
page 8	日又擄漁船十餘艘損失約在十萬元以外
page 8	西區自衛團存款捐獻國府
page 8	本港織造品運英增激全用英紗方能受優待
page 8	殖民地與本部不同
page 8	棉織品被海關留難
page 8	婦女會昨會議決　款救濟中山難民
page 8	富勵士昨解釋通知英婦孺登記用意登記法例六個月前已施行現循例督促不應引起驚異
page 8	飛剪機昨抵港
page 8	古瑞庭談赴星洲經過
page 8	泰國華僑開國貨展覽會本港廠商參加
page 8	挪僑紛赴領館登記但領館尚未接到登記訓令
page 8	粵救護委會港分會昨開常委會議劉慶萱補任副主委修正分會辦事細則
page 8	報告事項
page 8	討論事項
page 8	夏季馬票已銷廿九萬張
page 8	灣仔道紅丸案兩被告詳臬定讞
page 8	三門關海面貨艇被劫劫去貨物共值三千餘元
page 8	英祈禱抗戰勝利本星期日全國舉行
page 8	傳梁事件業已註銷保金文件同時發還
page 8	藥行商會新職員已選出歐陽良梁蔚文為主席
page 8	偽幣案仍押候
page 8	修正防止迫遷條例下星期四日提出三讀立法局特委已商得公允辦法業主方面當不致再提出反對
page 10	東方南遊隊今晨乘機出發一行十六人軍容甚盛歐局緊張赴印成問題
page 10	昨日學排戰績皇仁華仁保羅均捷
page 10	響應傷兵之友乒乓義賽明夕舉行一連三晚秩序已排定
page 10	小型足球聯會今夕召開會議選舉三屆職員
page 10	華人旅行消息
page 10	東方中學舉辦班際籃球賽
page 10	南華游藝部續辦六期民眾歌詠班
