page 1	英美援我當更徹底
page 2	法事認日軍求登陸泰報主張對法宣戰
page 2	美決增強遠東防衛飛機一隊續開菲島
page 2	日樞密院繼續會議我國注視英美態度
page 2	日艦兩艘觸雷沉沒
page 2	伊比拉斯方面意軍全線退卻開戰以來意軍被俘六千希軍前鋒迫近哥列薩城
page 2	英意空戰英機大勝
page 2	英方消息德擬劃荷比法北建佛蘭特國以比王李奧普特為元白但問題尚多恐未易實現
page 2	意謂希軍進攻不逞
page 2	津工潮已解決職工人　　允復工
page 2	美當尼製機廠發生罷工潮
page 2	美工聯主席警告獨裁者如侵犯美國必奮起抵抗
page 2	滬美水兵無意撤退美海長諾斯之表示
page 2	留美僑胞捐機運動踴躍
page 2	傳美將委潘興將軍為駐法大使因其與貝當有交誼
page 2	日工商相主張施行統制經濟組織高度國防機構適應　時國防形勢
page 2	哥里向貝當提議交換重要俘虜但為貝當所拒絕
page 2	法西斯黨總秘書親自駕機炸希一去不返
page 2	匈政府宣佈停止償還外債但　債則照常償付
page 2	美棉產計劃必須加以修改否則難免經濟崩潰美農務部長之報告
page 2	羅蘭省法語人停止強迫遷徙
page 2	澳新空電人員到加受訓
page 2	英向加拿大定製商船商議手續完妥即將開始建造
page 2	阿土著軍臨陣譁變
page 2	西沙漠戰事意承認無進展因地勢險阻食水缺乏英守軍又為精銳師團
page 2	德機侵襲英倫各地蔑蘭特區落彈最多
page 2	南非洲總理演說信英必獲勝利非洲現已有強大之軍隊配備精良決心盡力參戰
page 2	英美如欲阻遇日本南進必須全世界人民力助我反攻我軍可能入越襲擊日軍後方蘇美飛機三百架已運入我國
page 3	匈雖加入軸心但非對英宣戰
page 3	土國情勢緊張傳政府將改組
page 3	印事務大臣解釋印度憲政問題印督呼籲印度內部團結歡迎泰訪問團到訪各地
page 3	在滬日僑發生恐慌組織自衛團取戒備步驟
page 3	閩建廳整治河道
page 3	兩法人在西藏被匪徒所擊斃彼等在西藏傳教工作已有三十年
page 3	鋤奸黨員中執會對之嘉獎
