page 1	羅斯福的信號
page 2	法政府突然改組法關係轉緊張
page 2	德　挽救意失敗勢將大舉攻英國
page 2	蘇林附近仍激戰印澳軍團上前線
page 2	王外長在紀念週報告國際形勢與我國外交二
page 2	不明國籍飛機炸擊瑞士房屋人命頗有傷害當局　究飛機何來
page 2	意報揚言決反攻數日後將有表現
page 2	德國一般軍人鄙視意軍德軍遇意軍官亦不舉手致敬
page 2	德空軍襲倫敦施行恐怖戰術從高空滑翔而下投彈英機大炸德國曼漢城
page 2	英機襲德軍事目標
page 2	英擬向美購買商輪一共二十四艘
page 2	希軍冒雪進攻德比林尼鎮被攻破英空軍大炸意國巴利港意軍渡海增援發生困難
page 2	英報反對坦及爾脫離國際共管堅持坦及爾區不得武裝要求政府立採有效行動
page 2	侵埃意軍繼續崩潰蘇林及加璧蘇相繼陷落英前鋒逼攻巴地亞德獎大舉犯英謀援應意國法欲乘機反意將絕德拒和
page 3	法態度轉強硬戴古決留西貢
page 3	泰邊三處重鎮迭被法機轟炸
page 3	加拿大人士排日情緒高漲日在遠東所施行種種手段逼加拿大人取更強硬立場
page 3	美大使格魯訪日外相討論普通外交問題
page 3	野村明年赴美
page 3	劇作家沈西令在渝病逝
page 3	巴拿馬運河防禦積極進行堤壩水閘保護　密嚴　奸人破壞活動
page 3	在寧波被扣美輪尚未釋放美向日提出交涉但日方竟無答覆
page 3	傳勞特喬治將任駐美大使但彼年事已高恐難勝此繁劇
page 3	日機襲滇緬路
page 3	南非所扣日輪已被開釋放行
page 3	行政院十七日　第四九五次會議
page 3	鄂南我軍克紗帽山崇陽日軍南犯遭我節節伏擊鄂東黃梅附近日軍千餘被圍
page 3	皖贛日軍傷亡慘重
page 3	萊陽東北殲日二百
page 3	臨汾東南日軍慘敗
page 3	洪洞以西日軍出擾
page 3	日樺太島東北部發生山崩慘劇
page 3	英宣佈徵收民間有價證券
page 3	天　嚴寒多瑙河結冰羅通德運輸因此暫時封閉
