page 1	歡送特使團赴英
page 2	蔣勗勉孔特使此行使命重大望勉力以赴至國內獻策政蔣瘵新加注意
page 2	日驅逐艦荻號開往塘沽
page 2	病體未復精神易感疲勞蔣決日內返里休養由京赴牯時屏絕一切應酬康健進步甚速到京赴杭以來酬酢稍繁進步又即見遲緩
page 2	日方盛傳韓復　決定南調以魯省地方讓與東北軍負責于學忠部現已陸續開抵蚌埠
page 2	謁蔣請示完竣楊虎城昨飛返陝楊談此次晉京先後謁蔣三次深蒙委長懇切指示愧感無已
page 2	孔特使出國前發表談話中英兩國邦交近來大為改善希望此行更使中英邦交郭睦
page 2	參加英皇加冕典禮赴英特使團離滬出國到埠歡送者要人雲集盛況空前國府給予孔特使一等寶鼎勳章
page 3	法國政府武力保護商輪
page 3	監督計劃十日內可實施
page 3	意軍參戰已有公文證實
page 3	國民政府命令吳鐵城任粵全省保安司令歐陽駒任為粵省府委員吳鐵城定六日赴粵就職
page 3	交通銀行推選常務董事
page 3	埃及將邀各國會議解決撤廢領事裁判權問題此項會議定十二日在蒙德婁城舉行
page 3	全國體育會委員本屆任期已滿下屆人選經已聘定
page 3	湘米運粵日增
page 3	日議會解散後總選運動積極開始民政兩黨採取聯合戰線政策新黨組織尚未表現積極行動日本政局此後將在自由主義與統制主義鬥爭中發展
page 3	財部增稅墳墓擬增棉紗等稅平衡下年度預算
page 3	昆明時疫流行
page 3	朝鮮猛血團團員蔡天民在滬組暗殺日人機關被捕提日領署鞫訊供認犯罪十二起對企圖暗殺有吉公使案有關係
page 3	東京朝日新聞派機飛英致賀途中天氣不佳飛回
page 3	滬絲織廠工人今日一律復工
page 3	藉口滄州事件日提正式抗議要求條件如何外間未能探悉
page 3	全印會議黨員舉行示威運動幸無大事變發生
page 3	赫爾聲述台維斯赴歐任務此行專為代表美國出席國際糖業會議
page 3	兒玉徵求各團員報告編製總報告書渠將向日政府當局報告來華調查結果
page 3	美汽車工人罷工
page 3	土耳其軍政大家伊薩特巴沙逝世
page 3	雪蘭峨華工罷工潮解決
page 3	小協商各國政治會議開會南總理向捷羅解釋意南政經協定意義
page 3	萬愚節北平報載胡適逝世電話紛紛吊問胡宅不勝其煩
page 3	西戰兩軍互稱勝利政府軍進展二十里叛軍宣稱佔據阿爾白蒂亞鎮並奪三村傷敵數千俘敵五十
page 4	汕市商庫證已擬定收回辦法
page 4	小輪撞沉駁艇溺斃一女客
page 4	清明節中江省線增加船舶
page 4	博羅嚴禁高利貸
page 4	來往西南石岐電船在勒樓海面撞沉詳誌搭客幸告平安
page 4	南文鄉謀殺案續誌
page 4	派隊駐防河清大同
page 4	南頭鄉塌屋壓死人
page 4	組新運婦女工作會
page 4	交代嘗款發生血案
page 4	焙桑失慎焚屋一間
page 4	寧路火車輾傷路人
page 4	改選鄉長鎮長辦法
page 4	全縣分七個教學區
page 4	失足跌死兩屍三命
page 4	各級自治人員就職
page 4	潮汕續辦理糶昨訊
page 5	濬河捐開征後影響農產稅收入上月份廣州局短收數十萬
page 5	蔣孫聯同來粵訊
page 5	吳鐵城電告來粵派孫璞李大超先來吳氏有七日起程說
page 5	鹽業反對加稅潮成尖銳化五項要求折衷辦法又有變化鹽業工商發出宣言擴大請願派代表十九人赴港向孔請願必要時入京呼籲
page 5	林主席行蹤續誌三日往遊崖門五日赴廣西說對革命華僑條陳允考慮
page 5	瓊崖考察團省方進行近況
page 5	李白就職通電
page 5	余漢謀派羅梓村入贛祭陣亡將士
page 5	復業又成問題
page 5	昨又發出宣言
page 5	民食會請救濟
page 5	陳程將會同粵桂軍要商國防建設大計訊李宗仁有偕程來粵說
page 6	財部規定洋米免稅日期
page 6	廣州銀業請增加銀市經紀入市額本星期日招考會計員十五名經紀入市須繳保證金
page 6	又有一幕糾紛鞋業商分組兩公會一方積極進行籌備一方呈請當局制裁
page 6	四路軍縮編官兵安置之續訊擬另組特別隊
page 6	粵發行水利公債已得立院批准
page 6	宋子良改期南返
page 6	廣州市公共車公司開除工人又起糾紛工會進行交涉
page 6	事前所聞
page 6	公司訪問
page 6	工會交際
page 6	另一紏紛
page 6	百五午商決成立辦事總處實行統一商運
page 6	廣九路貨物保管征費辦法
page 6	營業稅要聞彙誌
page 6	省選所消息近誌
page 6	製皮商不復用工人黨部停止公會活動議定三項辦法
page 6	致商會函
page 6	甘竹灘清明不開放船舶年餉未撤銷
