page 1	MAIL SUPPLEMENT TO THE HONGKONG DAILY PRESS.
page 2	PRESENTATION OF AN ADDRESS TO MR. ALABASTER AT SHANGHAI.
page 2	TOTAL LOSS OF THE GERMAN BARQUE "HAMMONIA".
page 2	AFFAIRS IN SOUTH SHANTUNG.
page 2	THE CRUISE OF THE ENGLISH CHINA SQUADRON.
page 4	THE INDO-COLONIAL INSTITUTE.
page 4	LORD RANDOLPH CHURCHILL'S TOUR.
page 4	AFFRAY BETWEEN ENGLSIH AND FRENCH FISHERMEN.
page 4	CHOLERA IN ROME.
page 4	AN ARCHISTS IN VIENNA.
page 4	AUSTRIA AND GERMANY.
page 4	AUSTRIA AND RUSSIA.
page 4	RUSSIAN SARCASM.
page 4	THE BULGARIAN TROUBLE.
page 4	THE MADAGASCAR DIFFICULTY.
page 4	CAPTURE OF TAMAI.
page 4	VOLCANIC ERUPTION IN TONGA.
page 4	THE "TIMES" ON THE INDIAN CIVIL SERVICE.
page 4	EARTHQUAKE AT GOLAGHAT.
page 4	THE AFGHAN BOUNDARY COMMISSION.
page 4	THE DUKE AND DUCHESS OF CONNAUGHT.
page 4	AFFAIRS IN BURMAH.
page 4	PORT ARTHUR.
page 5	JAPAN'S CUTLYING DEPENDENCIES.
page 5	HONGKONG.
page 5	MACAO.
page 5	CANTON.
