page 2	IN proposing the second reading of the Loan Ordinance on Wednesday the Attorney General said that though a statement in reference to it might be a mere formality in the way of assuring the members of Council.
page 3	CANTON.
page 3	FOOCHOW.
page 3	CHINKIANG.
page 3	TIENTSIN.
page 3	THE NAVIGATION OF THE UPPER YANGTSZE.
page 3	A LEGATION FROM THE POPE TO THE EMPEROR OF JAPAN.
page 3	THE MASSACRES IN ANNAM.
page 3	THE MASSACRE OF CHINESE AT WYOMING.
page 3	THE CHINESE AT THE EAST.
page 3	A NEW OPENING FOR THE CHINESE.
page 3	WHITE WOMAN V. CHINESE.
