page 2	MR. GLADSTONE AND HOME RULE FOR IRELAND.
page 3	CORRESPONDENCE.
page 3	THE NEW OPIUM AGREEMENT.
page 3	TO THE EDITOR OF THE "DAILY PRESS."
page 3	THE CHINA AND MANILA STEAM SHIP COMPANY LIMITED.
page 3	CONSULTING COMMITTEE.
page 3	THE SANITARY BOARD.
page 3	NOTES FROM PEKING.
page 3	THE SITUATION IN EUROPE.
page 3	ANOTHER BATTALION FOR MASSOWAH.
page 3	AUSTRIA AND BULGARIA.
page 3	THE EMPEROR WILLIAM ON GERMAN POLICY.
page 3	THE REVOLT IN SILISTRIA.
page 3	STORMY DEBATE IN THE HOUSE OF COMMONS.
page 3	THE NATIVE RISING IN MOZAMBIQUE.
page 3	THE PROPOSED JUBILEE INSTITUTE.
