page 3	A WOMAN OPIUM SMUGGLER FINED 600.
page 4	ARMED ROBBERY AT WEST POINT.
page 4	WOMEN GAGGED AND BOUND.
page 4	THEFT FROM NAVAL YARD.
page 5	THE WAR.
page 5	GERMANS TO BE EXCLUDED FROM GREAT BRITAIN.
page 5	GT. BRITAIN AND THE GERMAN COLONIES.
page 5	SPARTACUS PLOT TO OVERTHROW GERMAN GOVERNMENT.
page 5	SERIUOS DISTURBANCES IN BERLIN.
page 5	GERMAN CROWN PRINCE STILL BOASTFUL.
page 5	COMING PEACE CONFERENCE.
page 5	PRESIDENT WILSON LEAVES FOR EUROPE.
page 5	BRITISH GOVERNMANT DECITIONS.
page 5	IMPERIAL PREFERENCE.
page 5	BRITISH COTTON TRADE.
page 5	CNPRECEDENTED PROFITS.
page 5	CROWN PRINCE INTER VIEWED.
page 5	DENIES RENUNCIATION OF THRONE.
page 5	COLONEL ROOSEVELT'S VIEWS.
page 5	THE ARMISTICE.
page 5	MORE ALLIED NAVAL DEMANDS.
page 5	CHAOTIC GERMANY.
page 5	BOLSHEVIST OUTBREAK IN BERLIN.
page 5	WHEN THE SOVIET COMMITTEE WAS ARRESTED.
page 5	ORGANISED ATTEMPT TO OVERTHROW THE GOVERNMENT.
page 5	FIGHTING AT BRUNSWICK.
page 5	THE REPUBLIC OF SCHLESWIG HOLSTEIN.
page 5	AMERICANS HASTENING TO COBLENZ.
page 5	GERMANS TO THE LAST.
page 5	WANTON DESTRUCTION ON THEIR RETURN HOME.
page 5	WAR PRISONERS.
page 5	M. CLEMENCEAU THREATENS GERMANY.
page 5	GENERAL MACKENSEN'S ARMY.
page 5	TO SURRENDER TO THE FRENCH.
page 5	ENTRY INTO COLOGNE ACCELERATED.
page 5	BRITISH REACH THE RHINE.
page 5	JAPANESE CHARTER RATES DURING THE WAR.
page 5	CHINA REQUESTS RECALL OF DUTCH MINISTER.
page 5	CHINA, JAPAN AND THE PEACE CONFERENCE.
page 5	COMPOLAITS OF THE CENSORSHIP.
page 5	WOLFRAM EXPORTATION.
page 5	PUBLIC GARDENS IN CANTON.
page 5	LUNG'S LEADER CONDEMNED.
