page 2	ELECTION GAMBLING.
page 4	AMERICAN THANKSGIVING DAY.
page 4	PRESIDENT COOLIDGE'S PROCLAMATION.
page 4	CLIMBING FUJI.
page 4	KOBE DOCTOR'S FEAT.
page 4	ALLEGED INTIMIDATION.
page 4	TWO CHINESE CHARGED AT KOWLOON.
page 5	CRIMINAL SESSIONS.
page 5	COOLIE SENTENCED TO DEATH.
page 5	THE ABERDEEN MURDER CASE.
page 5	DISCOVERY ON A JUNK.
page 5	CHINESE IN COURT ON ARMS CHARGE.
page 6	ATTACKS BY DOGS.
page 6	TWO MORE CASES REPORTED.
page 6	BOY KILLED BY P.W.D. LORRY.
page 6	EARTHQUAKE TOLL IN JAVA.
page 6	INTERNATIONAL LABOUR OFFICK.
page 6	RAISING THE INDUSTRIAL STANDAND IN CHINA.
page 6	U.S. MINISTER TO JAPAN.
page 6	JAPANESE MINISTER TO SWEDEN.
page 6	RADIO STATION ON YAP ISLAND.
page 6	FIGHTING IN THE SILK DISTRICT.
page 7	THE ATTEMPTED ASSASSINATION OF THE SIRDAR.
page 7	STORY OF THE CRIME.
page 7	SIR LEE STACK UNDERGOES SUCCESSFUL OPERATION.
page 7	SIRDAR'S OPERATION.
page 7	INDIGNATION IN ENGLAND.
page 7	ZAGHLUL "ASTONISHED."
page 7	DOCTORS STILL HOPE.
page 7	THE ZINOVIEFF LETTER.
page 7	NO REASON TO DOUBT ITS GENUINENESS.
page 7	AUSTRALIAN DOCK WORKERS ON STRIKE.
page 7	SHIPPING HELD UP AT ALL PORTS.
page 7	ANGLO-PERSIAN COMPANY.
page 7	BRITISH GOVERNMENTS SHARES.
page 7	SPANISH CAMPAIGN IN MORCCO.
page 7	LASH FOR NARCOTIC TRAFFICKERS.
page 7	INDIAN POLITICAL OFFENDER SENTENCED.
page 7	OPIUM CONFERENCE.
page 7	SWISS EDITOR'S STRONG INDICTMENT.
page 7	BISHOP BRENT'S SPEECH.
page 7	FUTURE OF WEMBLEY.
page 7	A STATEMENT BY THE CHAIRMAN.
page 7	DOMINIONS ATTITURE.
page 7	VALUABLE ASSETS.
page 7	POWERS AND CHINA.
page 7	FRENCH PRESS REPORTS.
page 7	WHAT FRANCE WANTS.
page 7	SUPPORT FOR TUAN.
page 7	TUAN'S SUPPORTERS NOW SUPPORTING WU PEI FU.
page 7	ITALIAN LEGATION GUARD.
page 7	NOT A DISASTER.
page 7	ADML DE ROBECK ON CAMPAIGN IN GALLIPOLI.
page 7	SOME CHINESE SUPERSTITIONS.
page 7	MONEY-LENDING AGENCIES FOR THE POOR IN CHINA.
page 8	THE LURE OF THE POSTAGE STAMP.
page 8	ONE OF THE KING'S GREATEST PLEASURES.
page 8	AN OLD MAN'S HOBBY.
page 9	THE TEN MEN WHO RUN RUSSIA.
page 9	THE REMARKABLE TEAM OF MEN WHO GOVERN.
page 9	NO CABINET CRISES.
page 9	LEON TROTZKY.
page 9	STALIN OF STEEL.
page 9	ZINOVIEV.
page 9	LEO KAMENEV.
page 9	A MAN FROM SIBERIA.
page 9	RUSSIA'S PREMIER.
page 9	EDITOR OF "PRAVDA."
page 9	LEONID KRASSIN.
