page 2	The Daily News says that the Chinese steamer Yehsin returned to Shanghai on the 21st inst after an absence of forty days, having been to Nicolajefsk, Done, Hakodate. Out of this time she was twenty-three days in port.
page 3	AFFAIRS IN KWANGTUNG.
page 3	GERMANY AND CRINESE RAILWAY SCHEMES.
page 3	THE BRITISH PARLIAMENTARY ELECTIONS.
page 3	THE WIMSLEDON MEETING.
page 3	BEDUCTION OF THE TURKISH ARMY.
page 3	CHOLERA AT TRIESTE.
page 3	THE JAPANESE MISSION IN INDIA.
page 3	THE BRITISH-SIAMESE TELEGRAPH.
page 3	THE AFGHAN BOUNDARY COMMISSION.
page 3	REMOVAL OF THE INTERDICT ON GRAIN IN PERSIA.
